"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
"2","studyvisit_num","nectar1_020523","http://purl.obolibrary.org/obo/EUPATH_0061010","Time since intervention started","Days after treatment start","Participant","http://purl.obolibrary.org/obo/EUPATH_0010035","Administrative information","Days after treatment start","%10.0g","variable","","yes","yes","","NECTAR1","days","","yes","","","","","",""
"3","enrol_month_year","nectar1_020523","http://purl.obolibrary.org/obo/EUPATH_0035095","Month","Month/year of enrolment","Participant","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","Month/year of enrolment","%9s","variable","","yes","yes","","NECTAR1","","","yes","","","","","",""
"4","trt_arm","nectar1_020523","http://purl.obolibrary.org/obo/EUPATH_0015457","Study arm","Treatment arm (1=DP, 2=DP-PQ, 3=PA, 4=PA-PQ)","Participant","http://purl.obolibrary.org/obo/EUPATH_0010035","Administrative information","Administrative information","%9.0g","variable","","","","","NECTAR1","","","yes","","","","","",""
"5","age_cat","nectar1_020523","http://purl.obolibrary.org/obo/EUPATH_0010367","Age group","Age categories (5 years)","Participant","http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","Age categories (5 years)","%9.0g","variable","","","","","NECTAR1","","","","","","","","",""
"6","sex_bin","nectar1_020523","http://purl.obolibrary.org/obo/PATO_0000047","Sex","Sex binary (Female = 0, Male =1)","Participant","http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","Sex binary (Female = 0, Male =1)","%9.0g","variable","","","","","NECTAR1","","","","","","","","",""
"7","weight","nectar1_020523","http://purl.obolibrary.org/obo/IAO_0000414","Weight","Weight in kg","Participant","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","Weight in kg","%8.0g","variable","","","","","NECTAR1","kg","","","","","","","",""
"8","hbrsult","nectar1_020523","http://purl.obolibrary.org/obo/CMO_0000026","Hemoglobin","Hb concentration g/dL","Sample","http://purl.obolibrary.org/obo/OBI_0003040","Blood test","Hb concentration g/dL","%8.0g","variable","","","","","NECTAR1","g/dL","http://purl.obolibrary.org/obo/UO_0000208","","","","","","",""
"9","temp","nectar1_020523","http://purl.obolibrary.org/obo/OBI_0003073","Temperature","Temperature in celsius","Participant","http://purl.obolibrary.org/obo/OGMS_0000083","Physical examination","Temperature in celsius","%10.0g","variable","","","","","NECTAR1","C","http://purl.obolibrary.org/obo/UO_0000027","","","","","","",""
"10","mic_pf_asc_ul","nectar1_020523","http://purl.obolibrary.org/obo/EUPATH_0000550","Plasmodium falciparum asexual stages, by microscopy result","Microscopy Pf asexuals per uL","Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","Microscopy Pf asexuals per uL","%9.0g","variable","","","","","NECTAR1","/uL","http://purl.obolibrary.org/obo/UO_0000316","","","","","","",""
"11","mic_pf_gct_ul","nectar1_020523","http://purl.obolibrary.org/obo/EUPATH_0000546","Plasmodium falciparum gametocytes, by microscopy result","Microscopy Pf gametocytes per uL","Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","Microscopy Pf gametocytes per uL","%9.0g","variable","","","","","NECTAR1","/uL","http://purl.obolibrary.org/obo/UO_0000316","","","","","","",""
"12","mic_pf_pos","nectar1_020523","http://purl.obolibrary.org/obo/EUPATH_0000423","Plasmodium species, by microscopy","Microscopy positivity Pf","Sample","http://purl.obolibrary.org/obo/EUPATH_0033308","Plasmodium in blood","Microscopy positivity Pf","%9.0g","variable","","","","","NECTAR1","","","","","","","","",""
"13","qrtpcr_gct_ul","nectar1_020523","http://purl.obolibrary.org/obo/EUPATH_0064201","Plasmodium gametocytes, by qRT-PCR result","qRTPCR total gametocytes per uL","Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","qRTPCR total gametocytes per uL","%9.0g","variable","","","","","NECTAR1","/uL","http://purl.obolibrary.org/obo/UO_0000316","","","","","","",""
"14","qrtpcr_malgct_ul","nectar1_020523","","Plasmodium male gametocytes, by qRT-PCR result","qRTPCR male gametocytes per uL","Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","qRTPCR male gametocytes per uL","%9.0g","variable","need new term","","","","NECTAR1","/uL","http://purl.obolibrary.org/obo/UO_0000316","","","","","","",""
"15","qrtpcr_femgct_ul","nectar1_020523","","Plasmodium female gametocytes, by qRT-PCR result","qRTPCR female gametocytes per uL","Sample","http://purl.obolibrary.org/obo/OBI_0003263","Raw eukaryota data for blood","qRTPCR female gametocytes per uL","%9.0g","variable","need new term","","","","NECTAR1","/uL","http://purl.obolibrary.org/obo/UO_0000316","","","","","","",""
