colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
2,studyvisit_num,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0061010,Time since intervention started,Days after treatment start,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Days after treatment start,%10.0g,variable,,,,yes,yes,,NECTAR2,days,,yes,,,,,,,int,0,,,0 to 28,7,0,,studyvisit_num,nectar2_030523::studyvisit_num
3,enrol_month_year,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,Month/year of enrolment,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Month/year of enrolment,%9s,variable,,,,yes,yes,,NECTAR2,,,yes,,,,,,,chr,Oct-20,date?,,"10/2020, 11/2020",2,0,,enrol_month_year,nectar2_030523::enrol_month_year
4,trt_arm,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,"Treatment arm (1=DP, 2=DP-TQ 0.41mg/kg, 3=DP-TQ 0.83mg/mg, 4=DP-TQ 1.66mg/kg)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Treatment arm (1=DP, 2=DP-TQ 0.41mg/kg, 3=DP-TQ 0.83mg/mg, 4=DP-TQ 1.66mg/kg)",%17.0g,variable,,,,,,,NECTAR2,,,yes,,,,,,,chr,DP-TQ 1.66mg/kg,,,"DP, DP-TQ 0.41mg/kg, DP-TQ 0.83mg/mg, DP-TQ 1.66mg/kg",4,0,,trt_arm,nectar2_030523::trt_arm
5,age_cat,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,Age categories (5 years),Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age categories (5 years),%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,,chr,Nov-15,,,"11-15, 16-20, 21-25, 26-30, 31-35, 36-40, 41-45, 46-50",8,0,,age_cat,nectar2_030523::age_cat
6,sex_bin,nectar2_030523,http://purl.obolibrary.org/obo/PATO_0000047,Sex,"Sex binary (Female = 0, Male =1)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Sex binary (Female = 0, Male =1)",%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,,int,0,,,0 to 1,2,0,,sex_bin,nectar2_030523::sex_bin
7,weight,nectar2_030523,http://purl.obolibrary.org/obo/IAO_0000414,Weight,Weight in kg,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Weight in kg,%10.0g,variable,,,,,,,NECTAR2,kg,,,,,,,,,int,26,,,23 to 78,37,0,,weight,nectar2_030523::weight
8,hbrsult,nectar2_030523,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,Hb concentration g/dL,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,Hb concentration g/dL,%10.0g,variable,,,,,,,NECTAR2,g/dL,http://purl.obolibrary.org/obo/UO_0000208,,,,,,,,int,14,,,10 to 16,7,0,,hbrsult,nectar2_030523::hbrsult
9,temp,nectar2_030523,http://purl.obolibrary.org/obo/OBI_0003073,Temperature,Temperature in celsius,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,Temperature in celsius,%10.0g,variable,,,,,,,NECTAR2,C,http://purl.obolibrary.org/obo/UO_0000027,,,,,,,,int,37,,,35 to 40,5,0,,temp,nectar2_030523::temp
10,mic_pf_asc_ul,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0000550,"Plasmodium falciparum asexual stages, by microscopy result",Microscopy Pf asexuals per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Microscopy Pf asexuals per uL,%9.0g,variable,,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,,int,3560,,,0 to 26960,32,0,,mic_pf_asc_ul,nectar2_030523::mic_pf_asc_ul
11,mic_pf_gct_ul,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0000546,"Plasmodium falciparum gametocytes, by microscopy result",Microscopy Pf gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Microscopy Pf gametocytes per uL,%9.0g,variable,,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,,int,144,,,0 to 1328,24,0,,mic_pf_gct_ul,nectar2_030523::mic_pf_gct_ul
12,mic_pf_pos,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0000423,"Plasmodium species, by microscopy",Microscopy positivity Pf,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Microscopy positivity Pf,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,,int,1,,,0 to 1,2,0,,mic_pf_pos,nectar2_030523::mic_pf_pos
13,qrtpcr_gct_ul,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0064201,"Plasmodium gametocytes, by qRT-PCR result",qRTPCR total gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR total gametocytes per uL,%9.0g,variable,,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,,int,35,,,0 to 2660,142,0.018382353,,qrtpcr_gct_ul,nectar2_030523::qrtpcr_gct_ul
14,qrtpcr_malgct_ul,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0064204,"Plasmodium male gametocytes, by qRT-PCR result",qRTPCR male gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR male gametocytes per uL,%9.0g,variable,need new term,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,,int,20,,,0 to 865,108,0.018382353,,qrtpcr_malgct_ul,nectar2_030523::qrtpcr_malgct_ul
15,qrtpcr_femgct_ul,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0064205,"Plasmodium female gametocytes, by qRT-PCR result",qRTPCR female gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR female gametocytes per uL,%9.0g,variable,need new term,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,,int,15,,,0 to 2098,102,0.018382353,,qrtpcr_femgct_ul,nectar2_030523::qrtpcr_femgct_ul
16,mosq_total,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0020120,Mosquitoes dissected count,Mosquitoes dissected,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mosquitoes dissected,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,,int,66,,,18 to 74,49,0.426470588,,mosq_total,nectar2_030523::mosq_total
17,mosq_pos,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0020242,Mosquitoes with oocysts count,Mosquitoes positive for oocysts,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mosquitoes positive for oocysts,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,,int,2,,,0 to 61,39,0.426470588,,mosq_pos,nectar2_030523::mosq_pos
18,mean_ooc_all,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0064202,Mean oocyst in mosquitoes count,Mean oocysts accross all dissected mosquitoes,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mean oocysts accross all dissected mosquitoes,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,,int,0,,,0 to 31,13,0.426470588,,mean_ooc_all,nectar2_030523::mean_ooc_all
19,mean_ooc_pos,nectar2_030523,http://purl.obolibrary.org/obo/EUPATH_0064203,Mean oocyst in infected mosquitoes count,Mean oocysts accross all infected mosquitoes,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mean oocysts accross all infected mosquitoes,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,,int,1,,,1 to 34,12,0.78125,,mean_ooc_pos,nectar2_030523::mean_ooc_pos
