IRI,label,variable,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/EUPATH_0061010,Time since intervention started,studyvisit_num,Days after treatment start,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Days after treatment start,%10.0g,variable,,yes,yes,,NECTAR3,days,http://purl.obolibrary.org/obo/UO_0000033,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,enrol_month_year,Month/year of enrolment,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Month/year of enrolment,%9s,variable,,,yes,,NECTAR3,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,trt_arm,"Treatment arm (1=DP, 2=DP-TQ 0.41mg/kg, 3=DP-TQ 0.83mg/mg, 4=DP-TQ 1.66mg/kg)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Treatment arm numeric (1=AL, 2=AL-PQ, 3=SPAQ, 4=SPAQ-TQ)",%21.0g,variable,,,,,NECTAR3,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,age_cat,Age categories (5 years),Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age categories (5 years),%9.0g,variable,,,,,NECTAR3,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,sex_bin,"Sex binary (Female = 0, Male =1)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Sex binary (Female = 0, Male =1)",%10.0g,variable,,,,,NECTAR3,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000414,Weight,weight,Weight in kg,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Weight in kg,%10.0g,variable,,,,,NECTAR3,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,
http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,hbrsult,Hb concentration g/dL,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,hbrsult,%10.0g,variable,,,,,NECTAR3,g/dL,http://purl.obolibrary.org/obo/UO_0000208,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003073,Temperature,temp,Temperature in celsius,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,Temperature in celsius,%10.0g,variable,,yes,,,NECTAR3,C,http://purl.obolibrary.org/obo/UO_0000027,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000550,"Plasmodium falciparum asexual stages, by microscopy result",mic_pf_asc_ul,Microscopy Pf asexuals per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Microscopy Pf asexuals per uL,%9.0g,variable,,,,,NECTAR3,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000546,"Plasmodium falciparum gametocytes, by microscopy result",mic_pf_gct_ul,Microscopy Pf gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Microscopy Pf gametocytes per uL,%9.0g,variable,,,,,NECTAR3,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
,"Plasmodium falciparum species, by microscopy",mic_pf_pos,Microscopy positivity Pf,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Microscopy positivity Pf,%9.0g,variable,,,,,NECTAR3,,,,,,,,,
,"Plasmodium falciparum gametocytes, by qRT-PCR result",qrtpcr_gct_ul,qRTPCR total gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR total gametocytes per uL,%9.0g,variable,,,,,NECTAR3,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
,"Plasmodium falciparum male gametocytes, by qRT-PCR result",qrtpcr_malgct_ul,qRTPCR male gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR male gametocytes per uL,%9.0g,variable,need new term,,,,NECTAR3,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
,"Plasmodium falciparum female gametocytes, by qRT-PCR result",qrtpcr_femgct_ul,qRTPCR female gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR female gametocytes per uL,%9.0g,variable,need new term,,,,NECTAR3,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020120,Mosquitoes dissected count,mosq_total,Mosquitoes dissected,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mosquitoes dissected,%9.0g,variable,,,,,NECTAR3,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020242,Mosquitoes with oocysts count,mosq_pos,Mosquitoes positive for oocysts,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mosquitoes positive for oocysts,%9.0g,variable,,,,,NECTAR3,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0064202,Mean oocyst in mosquitoes count,mean_ooc_all,Mean oocysts accross all dissected mosquitoes,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mean oocysts accross all dissected mosquitoes,%9.0g,variable,,,,,NECTAR3,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0064203,Mean oocyst in infected mosquitoes count,mean_ooc_pos,Mean oocysts accross all infected mosquitoes,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mean oocysts accross all infected mosquitoes,%9.0g,variable,,,,,NECTAR3,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003244,Raw test result for blood,,,,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003040,Blood test,,,,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,,,http://purl.obolibrary.org/obo/OBI_0003244,Raw test result for blood,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,,,,,,,,,,,,,
