colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
2,studyvisit_num,nectar3_090523,http://purl.obolibrary.org/obo/EUPATH_0061010,Time since intervention started,Days after treatment start,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Days after treatment start,%10.0g,variable,,yes,yes,,NECTAR3,days,,yes,,,,,,
3,enrol_month_year,nectar3_090523,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,Month/year of enrolment,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Month/year of enrolment,%9s,variable,,yes,yes,,NECTAR3,,,yes,,,,,,
4,trt_arm,nectar3_090523,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,"Treatment arm (1=DP, 2=DP-TQ 0.41mg/kg, 3=DP-TQ 0.83mg/mg, 4=DP-TQ 1.66mg/kg)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Treatment arm numeric (1=AL, 2=AL-PQ, 3=SPAW, 4=SPAQ-TQ)",%21.0g,variable,,,,,NECTAR3,,,yes,,,,,,
5,age_cat,nectar3_090523,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,Age categories (5 years),Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age categories (5 years),%9.0g,variable,,,,,NECTAR3,,,,,,,,,
6,sex_bin,nectar3_090523,http://purl.obolibrary.org/obo/PATO_0000047,Sex,"Sex binary (Female = 0, Male =1)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Sex binary (Female = 0, Male =1)",%10.0g,variable,,,,,NECTAR3,,,,,,,,,
7,weight,nectar3_090523,http://purl.obolibrary.org/obo/IAO_0000414,Weight,Weight in kg,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Weight in kg,%10.0g,variable,,,,,NECTAR3,kg,,,,,,,,
8,hbrsult,nectar3_090523,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,Hb concentration g/dL,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,hbrsult,%10.0g,variable,,,,,NECTAR3,g/dL,http://purl.obolibrary.org/obo/UO_0000208,,,,,,,
9,temp,nectar3_090523,http://purl.obolibrary.org/obo/OBI_0003073,Temperature,Temperature in celsius,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,Temperature in celsius,%10.0g,variable,,,,,NECTAR3,C,http://purl.obolibrary.org/obo/UO_0000027,,,,,,,
10,mic_pf_asc_ul,nectar3_090523,http://purl.obolibrary.org/obo/EUPATH_0000550,"Plasmodium falciparum asexual stages, by microscopy result",Microscopy Pf asexuals per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Microscopy Pf asexuals per uL,%9.0g,variable,,,,,NECTAR3,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
11,mic_pf_gct_ul,nectar3_090523,http://purl.obolibrary.org/obo/EUPATH_0000546,"Plasmodium falciparum gametocytes, by microscopy result",Microscopy Pf gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Microscopy Pf gametocytes per uL,%9.0g,variable,,,,,NECTAR3,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
12,mic_pf_pos,nectar3_090523,http://purl.obolibrary.org/obo/EUPATH_0000423,"Plasmodium species, by microscopy",Microscopy positivity Pf,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Microscopy positivity Pf,%9.0g,variable,,,,,NECTAR3,,,,,,,,,
13,qrtpcr_gct_ul,nectar3_090523,http://purl.obolibrary.org/obo/EUPATH_0064201,"Plasmodium gametocytes, by qRT-PCR result",qRTPCR total gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR total gametocytes per uL,%9.0g,variable,,,,,NECTAR3,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
