colOrder,variable,dataFile,IRI,label,definition,category,displayOrder,parentLabel,parentIRI,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,uniqueVar
,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,Participant,,,,category,,,,NECTAR4,,,,,,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,Sample,,,,category,,,,NECTAR4,,,,,,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,Participant,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,,,,NECTAR4,,,,,,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,Participant,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,,,,NECTAR4,,,,,,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,,Participant,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,,,,NECTAR4,,,,,,,,,,
,,,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,,Sample,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,category,,,,NECTAR4,,,,,,,,,,
,,,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,Participant,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,,,,NECTAR4,,,,,,,,,,
,,,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,Sample,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,category,,,,NECTAR4,,,,,,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,Sample,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,category,,,,NECTAR4,,,,,,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,,Sample,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,category,,,,NECTAR4,,,,,,,,,,
4,studyvisit_num,nectar4_181023_cedb,http://purl.obolibrary.org/obo/EUPATH_0061010,Time since intervention started,,Participant,,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,,yes,yes,,NECTAR4,days,http://purl.obolibrary.org/obo/UO_0000033,yes,,,,,,,
5,enrol_month_year,nectar4_181023_cedb,http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,,Participant,,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,,,yes,,NECTAR4,,,yes,,,,,,,
9,arm,nectar4_181023_cedb,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,,Participant,,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,,,,,NECTAR4,,,yes,,,,,,,
10,age_cat,nectar4_181023_cedb,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,,Participant,,Demogrpahics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,,,NECTAR4,,,,,,,,,,
11,sex_bin,nectar4_181023_cedb,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,Demogrpahics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,,,NECTAR4,,,,,,,,,,
12,weight,nectar4_181023_cedb,http://purl.obolibrary.org/obo/IAO_0000414,Weight,,Participant,,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,,,NECTAR4,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,,
13,hbrsult,nectar4_181023_cedb,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,,Sample,,Blood test,http://purl.obolibrary.org/obo/OBI_0003040,,,,,NECTAR4,g/dL,http://purl.obolibrary.org/obo/UO_0000208,,,,,,,,
14,temp,nectar4_181023_cedb,http://purl.obolibrary.org/obo/OBI_0003073,Temperature,,Participant,,Physical examition,http://purl.obolibrary.org/obo/OGMS_0000083,,,,,NECTAR4,C,http://purl.obolibrary.org/obo/UO_0000027,,,,,,,,
15,mic_pf_asc_ul,nectar4_181023_cedb,http://purl.obolibrary.org/obo/EUPATH_0000550,"Plasmodium falciparum asexual stages, by microscopy result",,Sample,,Raw eukaryota data for blood,http://purl.obolibrary.org/obo/OBI_0003263,,,,,NECTAR4,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,,
16,mic_pf_gct_ul,nectar4_181023_cedb,http://purl.obolibrary.org/obo/EUPATH_0000546,"Plasmodium falciparum gametocytes, by microscopy result",,Sample,,Raw eukaryota data for blood,http://purl.obolibrary.org/obo/OBI_0003263,,,,,NECTAR4,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,,
