variable	variable2	values	mappedTerm	valueOrder
alloc12	alloc12	1	Intervention	
alloc12	alloc12	2	Control		
country	country	1	Democratic Republic of the Congo
country	country	2	Zambia
typeclinic	typeclinic	0	Public	
typeclinic	typeclinic	1	Private	
typeclinic	typeclinic	2	Faith-based	
program	program	0	No	
program	program	1	Yes					
syph01_03b_e1_c1	syph01_03b_e1_c1	NA	:::UNDEF:::	
syph01_03b_e1_c1	syph01_03b_e1_c1	99	:::UNDEF:::	
syph02_04_e2_c2	syph02_04_e2_c2	1	No formal schooling, illiterate	1
syph02_04_e2_c2	syph02_04_e2_c2	2	No formal schooling, literate	2
syph02_04_e2_c2	syph02_04_e2_c2	3	Primary incomplete	3
syph02_04_e2_c2	syph02_04_e2_c2	4	Primary complete	4
syph02_04_e2_c2	syph02_04_e2_c2	5	Secondary incomplete	5
syph02_04_e2_c2	syph02_04_e2_c2	6	Secondary complete	6
syph02_04_e2_c2	syph02_04_e2_c2	7	University or college incomplete	7
syph02_04_e2_c2	syph02_04_e2_c2	8	University or college complete	8
syph02_04_e2_c2	syph02_04_e2_c2	9	Unknown or not applicable	9
syph02_05_e2_c2	syph02_05_e2_c2	1	Married/partner	
syph02_05_e2_c2	syph02_05_e2_c2	2	Single	
syph02_05_e2_c2	syph02_05_e2_c2	3	Widowed without partner currently	
syph02_05_e2_c2	syph02_05_e2_c2	4	Divorced or separated	
syph02_05_e2_c2	syph02_05_e2_c2	5	Unknown or not applicable			
syph02_06_e2_c2	syph02_06_e2_c2	99	:::UNDEF:::	
syph02_07_e2_c2	syph02_07_e2_c2	99	:::UNDEF:::	
syph02_08_e2_c2	syph02_08_e2_c2	99	:::UNDEF:::	
syph02_09_e2_c2	syph02_09_e2_c2	99	:::UNDEF:::	
syph02_10_e2_c2	syph02_10_e2_c2	99	:::UNDEF:::	
syph02_10_e2_c2	syph02_10_e2_c2	NA	:::UNDEF:::		
syph02_15_e2_c2	syph02_15_e2_c2	1	Yes	
syph02_15_e2_c2	syph02_15_e2_c2	2	No	
