file	category	id
_clin_rev_de	household	{{h}}+patid
_clin_rev_de	participant	patid
_clin_rev_de_long	household	{{h}}+patid
_clin_rev_de_long	participant	patid
_clin_rev_de_long	participant_repeated_measures	patid+observation_type
_lab_rev_de	household	{{h}}+patid
_lab_rev_de	participant	patid
_lab_rev_de	participant_repeated_measures	patid+observation_type
_lab_rev_de	samples	{{s}}+patid+observation_type
csf	household	{{h}}+patid
csf	participant	patid
csf	participant_repeated_measures	patid+observation_type
cdc	household	{{h}}+patid
cdc	participant	patid
cfu	household	{{h}}+patid
cfu	participant	patid
cfu	participant_repeated_measures	patid+observation_type
csa	household	{{h}}+patid
csa	participant	patid
lrt	household	{{h}}+patid
lrt	participant	patid
lrt	participant_repeated_measures	patid+observation_type
lrt	samples	{{s}}+patid+observation_type
