IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,colOrder,notesForOnt
http://purl.obolibrary.org/obo/APOLLO_SV_00000570,Employment status,interview0::int_0_q3,interview0,Are you currently employed?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,Are you currently employed?,"0=No, 1=Yes",variable,,,,PPFP Choices KenyaPP,,,,,,,,,19,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,interview0::country,interview0,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Country,,variable,,,,PPFP Choices KenyaPP,,,yes,,,,,,3,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,interview0::int_0_q4,interview0,"Are you currently married, or living together with a man as if married?",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Are you currently married, or living together with a man as if married?","0=Not in a union, 1=Yes, currently married, 2=Yes, currently living with a man, 3=In a steady relationship but not married or living together",variable,yes,,,PPFP Choices KenyaPP,,,,,,,,,20,
http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,interview3::q9,interview3,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Are you currently married, or living together with a man as if married, or in a steady relationship with a man but not married or living together?","0 No, not in a union (La, siko katika ndoa)
1 Yes, currently married (Ndio, nimeolewa kwa sasa)
2 Yes, currently living with a man (Ndio, naishi na mwanamume kwa sasa)
3 In a steady relationship but not married or living together (Niko kwa mahusaino ya kudumu lakini hatujaona wala kuishi pamoja)
99 Refused to answer",variable,yes,,,PPFP Choices KenyaPP,,,,,,,,,119,
http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,interview3::agegr,interview3,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,variable,,,,PPFP Choices KenyaPP,,,,,,,,,124,
http://purl.obolibrary.org/obo/EUPATH_0010418,Eligible for enrollment,interview0::final_eligible,interview0,Final Check for Client Eligibility,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Final Check for Client Eligibility,,variable,,,,PPFP Choices KenyaPP,,,,,,,,,13,
http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,interview0::consent,interview0,Client agreed to participate?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Client agreed to participate?,"0=Declined to participate, 
1=Agreed to participate",variable,,,,PPFP Choices KenyaPP,,,,,,,,,14,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0011048,Breastfeeding status,interview2::int_2_q25b,interview2,Are you still breastfeeding this baby?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,Are you still breastfeeding this baby?,"0 No (La)
1 Yes (Ndio)
88 Don't know/Don't remember (Sijui/Sikumbuki) 99 Refused to answer",variable,,,,PPFP Choices KenyaPP,,,,,,,,,177,
http://purl.obolibrary.org/obo/EUPATH_0011191,Weaning,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015427,Ever breastfed,interview2::int_2_q25a,interview2,Did you ever breastfeed this baby?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,Did you ever breastfeed this baby?,"0 No (La)
1 Yes (Ndio)
88 Don't know/Don't remember (Sijui/Sikumbuki) 99 Refused to answer",variable,,,,PPFP Choices KenyaPP,,,,,,,,,176,
http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,interview0::int_control,interview0,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Study arm,,variable,,,,PPFP Choices KenyaPP,,,yes,,,,,,4,
http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042001,Labor and delivery,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042004,Pregnancy,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,,,,,,,,,,,,,,,,,
