file	category	id
interview0	household	record_id
interview0	hhObs	record_id+interview_number
interview0	participant	record_id
interview0	observation	record_id+interview_number
interview1	household	record_id
interview1	hhObs	record_id+interview_number
interview1	participant	record_id
interview1	observation	record_id+interview_number
interview2	participant	record_id
interview2	observation	record_id+interview_number
interview3	participant	record_id
interview3	observation	record_id+interview_number
interview3_imm_visits	observation	recordid+int0
interview3_othervisits	observation	recordid+othervisit
