uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,timeVarying,flag,keepDiscard
ext_bv_bsc::pid,PROVIDE,pid,ext_bv_bsc,pid,ext_bv_bsc.txt,1,chr,BP1027,NA,NA,n/a,n/a,>10 unique values,426,0,once,duplicated variable,keep
ext_bv_bsc::vnum,PROVIDE,vnum,ext_bv_bsc,vnum,ext_bv_bsc.txt,2,int,15,NA,NA,13,15,13 to 15,2,0,repeated,duplicated variable,keep
ext_bv_bsc::date,PROVIDE,date,ext_bv_bsc,Date,ext_bv_bsc.txt,3,chr,2/4/14 0:00,date?,NA,n/a,n/a,>10 unique values,230,0,repeated,duplicated variable,discard
ext_bv_bsc::age,PROVIDE,age,ext_bv_bsc,age,ext_bv_bsc.txt,4,int,548,NA,NA,546,756,546 to 756,35,0,repeated,NA,keep
ext_bv_bsc::cograw,PROVIDE,cograw,ext_bv_bsc,cograw,ext_bv_bsc.txt,5,int,52,NA,NA,40,65,40 to 65,23,0,repeated,NA,keep
ext_bv_bsc::cogscale,PROVIDE,cogscale,ext_bv_bsc,cogscale,ext_bv_bsc.txt,6,int,10,NA,NA,4,13,4 to 13,10,0,repeated,NA,keep
ext_bv_bsc::cogcmp,PROVIDE,cogcmp,ext_bv_bsc,cogcmp,ext_bv_bsc.txt,7,int,100,NA,NA,70,115,70 to 115,10,0,repeated,NA,keep
ext_bv_bsc::larcraw,PROVIDE,larcraw,ext_bv_bsc,larcraw,ext_bv_bsc.txt,8,int,23,NA,NA,14,34,14 to 34,21,0,repeated,NA,keep
ext_bv_bsc::larcscal,PROVIDE,larcscal,ext_bv_bsc,larcscal,ext_bv_bsc.txt,9,int,12,NA,NA,5,15,5 to 15,11,0,repeated,NA,keep
ext_bv_bsc::laexpraw,PROVIDE,laexpraw,ext_bv_bsc,laexpraw,ext_bv_bsc.txt,10,int,22,NA,NA,10,35,10 to 35,23,0,repeated,NA,keep
ext_bv_bsc::laexpscal,PROVIDE,laexpscal,ext_bv_bsc,laexpscal,ext_bv_bsc.txt,11,int,10,NA,NA,3,14,3 to 14,11,0,repeated,NA,keep
ext_bv_bsc::langscal,PROVIDE,langscal,ext_bv_bsc,langscal,ext_bv_bsc.txt,12,int,22,NA,NA,8,29,8 to 29,18,0,repeated,NA,keep
ext_bv_bsc::langcmp,PROVIDE,langcmp,ext_bv_bsc,langcmp,ext_bv_bsc.txt,13,int,106,NA,NA,65,127,65 to 127,18,0,repeated,NA,keep
ext_bv_bsc::fmotoraw,PROVIDE,fmotoraw,ext_bv_bsc,fmotoraw,ext_bv_bsc.txt,14,int,34,NA,NA,24,43,24 to 43,15,0,repeated,NA,keep
ext_bv_bsc::fmotoscal,PROVIDE,fmotoscal,ext_bv_bsc,fmotoscal,ext_bv_bsc.txt,15,int,10,NA,NA,2,15,2 to 15,12,0,repeated,NA,keep
ext_bv_bsc::gmotoraw,PROVIDE,gmotoraw,ext_bv_bsc,gmotoraw,ext_bv_bsc.txt,16,int,52,NA,NA,39,61,39 to 61,18,0,repeated,NA,keep
ext_bv_bsc::gmotoscal,PROVIDE,gmotoscal,ext_bv_bsc,gmotoscal,ext_bv_bsc.txt,17,int,10,NA,NA,3,14,3 to 14,11,0,repeated,NA,keep
ext_bv_bsc::motoscal,PROVIDE,motoscal,ext_bv_bsc,motoscal,ext_bv_bsc.txt,18,int,20,NA,NA,5,27,5 to 27,18,0,repeated,NA,keep
ext_bv_bsc::motocmp,PROVIDE,motocmp,ext_bv_bsc,motocmp,ext_bv_bsc.txt,19,int,100,NA,NA,55,121,55 to 121,18,0,repeated,NA,keep
ext_bv_bsc::soemoraw,PROVIDE,soemoraw,ext_bv_bsc,soemoraw,ext_bv_bsc.txt,20,int,90,NA,NA,54,110,54 to 110,42,0,repeated,NA,keep
ext_bv_bsc::soemoscal,PROVIDE,soemoscal,ext_bv_bsc,soemoscal,ext_bv_bsc.txt,21,int,10,NA,NA,3,12,3 to 12,9,0,repeated,NA,keep
ext_bv_bsc::soemocmp,PROVIDE,soemocmp,ext_bv_bsc,soemocmp,ext_bv_bsc.txt,22,int,100,NA,NA,65,110,65 to 110,9,0,repeated,NA,keep
ext_bv_dep_st::pid,PROVIDE,pid,ext_bv_dep_st,pid,ext_bv_dep_st.txt,1,chr,BP1005,NA,NA,n/a,n/a,>10 unique values,584,0,once,duplicated variable,keep
ext_bv_dep_st::deindt,PROVIDE,deindt,ext_bv_dep_st,deindt,ext_bv_dep_st.txt,2,chr,2/22/12 0:00,date?,NA,n/a,n/a,>10 unique values,869,0,repeated,NA,keep
ext_bv_dep_st::dedt,PROVIDE,dedt,ext_bv_dep_st,dedt,ext_bv_dep_st.txt,3,chr,2/22/12 0:00,date?,NA,n/a,n/a,>10 unique values,985,0,repeated,duplicated variable,keep
ext_bv_dep_st::dewt,PROVIDE,dewt,ext_bv_dep_st,dewt,ext_bv_dep_st.txt,4,dbl,7.74,NA,NA,2.25,20.9,2.25 to 20.9,772,0,repeated,NA,keep
ext_bv_dep_st::decons,PROVIDE,decons,ext_bv_dep_st,decons,ext_bv_dep_st.txt,5,int,2,NA,NA,1,3,1 to 3,3,0,repeated,NA,keep
ext_bv_dep_st::dehyd,PROVIDE,dehyd,ext_bv_dep_st,dehyd,ext_bv_dep_st.txt,6,int,1,NA,NA,1,3,1 to 3,3,0,repeated,duplicated variable,discard
ext_bv_dep_st::rehyd,PROVIDE,rehyd,ext_bv_dep_st,rehyd,ext_bv_dep_st.txt,7,int,2,NA,NA,1,3,1 to 3,3,0,repeated,duplicated variable,discard
ext_bv_dep_st::antb,PROVIDE,antb,ext_bv_dep_st,antb,ext_bv_dep_st.txt,8,int,3,NA,NA,1,3,1 to 3,3,0,repeated,NA,keep
ext_bv_dep_st::antb1,PROVIDE,antb1,ext_bv_dep_st,antb1,ext_bv_dep_st.txt,9,int,4,NA,NA,1,99,1 to 99,8,0,repeated,NA,keep
ext_bv_dep_st::antb2,PROVIDE,antb2,ext_bv_dep_st,antb2,ext_bv_dep_st.txt,10,int,99,NA,NA,1,99,1 to 99,5,0,repeated,NA,keep
ext_bv_dep_st::antb3,PROVIDE,antb3,ext_bv_dep_st,antb3,ext_bv_dep_st.txt,11,int,99,NA,NA,99,99,99 to 99,1,0,once,NA,keep
ext_bv_dep_st::deptemp,PROVIDE,deptemp,ext_bv_dep_st,deptemp,ext_bv_dep_st.txt,12,chr,NULL,NA,NA,n/a,n/a,>10 unique values,33,0,repeated,NA,keep
ext_bv_dep_st::vstnum,PROVIDE,vstnum,ext_bv_dep_st,vstnum,ext_bv_dep_st.txt,13,int,-9,NA,NA,-9,-9,-9 to -9,1,0,once,duplicated variable,keep
ext_bv_dir_st::pid,PROVIDE,pid,ext_bv_dir_st,pid,ext_bv_dir_st.txt,1,chr,BP1005,NA,NA,n/a,n/a,>10 unique values,700,0,once,duplicated variable,keep
ext_bv_dir_st::dov,PROVIDE,dov,ext_bv_dir_st,dov,ext_bv_dir_st.txt,2,chr,7/10/11 0:00,NA,NA,n/a,n/a,>10 unique values,1283,0,repeated,duplicated variable,keep
ext_bv_dir_st::bfh,PROVIDE,bfh,ext_bv_dir_st,bfh,ext_bv_dir_st.txt,3,int,1,NA,NA,1,6,1 to 6,6,0,repeated,NA,keep
ext_bv_dir_st::vomt,PROVIDE,vomt,ext_bv_dir_st,vomt,ext_bv_dir_st.txt,4,int,0,NA,NA,0,20,0 to 20,16,0,repeated,NA,keep
ext_bv_dir_st::temp,PROVIDE,temp,ext_bv_dir_st,temp,ext_bv_dir_st.txt,5,dbl,99.9,NA,NA,35,99.9,35 to 99.9,52,0,repeated,duplicated variable,keep
ext_bv_dir_st::diar,PROVIDE,diar,ext_bv_dir_st,diar,ext_bv_dir_st.txt,6,int,2,NA,NA,1,2,1 to 2,2,0,repeated,NA,keep
ext_bv_dir_st::drno,PROVIDE,drno,ext_bv_dir_st,drno,ext_bv_dir_st.txt,7,int,99,NA,NA,3,99,3 to 99,22,0,repeated,NA,keep
ext_bv_dir_st::mucs,PROVIDE,mucs,ext_bv_dir_st,mucs,ext_bv_dir_st.txt,8,int,99,NA,NA,1,99,1 to 99,3,0,repeated,NA,keep
ext_bv_dir_st::stbld,PROVIDE,stbld,ext_bv_dir_st,stbld,ext_bv_dir_st.txt,9,int,99,NA,NA,1,99,1 to 99,3,0,repeated,NA,keep
ext_bv_dir_st::stspc,PROVIDE,stspc,ext_bv_dir_st,stspc,ext_bv_dir_st.txt,10,int,99,NA,NA,1,99,1 to 99,3,0,repeated,NA,keep
ext_bv_dir_st::antbi,PROVIDE,antbi,ext_bv_dir_st,antbi,ext_bv_dir_st.txt,11,int,99,NA,NA,1,99,1 to 99,3,0,repeated,NA,keep
ext_bv_dir_st::ors,PROVIDE,ors,ext_bv_dir_st,ors,ext_bv_dir_st.txt,12,int,99,NA,NA,1,99,1 to 99,3,0,repeated,duplicated variable,keep
ext_bv_dir_st::intcode,PROVIDE,intcode,ext_bv_dir_st,intcode,ext_bv_dir_st.txt,13,int,106,NA,NA,103,144,103 to 144,17,0,repeated,duplicated variable,discard
ext_bv_dir_st::mth,PROVIDE,mth,ext_bv_dir_st,mth,ext_bv_dir_st.txt,14,int,7,NA,NA,1,12,1 to 12,12,0,repeated,NA,discard
ext_bv_dir_st::year,PROVIDE,year,ext_bv_dir_st,year,ext_bv_dir_st.txt,15,int,2011,NA,NA,2011,2014,2011 to 2014,4,0,repeated,NA,discard
ext_bv_dir_st::vstnum,PROVIDE,vstnum,ext_bv_dir_st,vstnum,ext_bv_dir_st.txt,16,int,-9,NA,NA,-9,-9,-9 to -9,1,0,once,duplicated variable,keep
ext_bv_dsmicr_st::pid,PROVIDE,pid,ext_bv_dsmicr_st,pid,ext_bv_dsmicr_st.txt,1,chr,BP1005,NA,NA,n/a,n/a,>10 unique values,601,0,once,duplicated variable,keep
ext_bv_dsmicr_st::spectyp,PROVIDE,spectyp,ext_bv_dsmicr_st,spectyp,ext_bv_dsmicr_st.txt,2,int,12,NA,NA,12,12,12 to 12,1,0,once,NA,discard
ext_bv_dsmicr_st::specnum,PROVIDE,specnum,ext_bv_dsmicr_st,specnum,ext_bv_dsmicr_st.txt,3,int,1,NA,NA,1,29,1 to 29,29,0,repeated,duplicated variable,discard
ext_bv_dsmicr_st::specwk,PROVIDE,specwk,ext_bv_dsmicr_st,specwk,ext_bv_dsmicr_st.txt,4,chr,NULL,NA,NA,n/a,n/a,NULL,1,0,once,NA,discard
ext_bv_dsmicr_st::specwho,PROVIDE,specwho,ext_bv_dsmicr_st,specwho,ext_bv_dsmicr_st.txt,5,int,2,NA,NA,2,2,2 to 2,1,0,once,NA,discard
ext_bv_dsmicr_st::specdt,PROVIDE,specdt,ext_bv_dsmicr_st,specdt,ext_bv_dsmicr_st.txt,6,chr,2/22/12 0:00,date?,NA,n/a,n/a,>10 unique values,837,0,repeated,duplicated variable,keep
ext_bv_dsmicr_st::cons,PROVIDE,cons,ext_bv_dsmicr_st,cons,ext_bv_dsmicr_st.txt,7,int,2,NA,NA,2,4,2 to 4,3,0,repeated,NA,keep
ext_bv_dsmicr_st::bld,PROVIDE,bld,ext_bv_dsmicr_st,bld,ext_bv_dsmicr_st.txt,8,int,0,NA,NA,0,1,0 to 1,2,0,repeated,NA,keep
ext_bv_dsmicr_st::mucus,PROVIDE,mucus,ext_bv_dsmicr_st,mucus,ext_bv_dsmicr_st.txt,9,int,0,NA,NA,0,3,0 to 3,4,0,repeated,NA,keep
ext_bv_dsmicr_st::rbc,PROVIDE,rbc,ext_bv_dsmicr_st,rbc,ext_bv_dsmicr_st.txt,10,int,1,NA,NA,1,2,1 to 2,2,0,repeated,NA,keep
ext_bv_dsmicr_st::pus,PROVIDE,pus,ext_bv_dsmicr_st,pus,ext_bv_dsmicr_st.txt,11,int,1,NA,NA,1,2,1 to 2,2,0,repeated,NA,keep
ext_bv_dsmicr_st::macro,PROVIDE,macro,ext_bv_dsmicr_st,macro,ext_bv_dsmicr_st.txt,12,int,1,NA,NA,1,2,1 to 2,2,0,repeated,NA,keep
ext_bv_dsmicr_st::status,PROVIDE,status,ext_bv_dsmicr_st,status,ext_bv_dsmicr_st.txt,13,int,0,NA,NA,0,1,0 to 1,2,0,repeated,NA,keep
ext_bv_dsmicr_st::micreh,PROVIDE,micreh,ext_bv_dsmicr_st,micreh,ext_bv_dsmicr_st.txt,14,int,2,NA,NA,1,2,1 to 2,2,0,repeated,NA,keep
