file	category	id
ext_bv_bsc	Household	pid
ext_bv_bsc	Observation	pid+vnum
ext_bv_bsc	Participant	pid
ext_bv_dep_st	Household	pid
ext_bv_dep_st	Observation	pid+vstnum+deindt
ext_bv_dep_st	Participant	pid
ext_bv_dir_st	Household	pid
ext_bv_dir_st	Observation	pid+vstnum+dov
ext_bv_dir_st	Participant	pid
ext_bv_dsmicr_st	Household	pid
ext_bv_dsmicr_st	Observation	pid+vstnum+specdt
ext_bv_dsmicr_st	Participant	pid
ext_bv_dsmicr_st	Sample	pid+vstnum+specdt
ext_bv_enm	Household	pid
ext_bv_enm	Participant	pid
ext_bv_epd	Household	pid
ext_bv_epd	Participant	pid
ext_bv_f06	Household	pid
ext_bv_f06	Observation	pid+f6vn
ext_bv_f06	Participant	pid
ext_bv_f06	Sample	pid+f6vn
ext_bv_f10	Household	pid
ext_bv_f10	Observation	pid+f10vn
ext_bv_f10	Participant	pid
ext_bv_f10	Sample	pid+f10vn
ext_bv_f104	Household	pid
ext_bv_f104	Observation	pid+f104vn
ext_bv_f104	Participant	pid
ext_bv_f104	Sample	pid+f104vn
ext_bv_f14	Household	pid
ext_bv_f14	Observation	pid+f14vn
ext_bv_f14	Participant	pid
ext_bv_f14	Sample	pid+f14vn
ext_bv_f17	Household	pid
ext_bv_f17	Observation	pid+f17vn
ext_bv_f17	Participant	pid
ext_bv_f18	Household	pid
ext_bv_f18	Observation	pid+f18vn
ext_bv_f18	Participant	pid
ext_bv_f18	Sample	pid+f18vn
ext_bv_f39	Household	pid
ext_bv_f39	Observation	pid+f39vn
ext_bv_f39	Participant	pid
ext_bv_f39	Sample	pid+f39vn
ext_bv_f40	Household	pid
ext_bv_f40	Observation	pid+f40vn
ext_bv_f40	Participant	pid
ext_bv_f40	Sample	pid+f40vn
ext_bv_f52	Household	pid
ext_bv_f52	Observation	pid+f52vn
ext_bv_f52	Participant	pid
ext_bv_f53	Household	pid
ext_bv_f53	Observation	pid+f53vn
ext_bv_f53	Participant	pid
ext_bv_f53	Sample	pid+f53vn
ext_bv_fan	Household	pid
ext_bv_fan	Observation	pid+fanvn
ext_bv_fan	Participant	pid
ext_bv_fan	Sample	pid+fanvn
ext_bv_fci	Household	pid
ext_bv_fci	Observation	pid+vnum
ext_bv_fci	Participant	pid
ext_bv_fcs_st	Household	pid
ext_bv_fcs_st	Observation	pid+vstnum
ext_bv_fcs_st	Participant	pid
ext_bv_fcs_st	Sample	pid+vstnum+vstdetail
ext_bv_flm	Household	pid
ext_bv_flm	Observation	pid+flmvn
ext_bv_flm	Participant	pid
ext_bv_flm	Sample	pid+flmvn
ext_bv_mfu_st	Household	pid
ext_bv_mfu_st	Observation	pid+vstnum
ext_bv_mfu_st	Participant	pid
ext_bv_mfu_st	Sample	pid+vstnum
ext_bv_neb_st	Household	pid
ext_bv_neb_st	Observation	pid+vstnum+date
ext_bv_neb_st	Participant	pid
ext_bv_pdv_st	Household	pid
ext_bv_pdv_st	Observation	pid+vstnum+uniqueid
ext_bv_pdv_st	Participant	pid
ext_bv_ps1_2_st	Household	pid
ext_bv_ps1_2_st	Observation	pid+vstnum
ext_bv_ps1_2_st	Participant	pid
ext_bv_ps1_2_st	Sample	pid+vstnum+vstdetail
ext_bv_ptreat_st	Household	pid
ext_bv_ptreat_st	Observation	pid+vstnum+dov
ext_bv_ptreat_st	Participant	pid
ext_bv_ref_st	Household	pid
ext_bv_ref_st	Observation	pid+vstnum+refdt
ext_bv_ref_st	Participant	pid
ext_bv_rss_st	Household	pid
ext_bv_rss_st	Observation	pid+vstnum
ext_bv_rss_st	Participant	pid
ext_bv_rss_st	Sample	pid+vstnum+vstdetail
ext_bv_rvn	Household	pid
ext_bv_rvn	Participant	pid
ext_bv_sae_st	Household	pid
ext_bv_sae_st	Observation	pid+vstnum+uniqueid
ext_bv_sae_st	Participant	pid
ext_bv_sbo	Household	pid
ext_bv_sbo	Observation	pid+sbvn
ext_bv_sbo	Participant	pid
ext_bv_sbo	Sample	pid+sbvn
ext_bv_ses	Household	pid
ext_bv_ses	Participant	pid
ext_lab_bv_abo	Household	pid
ext_lab_bv_abo	Participant	pid
ext_lab_bv_act	Household	pid
ext_lab_bv_act	Observation	pid+vstnum
ext_lab_bv_act	Participant	pid
ext_lab_bv_act	Sample	pid+vstnum
ext_lab_bv_ala	Household	pid
ext_lab_bv_ala	Observation	pid+vstnum
ext_lab_bv_ala	Participant	pid
ext_lab_bv_ala	Sample	pid+vstnum
ext_lab_bv_bml_st	Household	pid
ext_lab_bv_bml_st	Observation	pid+vstnum
ext_lab_bv_bml_st	Participant	pid
ext_lab_bv_bml_st	Sample	pid+vstnum
ext_lab_bv_calp	Household	pid
ext_lab_bv_calp	Observation	pid+vstnum
ext_lab_bv_calp	Participant	pid
ext_lab_bv_calp	Sample	pid+vstnum
ext_lab_bv_cmv	Household	pid
ext_lab_bv_cmv	Observation	pid+vstnum
ext_lab_bv_cmv	Participant	pid
ext_lab_bv_cmv	Sample	pid+vstnum
ext_lab_bv_cmvrt	Household	pid
ext_lab_bv_cmvrt	Observation	pid+vstnum
ext_lab_bv_cmvrt	Participant	pid
ext_lab_bv_cmvrt	Sample	pid+vstnum
ext_lab_bv_crem-prkca	Household	pid
ext_lab_bv_crem-prkca	Participant	pid
