colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
11,abortion_miscarriage,pregnancy_monitori_arm_reshaped,keep,,,How many previous spontaneous abortions/miscarriages has the participant had?,NA,,,,NA,pregnancy_monitori_arm_reshaped::abortion_miscarriage,RIMDAMAL,abortion_miscarriage,int,0,NA,NA,0 to 1,2,0.678571429,NA
11,abortion_miscarriage_v2,pregnancy_monitori_arm_2020_reshaped,keep,,,NA,NA,,,,NA,pregnancy_monitori_arm_2020_reshaped::abortion_miscarriage_v2,RIMDAMAL,abortion_miscarriage_v2,chr,0,NA,NA,"0, 00, FALSE, TRUE, NA",4,0.12195122,NA
40,acd_detection_active_de_cas_2020_complete,active_case_detect_arm_2020_reshaped,keep,,,NA,NA,,,,NA,active_case_detect_arm_2020_reshaped::acd_detection_active_de_cas_2020_complete,RIMDAMAL,acd_detection_active_de_cas_2020_complete,int,2,NA,NA,2 to 2,1,0,NA
34,adv_event_acd,active_case_detect_arm_reshaped,keep,,,Is the participant presenting with an Adverse Event other than malaria?,"1, Oui | 0, Non",,,,NA,active_case_detect_arm_reshaped::adv_event_acd,RIMDAMAL,adv_event_acd,int,0,NA,NA,0 to 1,2,0.001982885,NA
35,adv_event_acd_v2,active_case_detect_arm_2020_reshaped,keep,,,NA,NA,,,,NA,active_case_detect_arm_2020_reshaped::adv_event_acd_v2,RIMDAMAL,adv_event_acd_v2,int,0,NA,NA,0 to 1,2,0.006204231,NA
11,adv_event_descrip___1,adverse_events_arm_reshaped,keep,,,NA,NA,,,,NA,adverse_events_arm_reshaped::adv_event_descrip___1,RIMDAMAL,adv_event_descrip___1,int,0,NA,NA,0 to 0,1,0,NA
20,adv_event_descrip___10,adverse_events_arm_reshaped,keep,,,NA,NA,,,,NA,adverse_events_arm_reshaped::adv_event_descrip___10,RIMDAMAL,adv_event_descrip___10,int,0,NA,NA,0 to 0,1,0,NA
21,adv_event_descrip___11,adverse_events_arm_reshaped,keep,,,NA,NA,,,,NA,adverse_events_arm_reshaped::adv_event_descrip___11,RIMDAMAL,adv_event_descrip___11,int,1,NA,NA,0 to 1,2,0,NA
22,adv_event_descrip___12,adverse_events_arm_reshaped,keep,,,NA,NA,,,,NA,adverse_events_arm_reshaped::adv_event_descrip___12,RIMDAMAL,adv_event_descrip___12,int,0,NA,NA,0 to 1,2,0,NA
23,adv_event_descrip___13,adverse_events_arm_reshaped,keep,,,NA,NA,,,,NA,adverse_events_arm_reshaped::adv_event_descrip___13,RIMDAMAL,adv_event_descrip___13,int,0,NA,NA,0 to 0,1,0,NA
