colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notes,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
56,http://purl.obolibrary.org/obo/EUPATH_0064646,Sleep with socks,household_survey_f_arm_reshaped::sock_hsc,,household_survey_f_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Does this person sleep with socks on?,,variable,,,,,RIMDAMAL,,,,,,,,,
58,http://purl.obolibrary.org/obo/EUPATH_0064646,Sleep with socks,household_survey_f_arm_2020_reshaped::sock_hsc_v2,,household_survey_f_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Does this person sleep with socks on?,,variable,,,,,RIMDAMAL,,,,,,,,,
27,http://purl.obolibrary.org/obo/EUPATH_0064508,ACD cohort member,mass_drug_administ_arm_reshaped::mda3_childacd_check,,mass_drug_administ_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is this child part of the ACD cohort?,"1, Oui | 0, Non",variable,,,,,RIMDAMAL,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0064508,ACD cohort member,mass_drug_administ_arm_2020_reshaped::mda5_childacd_check,,mass_drug_administ_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is this child part of the ACD cohort?,"1, Oui | 0, Non",variable,,,,,RIMDAMAL,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0064509,Cross-sectional cohort member,enrollment__base_d_arm_reshaped::cross_sec_cohort,,enrollment__base_d_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Check ""Yes"" only if the participant lives in a household selected for the cross-sectional cohort
The participant is part of the cross-sectional cohort",,variable,,,,,RIMDAMAL,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0064509,Cross-sectional cohort member,enrollment_year1_year2_arm_2020_reshaped::cross_sec_cohort,,enrollment_year1_year2_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,variable,,,,,RIMDAMAL,,,,,,,,,
46,http://purl.obolibrary.org/obo/EUPATH_0064509,Cross-sectional cohort member,enrollment_year1_year2_arm_2020_reshaped::cross_sec_cohort_v2,,enrollment_year1_year2_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,variable,,,,,RIMDAMAL,,,,,,,,,
10,http://purl.obolibrary.org/obo/EUPATH_0064514,Consent for mass drug admistration,mass_drug_administ_arm_2020_reshaped::mda5_admin,,mass_drug_administ_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,"The participant agrees to participate in this MDA
",,variable,,,,,RIMDAMAL,,,,,,,,,
5,http://purl.obolibrary.org/obo/EUPATH_0064623,Participant agrees to TM after MDA1,mass_drug_administ_arm_reshaped::mda1_admin,,mass_drug_administ_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Does the participant agree to take the TM during this passage?
This part must be completed after the first season of MDA1 - Answer ''Yes'' even if the subject was only one or two days (instead of three)",,variable,"not sure about this translation, JZ: current term and parent with same label. I relabel the term and set parent as 'Administrative information'",,,,RIMDAMAL,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0064511,PKPD cohort member,pregnancy_monitori_arm_2020_reshaped::pass_report_preg_v2,,pregnancy_monitori_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Check ""Yes"" only if the participant was selected to be part of the Pharmacokinetic-dynamics of ivermectin (PKPD) cohort",,variable,,,,,RIMDAMAL,,,,,,,,,
22,http://purl.obolibrary.org/obo/EUPATH_0064511,PKPD cohort member,enrollment__base_d_arm_reshaped::pkpd_cohort,,enrollment__base_d_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Check ""Yes"" only if the participant was selected to be part of the Pharmacokinetic-dynamics of ivermectin (PKPD) cohort",,variable,,,,,RIMDAMAL,,,,,,,,,
22,http://purl.obolibrary.org/obo/EUPATH_0064511,PKPD cohort member,enrollment_year1_year2_arm_2020_reshaped::pkpd_cohort,,enrollment_year1_year2_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Check ""Yes"" only if the participant was selected to be part of the Pharmacokinetic-dynamics of ivermectin (PKPD) cohort",,variable,,,,,RIMDAMAL,,,,,,,,,
