colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
9,enrollment__base_d_arm_reshaped::child_age_elig_smc,enrollment__base_d_arm_reshaped,,Take SMC,,,http://purl.obolibrary.org/obo/EUPATH_0000058,Antimalarial medication,"This person is eligible for Chemo prevention
of Seasonal Malaria (CPS)
Will he/she take CPS?",,variable,,,,,RIMDAMAL,,,,,,,,,
9,enrollment_year1_year2_arm_2020_reshaped::child_age_elig_smc,enrollment_year1_year2_arm_2020_reshaped,,Take SMC,,,http://purl.obolibrary.org/obo/EUPATH_0000058,Antimalarial medication,"This person is eligible for Chemo prevention
of Seasonal Malaria (CPS)
Will he/she take CPS?",,variable,,,,,RIMDAMAL,,,,,,,,,
34,enrollment_year1_year2_arm_2020_reshaped::child_age_elig_smc_v2,enrollment_year1_year2_arm_2020_reshaped,,Take SMC,,,http://purl.obolibrary.org/obo/EUPATH_0000058,Antimalarial medication,"This person is eligible for Chemo prevention
of Seasonal Malaria (CPS)
Will he/she take CPS?",,variable,,,,,RIMDAMAL,,,,,,,,,
48,malaria_arm_reshaped::com_malaria_outcome,malaria_arm_reshaped,,Severe malaria outcome,,,http://purl.obolibrary.org/obo/EUPATH_0042161,Medical history,Please complete the severe malaria result,"1, Recovered | 2, Recovered with sequela | 3, Death",variable,new term needed,,,,RIMDAMAL,,,,,,,,,
18,crosssectional_sam_arm_reshaped::cross_sec_hemocue,crosssectional_sam_arm_reshaped,,Hemocue collected,,,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,Has a hemocue been obtained?,,variable,,,,,RIMDAMAL,,,,,,,,,
19,crosssectional_sam_arm_reshaped::cross_sec_hemocue_result,crosssectional_sam_arm_reshaped,,Hemocue result,,,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,Please enter the hemocue result:,,variable,,,,,RIMDAMAL,,,,,,,,,
19,crosssectional_sam_arm_2020_reshaped::cross_sec_hemocue_result_v2,crosssectional_sam_arm_2020_reshaped,,Hemocue result,,,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,Please enter the hemocue result:,,variable,,,,,RIMDAMAL,,,,,,,,,
17,crosssectional_sam_arm_2020_reshaped::cross_sec_hemocue_v2,crosssectional_sam_arm_2020_reshaped,,Hemocue,,,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,Has a hemocue been obtained?,,variable,,,,,RIMDAMAL,,,,,,,,,
18,crosssectional_sam_arm_2020_reshaped::cross_sec_no_hemocue_v2,crosssectional_sam_arm_2020_reshaped,,Reason for no hemocue,,,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,"If hemocue was not obtained, please explain why.",,variable,,,,,RIMDAMAL,,,,,,,,,
19,enrollment__base_d_arm_reshaped::eligible_pregtest,enrollment__base_d_arm_reshaped,,Participant is a woman between 12 and 45 years old,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Check ""Yes"" if the participant is a woman
and is between 12 and 45 years old
The participant must take a urine pregnancy test 1 week before each TM
",,variable,,,,,RIMDAMAL,,,,,,,,,
19,enrollment_year1_year2_arm_2020_reshaped::eligible_pregtest,enrollment_year1_year2_arm_2020_reshaped,,Participant is a woman between 12 and 45 years old,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Check ""Yes"" if the participant is a woman
and is between 12 and 45 years old
The participant must take a urine pregnancy test 1 week before each TM
",,variable,,,,,RIMDAMAL,,,,,,,,,
44,enrollment_year1_year2_arm_2020_reshaped::eligible_pregtest_v2,enrollment_year1_year2_arm_2020_reshaped,,Participant is a woman between 12 and 45 years old,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Check ""Yes"" if the participant is a woman
and is between 12 and 45 years old
The participant must take a urine pregnancy test 1 week before each TM
",,variable,,,,,RIMDAMAL,,,,,,,,,
20,enrollment__base_d_arm_reshaped::eligible_pregtest2,enrollment__base_d_arm_reshaped,,Participant is a woman between 12 and 45 years old,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Check 'Yes' if the subject is a woman whose age is >= 46, but who continues to have menstrual cycles
The subject must take a pregnancy test
urine 1 week before each TM",,variable,,,yes,,RIMDAMAL,,,,,,,,,
20,enrollment_year1_year2_arm_2020_reshaped::eligible_pregtest2,enrollment_year1_year2_arm_2020_reshaped,,Participant is a woman between 12 and 45 years old,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Check 'Yes' if the subject is a woman whose age is >= 46, but who continues to have menstrual cycles
The subject must take a pregnancy test
urine 1 week before each TM",,variable,,,,,RIMDAMAL,,,,,,,,,
45,enrollment_year1_year2_arm_2020_reshaped::eligible_pregtest2_v2,enrollment_year1_year2_arm_2020_reshaped,,Participant is a woman between 12 and 45 years old,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Check 'Yes' if the subject is a woman whose age is >= 46, but who continues to have menstrual cycles
The subject must take a pregnancy test
urine 1 week before each TM",,variable,,,,,RIMDAMAL,,,,,,,,,
12,active_case_detect_arm_reshaped::sev_mal_doctor,active_case_detect_arm_reshaped,,Blood sample collected due to severe malaria risk,Blood sample collected by doctor due to severe malaria risk,,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,Is the doctor asking for a malaria smear reading because of the risk for severe malaria?,,variable,,,,,RIMDAMAL,,,,,,,,,
13,active_case_detect_arm_2020_reshaped::sev_mal_doctor_v2,active_case_detect_arm_2020_reshaped,,Blood sample collected due to severe malaria risk,,,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,Is the doctor asking for a malaria smear reading because of the risk for severe malaria?,,variable,,,,,RIMDAMAL,,,,,,,,,
50,malaria_arm_reshaped::therapeutic_fail_number,malaria_arm_reshaped,,Therapeutic failure,,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,,variable,,,,,RIMDAMAL,,,,,,,,,
3,withdrawaldisconti_arm_reshaped::withdraw_discont,withdrawaldisconti_arm_reshaped,http://purl.obolibrary.org/obo/EUPATH_0047148,Withdrawal,,,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,The subject was:,"1, Withdrawn from the study | 2, Stopped participating in the study",variable,,,,,RIMDAMAL,,,,,,,,,
6,active_case_detect_arm_2020_reshaped::type_therm,active_case_detect_arm_2020_reshaped,http://purl.obolibrary.org/obo/OBI_0003080,Temperature measurement method,,,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,Was the temperature measured with a forehead thermometer or an axillary thermometer?,,variable,new term needed,,,,RIMDAMAL,,,,,,,,,
11,adverse_events_arm_2020_reshaped::type_therm_ae,adverse_events_arm_2020_reshaped,http://purl.obolibrary.org/obo/OBI_0003080,Temperature measurement method,,,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,Was the temperature measured with a forehead thermometer or an axillary thermometer?,,variable,,,,,RIMDAMAL,,,,,,,,,
11,mass_drug_administ_arm_reshaped::adv_event_mda1_dose1,mass_drug_administ_arm_reshaped,,Dose 1,,,,Did the participant present with an adverse event after a dose of the MDA,"Did the participant present with an Adverse Event after the first dose of the MDA? 
It may also include drug tolerance reactions, such as vomiting and abdominal pain.","1, Oui | 0, Non | 2, Did not receive the dose",value,new term needed,yes,,,RIMDAMAL,,,,,,,,,
12,mass_drug_administ_arm_reshaped::adv_event_mda1_dose2,mass_drug_administ_arm_reshaped,,Dose 2,,,,Did the participant present with an adverse event after a dose of the MDA,"Did the participant present with an Adverse Event after the second dose of the MDA? 
It may also include drug tolerance reactions, such as vomiting and abdominal pain.","1, Oui | 0, Non | 2, Did not receive the dose",value,new term needed,yes,,,RIMDAMAL,,,,,,,,,
21,mass_drug_administ_arm_2020_reshaped::mda5_childacd_check,mass_drug_administ_arm_2020_reshaped,,ACD cohort member,,,,ACD cohort member,Is this child part of the ACD cohort?,"1, Oui | 0, Non",variable,new term needed,,,,RIMDAMAL,,,,,,,,,
56,household_survey_f_arm_reshaped::sock_hsc,household_survey_f_arm_reshaped,,Sleep with socks,,,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Does this person sleep with socks on?,,variable,,,,,RIMDAMAL,,,,,,,,,
58,household_survey_f_arm_2020_reshaped::sock_hsc_v2,household_survey_f_arm_2020_reshaped,,Sleep with socks,,,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Does this person sleep with socks on?,,variable,,,,,RIMDAMAL,,,,,,,,,
