uniqueVar	IRI	values	mappedTerm	valueOrder
country	country	Cote d'Ivoire	Cote d'Ivoire	
sex	sex	M	Male	2
sex	sex	F	Female	1
sex	sex	na	Not collected	3
age	age	na	:::UNDEF:::	3
sm_positive	sm_positive	0	Negative	2
sm_positive	sm_positive	1	Positive	1
sm_positive	sm_positive	na	NA	3
sh_positive	sh_positive	0	Negative	2
sh_positive	sh_positive	1	Positive	1
sh_positive	sh_positive	na	NA	3
cca_positive	cca_positive	0	Negative	2
cca_positive	cca_positive	1	Positive	1
cca_positive	cca_positive	na	NA	3
hemastix_positive	hemastix_positive	0	Negative	2
hemastix_positive	hemastix_positive	1	Positive	1
hemastix_positive	hemastix_positive	na	NA	3
sm_mean_epg	sm_mean_epg	na	:::UNDEF:::	
sh_mean_epg	sh_mean_epg	na	:::UNDEF:::	
