IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,SHINE_Infant_Birth_m18_Data::hb_m18,1,SHINE_Infant_Birth_m18_Data,Assessed at month 18 study timepoint only,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,,,variable,,,,SHINE,,g/dL,http://purl.obolibrary.org/obo/UO_0000208,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,,1,,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,,,SHINE,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000501,Bed,SHINE_Baseline_Household_Data::r01_bed,1,SHINE_Baseline_Household_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,r01_06_01: Owns bed,,value,,,,SHINE,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,SHINE_Baseline_Household_Data::g02_drinking_water_source,1,SHINE_Baseline_Household_Data,"Type of water source used for drinking, measured at baseline",Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,g02:Type of water source used for drinking,,variable,,,,SHINE,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000577,Radio,SHINE_Baseline_Household_Data::r01_radio,22,SHINE_Baseline_Household_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,r01_15_01: Owns radio,,value,,,,SHINE,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000579,Television,SHINE_Baseline_Household_Data::r01_tv,31,SHINE_Baseline_Household_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,r01_18_01: Owns TV (color/black-white),,value,,,,SHINE,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),SHINE_Baseline_Household_Data::r01_phone,30,SHINE_Baseline_Household_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,r01_17_01: Owns phone/mobile phone,,value,,,,SHINE,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,SHINE_Baseline_Household_Data::r01_refrig,25,SHINE_Baseline_Household_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,r01_20_01: Owns refrigerator,,value,,,,SHINE,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000584,Table,SHINE_Baseline_Household_Data::r01_table,29,SHINE_Baseline_Household_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,r01_09_01: Owns tables,,value,,,,SHINE,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000586,Chair,SHINE_Baseline_Household_Data::r01_chair,5,SHINE_Baseline_Household_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,r01_10_01: Owns chairs,,value,,,,SHINE,,,,,,,,,,
