file	category	id
SHINE_Baseline_Household_Data	community	{{c}}+clusterid
SHINE_Baseline_Household_Data	household	{{h}}+hh_id
SHINE_Baseline_Household_Data	hhobs	{{ho}}+hh_id+studyTimepoint
SHINE_Baseline_Household_Data	participant	{{p}}+hh_id+{{na}}
SHINE_Baseline_Household_Data	observation	{{p}}+hh_id+{{na}}+studyTimepoint
SHINE_ECD_Data	household	{{h}}+hh_id
SHINE_ECD_Data	participant	{{p}}+hh_id+birthorder
SHINE_ECD_Data	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Infant_Birth_m18_Data	household	{{h}}+hh_id
SHINE_Infant_Birth_m18_Data	participant	{{p}}+hh_id+birthorder
SHINE_Infant_Birth_m18_Data	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Infant_Birth_m18_Data	sample	{{s}}+hh_id+birthorder
SHINE_Infant_EBF_Data	household	{{h}}+hh_id
SHINE_Infant_EBF_Data	participant	{{p}}+hh_id+birthorder
SHINE_Infant_EBF_Data	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Maternal_Baseline_Data	household	{{h}}+hh_id
SHINE_Maternal_Baseline_Data	participant	{{p}}+hh_id+birthorder
SHINE_Maternal_Baseline_Data	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Maternal_Baseline_Data	sample	{{s}}+hh_id+birthorder
SHINE_Month12_Intervention_Uptake_Data	community	{{c}}+clusterid
SHINE_Month12_Intervention_Uptake_Data	household	{{h}}+hh_id
SHINE_Month12_Intervention_Uptake_Data	hhobs	{{ho}}+hh_id+studyTimepoint
SHINE_Month12_Intervention_Uptake_Data	participant	{{p}}+hh_id+birthorder
SHINE_Month12_Intervention_Uptake_Data	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Morbidity_Recall_Data	participant	{{p}}+hh_id+birthorder
SHINE_Morbidity_Recall_Data	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Randomized_Study_Arms_Data	community	{{c}}+clusterid
SHINE_Randomized_Study_Arms_Data	house	{{h}}+hh_id
SHINE_Study_level_factors_Split	community	{{c}}+clusterid
SHINE_Study_level_factors_Split	household	{{h}}+hh_id
SHINE_Study_Level_Factors_Data	participant	{{p}}+hh_id+birthorder
SHINE_Study_Level_Factors_Data	observation	{{o}}+hh_id+birthorder+studyTimepoint
