variable	variable2	values	mappedTerm	ordinalValue
form01::ballardneuromuscularmaturityscore	form01::ballardneuromuscularmaturityscore	na	:::UNDEF:::
form01::ballardphysicalmaturityscore	form01::ballardphysicalmaturityscore	na	:::UNDEF:::
form01::bestga	form01::bestga	na	:::UNDEF:::
form01::dateballardexamdone	form01::dateballardexamdone	na	:::UNDEF:::
form01::dateballardexamdone	form01::dateballardexamdone	27/01/2010	27/01/2018
form01::dateballardexamdone	form01::dateballardexamdone	15/04/2010	15/04/2018
form01::dateballardexamdone	form01::dateballardexamdone	28/07/2008	28/07/2016
form01::dateballardexamdone	form01::dateballardexamdone	09/04/2010	08/04/2018
form01::dateballardexamdone	form01::dateballardexamdone	10/10/2008	10/10/2016
form01::dateballardexamdone	form01::dateballardexamdone	03/03/2014	03/03/2018
form01::dateballardexamdone	form01::dateballardexamdone	14/09/2015	14/09/2016
form01::dateofscreening	form01::dateofscreening	23/12/1932	23/12/2016
form01::dateofscreening	form01::dateofscreening	na	:::UNDEF:::
form01::days	form01::days	na	:::UNDEF:::
form01::days1	form01::days1	na	:::UNDEF:::
form01::days2	form01::days2	na	:::UNDEF:::
form01::days3	form01::days3	na	:::UNDEF:::
form01::didmotherdeliveratoneoftheparticipatingstudyhospitalsandinfant	form01::didmotherdeliveratoneoftheparticipatingstudyhospitalsandinfant	missing	:::UNDEF:::
form01::gestationalageatdeliverybasedonfirstonlyuswks	form01::gestationalageatdeliverybasedonfirstonlyuswks	na	:::UNDEF:::
form01::gestationalageatthefirstonlyusexamwks	form01::gestationalageatthefirstonlyusexamwks	na	:::UNDEF:::
form01::gestationalageinweeksbyballard	form01::gestationalageinweeksbyballard	na	:::UNDEF:::
form01::hospitalname	form01::hospitalname	GMH	Ghandi Memorial Hospital
form01::hospitalname	form01::hospitalname	GUH	Gondor University Hospital
form01::hospitalname	form01::hospitalname	JUH	Jimma University Hospital
form01::hospitalname	form01::hospitalname	SPH	St. Paul's Hospital
form01::hospitalname	form01::hospitalname	TAH	Tikur Anbessa Hospital
form01::ifyesgestationalagegaatdeliveryinweeksfromlmpwks	form01::ifyesgestationalagegaatdeliveryinweeksfromlmpwks	na	:::UNDEF:::
form01::total	form01::total	na	:::UNDEF:::
form01::trimesterofearliestultrasound	form01::trimesterofearliestultrasound	1	First trimester	1
form01::trimesterofearliestultrasound	form01::trimesterofearliestultrasound	2	Second trimester	2
form01::trimesterofearliestultrasound	form01::trimesterofearliestultrasound	3	Third trimester	3
form01::trimesterofearliestultrasound	form01::trimesterofearliestultrasound	4	Don't know	4
form01::wasbabytransferredfromotherfacilitiesorhometooneoftheparticipa	form01::wasbabytransferredfromotherfacilitiesorhometooneoftheparticipa	missing	:::UNDEF:::
form01::wasultrasoundperformed	form01::wasultrasoundperformed	missing	:::UNDEF:::
form02_long::antenatalcareancreceived	form02_long::antenatalcareancreceived	1	Yes
form02_long::antenatalcareancreceived	form02_long::antenatalcareancreceived	2	No or don't know
form02_long::antenatalcareancreceived	form02_long::antenatalcareancreceived	NA	:::UNDEF:::
form02_long::antepartumhemorrhageaph	form02_long::antepartumhemorrhageaph	1	Yes
form02_long::antepartumhemorrhageaph	form02_long::antepartumhemorrhageaph	2	No
form02_long::antepartumhemorrhageaph	form02_long::antepartumhemorrhageaph	3	Don't know
form02_long::antepartumhemorrhageaph	form02_long::antepartumhemorrhageaph	NA	:::UNDEF:::
form02_long::antibiotics	form02_long::antibiotics	1	Yes
form02_long::antibiotics	form02_long::antibiotics	2	No
form02_long::antibiotics	form02_long::antibiotics	3	Don't know
form02_long::antibiotics	form02_long::antibiotics	NA	:::UNDEF:::
form02_long::baby1min	form02_long::baby1min	na	:::UNDEF:::
form02_long::baby5min	form02_long::baby5min	na	:::UNDEF:::
form02_long::bloodgroup1	form02_long::bloodgroup1	1	A
form02_long::bloodgroup1	form02_long::bloodgroup1	2	B
form02_long::bloodgroup1	form02_long::bloodgroup1	3	AB
form02_long::bloodgroup1	form02_long::bloodgroup1	4	O
form02_long::bloodgroup1	form02_long::bloodgroup1	5	Don't know
form02_long::bloodgroup1	form02_long::bloodgroup1	Not	:::UNDEF:::
form02_long::breech	form02_long::breech	missing	:::UNDEF:::
form02_long::cardiacdisease	form02_long::cardiacdisease	1	Yes
form02_long::cardiacdisease	form02_long::cardiacdisease	2	No
form02_long::cardiacdisease	form02_long::cardiacdisease	3	Don't know
form02_long::cardiacdisease	form02_long::cardiacdisease	NA	:::UNDEF:::
form02_long::chorioamnionitis	form02_long::chorioamnionitis	1	Yes
form02_long::chorioamnionitis	form02_long::chorioamnionitis	2	No
form02_long::chorioamnionitis	form02_long::chorioamnionitis	3	Don't know
form02_long::chorioamnionitis	form02_long::chorioamnionitis	NA	:::UNDEF:::
form02_long::chronichypertension	form02_long::chronichypertension	missing	:::UNDEF:::
form02_long::cordprolapse	form02_long::cordprolapse	1	Yes
form02_long::cordprolapse	form02_long::cordprolapse	2	No
form02_long::cordprolapse	form02_long::cordprolapse	3	Don't know
form02_long::cordprolapse	form02_long::cordprolapse	NA	:::UNDEF:::
