colOrder,uniqueVar,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
3,t0 ento adult data 20231010::region,t0 ento adult data 20231010,,Adult mosquito collection region,,Household,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,Region,,,new term needed,,,,T0,,,,,,,,,
4,t0 ento adult data 20231010::district,t0 ento adult data 20231010,,Adult mosquito collection district in Tanzania,,Household,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,District,,,new term needed,,,,T0,,,,,,,,,
2,t0 ento adult data 20231010::collection_date,t0 ento adult data 20231010,http://purl.obolibrary.org/obo/EUPATH_0020003,Collection date,,Household,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,Collection Date,,,,,,,T0,,,,,,,,,
5,t0 ento adult data 20231010::village,t0 ento adult data 20231010,http://purl.obolibrary.org/obo/ENVO_01000773,Village,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Village,,,,,,,T0,,,,,,,,,
6,t0 ento adult data 20231010::sub.village,t0 ento adult data 20231010,,Sub village,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,new term needed,,,,T0,,,,,,,,,
7,t0 ento adult data 20231010::nearest.health.facility,t0 ento adult data 20231010,,Nearest health facility,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,,new term needed,,,,T0,,,,,,,,,
8,t0 ento adult data 20231010::trap.type,t0 ento adult data 20231010,,Mosquito trap type,,Household,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,,,,new term needed,,,,T0,,,,,,,,,
9,t0 ento adult data 20231010::trap.location,t0 ento adult data 20231010,,Mosquito trap location,,Household,http://purl.obolibrary.org/obo/OBI_0002920,Mosquito trap,,,,new term needed,,,,T0,,,,,,,,,
10,t0 ento adult data 20231010::gps.coordinates,t0 ento adult data 20231010,http://purl.obolibrary.org/obo/GAZ_00000448,Collection site,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,,,,T0,,,,,,,,,
13,t0 ento adult data 20231010::family.members,t0 ento adult data 20231010,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,,,,,,,T0,,,,,,,,,
14,t0 ento adult data 20231010::bednet.usage,t0 ento adult data 20231010,,Household bednet type,,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,,,new term needed,,,,T0,,,,,,,,,
15,t0 ento adult data 20231010::house.type,t0 ento adult data 20231010,,Dwelling type,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,new term needed,,,,T0,,,,,,,,,
16,t0 ento adult data 20231010::wall.surface,t0 ento adult data 20231010,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall materal,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,,,,,,T0,,,,,,,,,
17,t0 ento adult data 20231010::eaves.y.n,t0 ento adult data 20231010,http://purl.obolibrary.org/obo/ENVO_01000825,Eaves,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,,,,,,T0,,,,,,,,,
18,t0 ento adult data 20231010::morphological.id,t0 ento adult data 20231010,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,,,,,,T0,,,,,,,,,
19,t0 ento adult data 20231010::abdominal.status,t0 ento adult data 20231010,,Mosquito abdominal status,,Household,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,,,,new term needed,,,,T0,,,,,,,,,
20,t0 ento adult data 20231010::molecular.id.pcr,t0 ento adult data 20231010,,"Mosquito species, by PCR",,Household,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,,,,new term needed,,,,T0,,,,,,,,,
21,t0 ento adult data 20231010::csp.elisa,t0 ento adult data 20231010,,"CSP, by ELISA",,Household,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,,,,new term needed,,,,T0,,,,,,,,,
22,t0 ento adult data 20231010::blood..h.c.g.d.,t0 ento adult data 20231010,,Blood meal assay result,,Household,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,,,,new term needed,,,,T0,,,,,,,,,
1,t0_larval_habitat_database2022_2023::sampling_date,t0_larval_habitat_database2022_2023,,Larval mosquito collection date,,Community,,Community arthropod collection,Sampling Date,,,new term needed,,,,T0,,,,,,,,,
7,t0_larval_habitat_database2022_2023::region,t0_larval_habitat_database2022_2023,,Larval mosquito collection region,,Community,,Community arthropod collection,Region,,,new term needed,,,,T0,,,,,,,,,
8,t0_larval_habitat_database2022_2023::district,t0_larval_habitat_database2022_2023,,Larval mosquito collection district in Tanzania,,Community,,Community arthropod collection,District,,,new term needed,,,,T0,,,,,,,,,
11,t0_larval_habitat_database2022_2023::method,t0_larval_habitat_database2022_2023,,Larval collection method,,Community,,Community arthropod collection,Method,,,new term needed,,,,T0,,,,,,,,,
