variable,dataFile,IRI,label,definition,category,displayOrder,parentIRI,parentLabel,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
,,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,,,,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,,Household,,http://purl.obolibrary.org/obo/PCO_0000024,Household,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,Community,,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,Household,,http://purl.obolibrary.org/obo/PCO_0000024,Household,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/OBI_0002920,Mosquito trap,,Household,,http://purl.obolibrary.org/obo/PCO_0000024,Household,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Household,,http://purl.obolibrary.org/obo/PCO_0000024,Household,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,Household,,http://purl.obolibrary.org/obo/PCO_0000024,Household,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,Household,,http://purl.obolibrary.org/obo/PCO_0000024,Household,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,,Household,,http://purl.obolibrary.org/obo/PCO_0000024,Household,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,Community,,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,Community,,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,Community,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,Community,,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,category,,,,T0,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,,Community,,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,category,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::collection_date | t0_larval_habitat_sheet_2::sampling_date,t0_ento_adult_data_20231010 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/EUPATH_0020003,Collection date,,Household,,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,,,yes,,T0,,,yes,,,,,,
t0_ento_adult_data_20231010::region,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00665,Adult mosquito collection region,,Household,,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::district,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00666,Adult mosquito collection district in Tanzania,,Household,,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::village,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/ENVO_01000773,Village,,Community,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::sub.village,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00667,Sub village,,Community,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::nearest.health.facility,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00668,Nearest health facility,,Household,,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::trap.type,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00669,Mosquito trap type,,Household,,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::trap.location,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00670,Mosquito trap location,,Household,,http://purl.obolibrary.org/obo/OBI_0002920,Mosquito trap,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::family.members,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,,Household,,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::bednet.usage,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00671,Household bednet type,,Household,,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::house.type,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,,Household,,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::wall.surface,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,,Household,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,,,T0,,,,,,,,,
