# version-2
uniqueVar	values	mappedTerm	valueOrder
t0_ento_adult_data_20231010::region	Mwanza	Mwanza	1
t0_ento_adult_data_20231010::district	Ukerewe	Ukerewe	2
t0_ento_adult_data_20231010::village	Bukongo	Bukongo	3
t0_ento_adult_data_20231010::sub.village	Bukongo Kati	Bukongo Kati	4
t0_ento_adult_data_20231010::sub.village	Kasaru A	Kasaru A	5
t0_ento_adult_data_20231010::nearest.health.facility	Nansio Hospital	Nansio Hospital	6
t0_ento_adult_data_20231010::trap.type	CDC	CDC light trap	1
t0_ento_adult_data_20231010::trap.location	IN	Inside	2
t0_ento_adult_data_20231010::bednet.usage	Treated Bednet	Treated bednet	1
t0_ento_adult_data_20231010::bednet.usage	Untreated Bednet	Untreated bednet	2
t0_ento_adult_data_20231010::house.type	Brick walls + corrugated roof	Brick walls + corrugated roof	1
t0_ento_adult_data_20231010::house.type	Brick walls+concrete blocks + corrugated roof	Brick walls + concrete blocks + corrugated roof	2
t0_ento_adult_data_20231010::house.type	Concrete blocks + corrugated roof	Concrete blocks + corrugated roof	3
t0_ento_adult_data_20231010::house.type	mud blocks + corrugated roof	mud blocks + corrugated roof	4
t0_ento_adult_data_20231010::wall.surface	BURNT BRICK	Burnt brick	1
t0_ento_adult_data_20231010::wall.surface	BURNT BRICK+CEMENT	Burnt brick + cement	2
t0_ento_adult_data_20231010::wall.surface	CEMENT	Cement	3
t0_ento_adult_data_20231010::wall.surface	MUD	Mud	4
t0_ento_adult_data_20231010::wall.surface	PAINT	Paint	5
t0_ento_adult_data_20231010::wall.surface	WHITE WASH	White wash	6
t0_ento_adult_data_20231010::wall.surface	WHITE WASH+MUD	White wash + mud 	7
t0_ento_adult_data_20231010::eaves.y.n	N	No 	1
t0_ento_adult_data_20231010::eaves.y.n	Y	Yes	2
t0_ento_adult_data_20231010::morphological.id	An. coustani	Anopheles coustani	1
t0_ento_adult_data_20231010::morphological.id	An. funestus	Anopheles funestus	2
t0_ento_adult_data_20231010::morphological.id	An. gambiae	Anopheles gambiae	3
t0_ento_adult_data_20231010::morphological.id	An. pharoensis	Anopheles pharoensis	4
t0_ento_adult_data_20231010::morphological.id	An. rufipes	Anopheles rufipes	5
t0_ento_adult_data_20231010::abdominal.status	Fed	Fed	1
t0_ento_adult_data_20231010::abdominal.status	Gravid	Gravid	2
t0_ento_adult_data_20231010::abdominal.status	Half Gravid	Half gravid	3
t0_ento_adult_data_20231010::abdominal.status	Unfed	Unfed	4
t0_ento_adult_data_20231010::molecular.id.pcr	An. arabiensis	Anopheles Arabiensis	1
t0_ento_adult_data_20231010::molecular.id.pcr	An. funestus s.s.	Anopheles funestus sensu stricto	2
t0_ento_adult_data_20231010::molecular.id.pcr	An. gambiae s.s.	Anopheles gambiae sensu stricto	3
t0_ento_adult_data_20231010::molecular.id.pcr	An. parensis	Anopheles parensis	4
t0_ento_adult_data_20231010::molecular.id.pcr	NA	:::UNDEF:::	
t0_ento_adult_data_20231010::molecular.id.pcr	Negative	Negative	1
t0_ento_adult_data_20231010::csp.elisa	NA	:::UNDEF:::	
t0_ento_adult_data_20231010::csp.elisa	Negative	Negative	1
t0_ento_adult_data_20231010::csp.elisa	Positive	Positive	2
t0_ento_adult_data_20231010::blood..h.c.g.d.	C,G	Cow, goat	1
t0_ento_adult_data_20231010::blood..h.c.g.d.	G	Goat	2
t0_ento_adult_data_20231010::blood..h.c.g.d.	H	Horse	3
t0_ento_adult_data_20231010::blood..h.c.g.d.	H,D	Horse, dog	4
t0_ento_adult_data_20231010::blood..h.c.g.d.	NA	:::UNDEF:::	
t0_ento_adult_data_20231010::blood..h.c.g.d.	Negative	Negative	5
t0_larval_habitat_database2022_2023::nature.of.habitat	Permanent	Permanent	1
t0_larval_habitat_database2022_2023::nature.of.habitat	Temporary	Temporary	2
t0_larval_habitat_database2022_2023::region	Kigoma	Kigoma	1
t0_larval_habitat_database2022_2023::region	Mwanza	Mwanza	2
t0_larval_habitat_database2022_2023::district	Kakonko	Kakonko	1
t0_larval_habitat_database2022_2023::district	Ukerewe	Ukerewe	2
t0_larval_habitat_database2022_2023::cell.ward	Bukongo	Bukongo	1
t0_larval_habitat_database2022_2023::sub.village	Bukongo Kati	Bukongo Kati	1
t0_larval_habitat_database2022_2023::sub.village	Ibuga B	Ibuga B	2
t0_larval_habitat_database2022_2023::sub.village	Kanyaga C	Kanyaga C	3
t0_larval_habitat_database2022_2023::sub.village	Kasaru-A	Kasaru-A	4
t0_larval_habitat_database2022_2023::method	CBR	CBR	1
t0_larval_habitat_database2022_2023::method	CDC	CDC light trap	2
t0_larval_habitat_database2022_2023::method	CLAYPOT	Claypot	3
t0_larval_habitat_database2022_2023::method	Dip/Swipe	Dip or swipe	4
t0_larval_habitat_database2022_2023::method	PROKOPACK	Prokopak	5
t0_larval_habitat_database2022_2023::season	Dry	Dry	1
t0_larval_habitat_database2022_2023::season	IN	IN	2
t0_larval_habitat_database2022_2023::season	OUT	OUT	3
t0_larval_habitat_database2022_2023::weather	Sunny	Sunny	1
t0_larval_habitat_database2022_2023::agricultural.status	Banana plantation, Cassava cultivation	Banana plantation, Cassava cultivation	1
