variable	IRI	values	mappedTerm	ordinalValue
anthro_dh::birthord	EUPATH_0035114	NA	:::UNDEF:::	
anthro_dh::birthord	EUPATH_0035114	1	First	1
anthro_dh::birthord	EUPATH_0035114	2	Second	2
anthro_dh::birthord	EUPATH_0035114	3	Third	3
anthro_dh::birthord	EUPATH_0035114	4	Fourth	4
anthro_dh::birthord	EUPATH_0035114	5	Fifth	5
anthro_dh::birthord	EUPATH_0035114	6	Sixth	6
anthro_dh::birthord	EUPATH_0035114	7	Seventh	7
anthro_dh::birthord	EUPATH_0035114	8	Eighth	8
anthro_dh::birthord	EUPATH_0035114	9	Ninth	9
anthro_dh::birthord	EUPATH_0035114	10	Tenth	10
anthro_dh::birthord	EUPATH_0035114	11	Eleventh	11
anthro_dh::bmiz_x	EUPATH_0035072	NA	:::UNDEF:::	
anthro_dh::bmiz_x	EUPATH_0035072	0	No	
anthro_dh::bmiz_x	EUPATH_0035072	1	Yes	
anthro_dh::c414	anthro_dh::c414	999.9	:::UNDEF:::	
anthro_dh::c415	anthro_dh::c415	999.9	:::UNDEF:::	
anthro_dh::c416	anthro_dh::c416	999.9	:::UNDEF:::	
anthro_dh::c418	anthro_dh::c418	99.9	:::UNDEF:::	
anthro_dh::c419	anthro_dh::c419	99.9	:::UNDEF:::	
anthro_dh::c420	anthro_dh::c420	99.9	:::UNDEF:::	
anthro_dh::hcz_x	EUPATH_0035076	NA	:::UNDEF:::	
anthro_dh::hcz_x	EUPATH_0035076	0	No	
anthro_dh::hcz_x	EUPATH_0035076	1	Yes	
anthro_dh::laz_x	EUPATH_0035068	NA	:::UNDEF:::	
anthro_dh::laz_x	EUPATH_0035068	0	No	
anthro_dh::laz_x	EUPATH_0035068	1	Yes	
anthro_dh::lazminus2	EUPATH_0035062	NA	:::UNDEF:::	
anthro_dh::lazminus2	EUPATH_0035062	0	No	
anthro_dh::lazminus2	EUPATH_0035062	1	Yes	
anthro_dh::lazminus3	EUPATH_0035061	NA	:::UNDEF:::	
anthro_dh::lazminus3	EUPATH_0035061	0	No	
anthro_dh::lazminus3	EUPATH_0035061	1	Yes	
anthro_dh::svy	OBI_0001508	0	Baseline (pre-intervention; study year 0)	1
anthro_dh::svy	OBI_0001508	1	Midline (1 year post intervention; study year 1)	2
anthro_dh::svy	OBI_0001508	2	Endline (2 years post intervention; study year 2)	3
anthro_dh::svy	OBI_0001508	NA	:::UNDEF:::	
anthro_dh::waz_x	EUPATH_0035074	0	No	
anthro_dh::waz_x	EUPATH_0035074	1	Yes	
anthro_dh::wazminus2	EUPATH_0035066	NA	:::UNDEF:::	
anthro_dh::wazminus2	EUPATH_0035066	0	No	
anthro_dh::wazminus2	EUPATH_0035066	1	Yes	
anthro_dh::wazminus3	EUPATH_0035065	NA	:::UNDEF:::	
anthro_dh::wazminus3	EUPATH_0035065	0	No	
anthro_dh::wazminus3	EUPATH_0035065	1	Yes	
anthro_dh::whz_x	EUPATH_0035070	NA	:::UNDEF:::	
anthro_dh::whz_x	EUPATH_0035070	0	No	
anthro_dh::whz_x	EUPATH_0035070	1	Yes	
anthro_dh::whzminus2	EUPATH_0035064	NA	:::UNDEF:::	
anthro_dh::whzminus2	EUPATH_0035064	0	No	
anthro_dh::whzminus2	EUPATH_0035064	1	Yes	
anthro_dh::whzminus3	EUPATH_0035063	NA	:::UNDEF:::	
anthro_dh::whzminus3	EUPATH_0035063	0	No	
anthro_dh::whzminus3	EUPATH_0035063	1	Yes	
diar_dh::bruise2d	EUPATH_0035108	NA	:::UNDEF:::	
