colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
2,rn,act_partner_drug_surveyor_data_vbase,keep,,,Site number (increases if multiple years or sites are tested in a study),0,,,,NA,act_partner_drug_surveyor_data_vbase::rn,WARNN,rn,int,0,NA,NA,0 to 21,13,0,NA
3,cnt,act_partner_drug_surveyor_data_vbase,keep,,,Country,Ethiopia,,,,NA,act_partner_drug_surveyor_data_vbase::cnt,WARNN,cnt,chr,Ethiopia,NA,NA,"Ethiopia, Tanzania, Uganda",3,0,NA
4,sna,act_partner_drug_surveyor_data_vbase,keep,,,Location name,Dilla,,,,NA,act_partner_drug_surveyor_data_vbase::sna,WARNN,sNa,chr,Dilla,NA,NA,>10 unique values,46,0.075542965,NA
5,lon,act_partner_drug_surveyor_data_vbase,keep,,,Longitude,38.3083,,,,NA,act_partner_drug_surveyor_data_vbase::lon,WARNN,lon,dbl,38.3083,NA,NA,29.7426 to 42.1227,40,0,NA
6,lat,act_partner_drug_surveyor_data_vbase,keep,,,Latitude,6.40833,,,,NA,act_partner_drug_surveyor_data_vbase::lat,WARNN,lat,dbl,6.40833,NA,NA,-10.7528 to 9.31256,41,0,NA
7,sf,act_partner_drug_surveyor_data_vbase,keep,,,Start year of sample collection,2004,,,,NA,act_partner_drug_surveyor_data_vbase::sf,WARNN,sf,int,2004,date?,NA,1984 to 2015,19,0,NA
8,sto,act_partner_drug_surveyor_data_vbase,keep,,,End year of sample collection,2004,,,,NA,act_partner_drug_surveyor_data_vbase::sto,WARNN,sTo,int,2004,NA,NA,1994 to 2015,17,0,NA
9,mt,act_partner_drug_surveyor_data_vbase,keep,,,Genotype/Haplotype assessed,pfmdr1 86Y,,,,NA,act_partner_drug_surveyor_data_vbase::mt,WARNN,mt,chr,pfcrt 76K/T,NA,NA,>10 unique values,22,0,NA
10,tes,act_partner_drug_surveyor_data_vbase,keep,,,Sample size,69,,,,NA,act_partner_drug_surveyor_data_vbase::tes,WARNN,tes,int,69,NA,NA,1 to 635,161,0,NA
11,pre,act_partner_drug_surveyor_data_vbase,keep,,,Number of samples with specific genotype/haplotype,45,,,,NA,act_partner_drug_surveyor_data_vbase::pre,WARNN,pre,int,0,NA,NA,0 to 547,177,0,NA
12,premix,act_partner_drug_surveyor_data_vbase,keep,,,Number of samples with specific genotype/haplotype including mixed infections,56,,,,NA,act_partner_drug_surveyor_data_vbase::premix,WARNN,preMix,int,0,NA,NA,0 to 626,207,0,NA
13,aut,act_partner_drug_surveyor_data_vbase,keep,,,Authors of publication,Schunk M,,,,NA,act_partner_drug_surveyor_data_vbase::aut,WARNN,aut,chr,Schunk M,NA,NA,>10 unique values,46,0,NA
14,pyear,act_partner_drug_surveyor_data_vbase,keep,,,Publication year,2006,,,,NA,act_partner_drug_surveyor_data_vbase::pyear,WARNN,pYear,chr,2006,NA,NA,>10 unique values,15,0,NA
15,purl,act_partner_drug_surveyor_data_vbase,keep,,,Publication URL,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1524791&tool=pmcentrez&rendertype=abstract,,,,NA,act_partner_drug_surveyor_data_vbase::purl,WARNN,pURL,chr,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1524791&tool=pmcentrez&rendertype=abstract,NA,NA,>10 unique values,52,0,NA
16,tit,act_partner_drug_surveyor_data_vbase,keep,,,Title of publication,High prevalence of drug-resistance mutations in Plasmodium falciparum and Plasmodium vivax in southern Ethiopia.,,,,NA,act_partner_drug_surveyor_data_vbase::tit,WARNN,tit,chr,High prevalence of drug-resistance mutations in Plasmodium falciparum and Plasmodium vivax in southern Ethiopia.,NA,NA,>10 unique values,52,0,NA
17,pid,act_partner_drug_surveyor_data_vbase,keep,,,Pub Med ID of publication,16817953,,,,NA,act_partner_drug_surveyor_data_vbase::pid,WARNN,pId,int,16817953,NA,NA,11294677 to 28068997,52,0,NA
18,dru,act_partner_drug_surveyor_data_vbase,keep,,,Drug that genotype is linked to,Amodiaquine,,,,NA,act_partner_drug_surveyor_data_vbase::dru,WARNN,dru,chr,Lumefantrine,NA,NA,"Amodiaquine, Lumefantrine, Mefloquine",3,0,NA
19,mgr,act_partner_drug_surveyor_data_vbase,keep,,,Group of mutation that mutation is linked to,pfmdr1 86Y,,,,NA,act_partner_drug_surveyor_data_vbase::mgr,WARNN,mGr,chr,pfcrt 76K/T,NA,NA,>10 unique values,20,0,NA
20,per,act_partner_drug_surveyor_data_vbase,keep,,,Prevalence of genotype including mixed infection,81,,,,NA,act_partner_drug_surveyor_data_vbase::per,WARNN,Per,chr,0,NA,NA,>10 unique values,97,0,NA
21,iore,act_partner_drug_surveyor_data_vbase,keep,,,Status of mixed infections (included or excluded in the calculation of specific genotypes),E,,,,NA,act_partner_drug_surveyor_data_vbase::iore,WARNN,IorE,chr,NULL,NA,NA,", E, I, NULL",3,0.016997167,NA
1,x...sid,act_partner_drug_surveyor_data_vbase,discard,,,NA,NA,,,,NA,act_partner_drug_surveyor_data_vbase::x...sid,WARNN,X...sId,int,16817953,NA,NA,423 to 27160572,53,0,NA
