colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
,http://purl.obolibrary.org/obo/IAO_0000311,Publication information,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,,category,,,,,WWARN,,,,,,,,,
2,http://purl.obolibrary.org/obo/EUPATH_0064401,Site number,site.number,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Site number (increases if multiple years or sites are tested in a study),0,variable,,,,,WWARN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,WWARN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0064410,Community aggregated lab tests,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,WWARN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0064411,Community sample collection process,,,,Community sample collection process,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,WWARN,,,,,,,,,
,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,WWARN,,,,,,,,,
6,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,lat,1,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Latitude,6.40833,variable,,,,,WWARN,,,,everywhere,,,,,
5,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,lon,2,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Longitude,38.3083,variable,,,,,WWARN,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,geohash1,3,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,WWARN,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,geohash2,4,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,WWARN,,,,everywhere,,,,,
