"colOrder","variable","dataFile","label","IRI","definition","displayOrder","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","notesForOnt","notesForProvider","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
,,,"Publication","http://purl.obolibrary.org/obo/EUPATH_0035127",,,,,,,,,,,,,,,,,,,,,,,,
,,,"Sample summary","http://purl.obolibrary.org/obo/EUPATH_0000096",,,,,,,,,,,,,,,,,,,,,,,,
,,,"Study site","http://purl.obolibrary.org/obo/PCO_0000024",,,,,,,,,,,,,,,,,,,,,,,,
,,,"Community sample collection process","http://purl.obolibrary.org/obo/EUPATH_0064411",,1,"Sample summary","Sample summary","http://purl.obolibrary.org/obo/EUPATH_0000096",,,"category",,,,,,,"WWARN_ACT",,,,,,,,,
,,,"Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,2,"Sample summary","Sample summary","http://purl.obolibrary.org/obo/EUPATH_0000096",,,"category",,,,,,,"WWARN_ACT",,,,,,,,,
,,,"Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,3,"Sample summary","Sample summary","http://purl.obolibrary.org/obo/EUPATH_0000096",,,"category",,,,,,,"WWARN_ACT",,,,,,,,,
,,,"Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,4,"Sample summary","Sample summary","http://purl.obolibrary.org/obo/EUPATH_0000096",,,"category",,,,,,,"WWARN_ACT",,,,,,,,,
,,,"Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,5,"Sample summary","Sample summary","http://purl.obolibrary.org/obo/EUPATH_0000096",,,"category",,,,,,,"WWARN_ACT",,,,,,,,,
,,,"Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,6,"Sample summary","Sample summary","http://purl.obolibrary.org/obo/EUPATH_0000096",,,"multifilter",,,,,,,"WWARN_ACT",,,,,,,,,
,,,"Drug resistance marker group","http://purl.obolibrary.org/obo/EUPATH_0065006",,7,"Sample summary","Sample summary","http://purl.obolibrary.org/obo/EUPATH_0000096",,,"category",,,,,,,"WWARN_ACT",,,,,,,,,
,,,"Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448",,1,"Publication","Study site","http://purl.obolibrary.org/obo/PCO_0000024",,,"category",,,,,,,"WWARN_ACT",,,,,,,,,
,,,"Geolocation","http://purl.obolibrary.org/obo/EUPATH_0043212",,2,"Publication","Study site","http://purl.obolibrary.org/obo/PCO_0000024",,,"category",,,,,,,"WWARN_ACT",,,,,,,,,
,,,"Publication information","http://purl.obolibrary.org/obo/IAO_0000311",,3,"Publication","Publication","http://purl.obolibrary.org/obo/EUPATH_0035127",,,"category",,,,,,,"WWARN_ACT",,,,,,,,,
3,"country","wwarn_act_wide","Country","http://purl.obolibrary.org/obo/ENVO_00000009",,1,"Publication","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448",,,"variable",,,,,,,"WWARN_ACT",,,"yes",,,,,,
4,"site","wwarn_act_wide","Study site","http://purl.obolibrary.org/obo/EUPATH_0021094",,2,"Publication","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448",,,"variable",,,,,,,"WWARN_ACT",,,"yes",,,,,,
2,"site.number","wwarn_act_wide","Site number",,,3,"Publication","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
