dataSet,category,termType,variable,label,parentLabel,is_featured,is_temporal,definition,forceStringType,defaultBinWidth,parentIRI,dataFile,colOrder,displayOrder,codebookDescription,codebookValues,notesForOnt,notesForProvider,notesForDL,repeated,mergeKey,unitLabel,unitIRI,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,IRI
WWARN_ACT,Community,category,,Total isolates tested,Drug resistance markers,,,,,,,,,,,,,,,,,,,,,,,
WWARN_ACT,Community,category,,Drug resistance marker counts,Drug resistance markers,,,,,,,,,,,,,,,,,,,,,,,
WWARN_ACT,Community,category,,"Drug resistance marker counts, including mixed infections",Drug resistance markers,,,,,,,,,,,,,,,,,,,,,,,
WWARN_ACT,Community,category,,Drug resistance marker group,Drug resistance markers,,,,,,,,,,,,,,,,,,,,,,,
WWARN_ACT,Community,category,,Proportion of isolates with drug resistance marker,Drug resistance markers,,,,,,,,,,,,,,,,,,,,,,,
WWARN_ACT,Community,multifilter,,Inclusion of mixed infections,Drug resistance markers,,,,,,,,,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfcrt.smnt,pfcrt SMNT mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,241,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.86y,pfmdr1 86Y mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,242,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.184f,pfmdr1 184F mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,243,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfcrt.76t,pfcrt 76T mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,244,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.1246y,pfmdr1 1246Y  mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,245,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.copy.number..1,pfmdr1 copy number>1  mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,246,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.nfsnd,pfmdr1 NFSND  mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,247,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfcrt.76k.t,pfcrt 76K/T  mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,248,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.n86,pfmdr1 N86  mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,249,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.86n.y,pfmdr1 86N/Y  mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,250,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.y184,pfmdr1 Y184  mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,251,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.184y.f,pfmdr1 184Y/F  mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,252,,,,,,,,,,,,,,,
WWARN_ACT,Community,value,included.or.excluded_pfmdr1.s1034,pfmdr1 S1034  mixed infections,Inclusion of mixed infections,,,,,,,wwarn_act_wide,253,,,,,,,,,,,,,,,
