file,uniqueVar,dataSet,variable,values,mappedTerms,valueOrder,dataFile,variable_dataFile,boolean,notes
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Afghanistan,Afghanistan,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Angola,Angola,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Bangladesh,Bangladesh,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Benin,Benin,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Brazil,Brazil,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Burkina Faso,Burkina Faso,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Burundi,Burundi,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Cambodia,Cambodia,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Cameroon,Cameroon,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Central African Republic,Central African Republic,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Chad,Chad,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,China,China,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Colombia,Colombia,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Comoros,Comoros,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Congo,Congo,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Côte d'Ivoire,Cote d'Ivoire,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Democratic Republic of the Congo,Democratic Republic of the Congo,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Sao Tome and Principe,Sao Tome and Principe,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Timor-Leste,Timor-Leste,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Equatorial Guinea,Equatorial Guinea,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Ethiopia,Ethiopia,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,French Guiana,French Guiana,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Gabon,Gabon,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Ghana,Ghana,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Guinea,Guinea,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Guinea-Bissau,Guinea-Bissau,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Guyana,Guyana,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Haiti,Haiti,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Honduras,Honduras,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,India,India,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Indonesia,Indonesia,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Iran,Iran,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Kenya,Kenya,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Lao People's Democratic Republic,Lao People's Democratic Republic,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Liberia,Liberia,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Madagascar,Madagascar,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Malawi,Malawi,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Malaysia,Malaysia,,wwarn_act_wide,country,,
