variable	variable2	values	mappedTerm	valueOrder
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	0	Zacapa	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	1	CFLAG	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	2	Coatepeque	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	3	Coban	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	4	Cuilapa	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	5	Elisa Martinez	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	6	Escuintla	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	7	HRO	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	8	Huehuetenango	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	9	La Amistad Japon	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	10	Malacatan	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	11	Peten	
base_2017_2019-send::hiv_unit	base_2017_2019-send::hiv_unit	12	Retalhuleu	
base_2017_2019-send::gender	base_2017_2019-send::gender	0	Male	
base_2017_2019-send::gender	base_2017_2019-send::gender	1	Female	
base_2017_2019-send::gender	base_2017_2019-send::gender	2	Tanssexual 	
base_2017_2019-send::sexual_orientation	base_2017_2019-send::sexual_orientation	0	Heterosexual	
base_2017_2019-send::sexual_orientation	base_2017_2019-send::sexual_orientation	1	Homosexual 	1
base_2017_2019-send::sexual_orientation	base_2017_2019-send::sexual_orientation	2	Bisexual	2
base_2017_2019-send::sexual_orientation	base_2017_2019-send::sexual_orientation	3	Don't know	3
base_2017_2019-send::risk_group	base_2017_2019-send::risk_group	0	No risk group	1
base_2017_2019-send::risk_group	base_2017_2019-send::risk_group	1	MSM	2
base_2017_2019-send::risk_group	base_2017_2019-send::risk_group	2	Don't know	6
base_2017_2019-send::risk_group	base_2017_2019-send::risk_group	3	Imprisoned	3
base_2017_2019-send::risk_group	base_2017_2019-send::risk_group	4	Sex worker	4
base_2017_2019-send::risk_group	base_2017_2019-send::risk_group	5	WSW	5
base_2017_2019-send::employement_situation	base_2017_2019-send::employement_situation	0	Don't know	8
base_2017_2019-send::employement_situation	base_2017_2019-send::employement_situation	1	Housewife	1
base_2017_2019-send::employement_situation	base_2017_2019-send::employement_situation	2	Unemployed	2
base_2017_2019-send::employement_situation	base_2017_2019-send::employement_situation	3	Informal economy	3
base_2017_2019-send::employement_situation	base_2017_2019-send::employement_situation	4	Eventual work	4
base_2017_2019-send::employement_situation	base_2017_2019-send::employement_situation	5	Permanent job	5
base_2017_2019-send::employement_situation	base_2017_2019-send::employement_situation	6	Student	6
base_2017_2019-send::employement_situation	base_2017_2019-send::employement_situation	7	Retired	7
base_2017_2019-send::ethnic_group	base_2017_2019-send::ethnic_group	0	Ladino	1
base_2017_2019-send::ethnic_group	base_2017_2019-send::ethnic_group	1	Mayan	2
base_2017_2019-send::ethnic_group	base_2017_2019-send::ethnic_group	2	Other	3
base_2017_2019-send::ethnic_group	base_2017_2019-send::ethnic_group	3	Don't know	4
base_2017_2019-send::country	base_2017_2019-send::country	0	Don't know	8
base_2017_2019-send::country	base_2017_2019-send::country	1	Belice	1
base_2017_2019-send::country	base_2017_2019-send::country	2	Guatemala	2
base_2017_2019-send::country	base_2017_2019-send::country	3	Honduras	3
base_2017_2019-send::country	base_2017_2019-send::country	4	Mexico	4
base_2017_2019-send::country	base_2017_2019-send::country	5	Other	5
base_2017_2019-send::country	base_2017_2019-send::country	6	El Salvador	6
base_2017_2019-send::country	base_2017_2019-send::country	7	Nicaragua	7
base_2017_2019-send::rural	base_2017_2019-send::rural	0	Urban	
base_2017_2019-send::rural	base_2017_2019-send::rural	1	Rural	
base_2017_2019-send::region_px	base_2017_2019-send::region_px	1	Metropolitan	
base_2017_2019-send::region_px	base_2017_2019-send::region_px	2	North	
base_2017_2019-send::region_px	base_2017_2019-send::region_px	3	Northeast	
base_2017_2019-send::region_px	base_2017_2019-send::region_px	4	Southeast	
base_2017_2019-send::region_px	base_2017_2019-send::region_px	5	Central	
base_2017_2019-send::region_px	base_2017_2019-send::region_px	6	Northwest	
base_2017_2019-send::region_px	base_2017_2019-send::region_px	7	Southwest	
base_2017_2019-send::region_px	base_2017_2019-send::region_px	8	Peten	
base_2017_2019-send::region_agrup_px	base_2017_2019-send::region_agrup_px	1	Metropolitan	
base_2017_2019-send::region_agrup_px	base_2017_2019-send::region_agrup_px	2	North	
base_2017_2019-send::region_agrup_px	base_2017_2019-send::region_agrup_px	3	Central	
base_2017_2019-send::region_agrup_px	base_2017_2019-send::region_agrup_px	4	East	
base_2017_2019-send::region_agrup_px	base_2017_2019-send::region_agrup_px	5	West	
base_2017_2019-send::type_of_patient	base_2017_2019-send::type_of_patient	0	New HIV infection	
base_2017_2019-send::type_of_patient	base_2017_2019-send::type_of_patient	1	On ARV	1
base_2017_2019-send::type_of_patient	base_2017_2019-send::type_of_patient	2	Return	2
base_2017_2019-send::type_of_patient	base_2017_2019-send::type_of_patient	3	Don't know	3
base_2017_2019-send::stop_arv	base_2017_2019-send::stop_arv	0	No	1
base_2017_2019-send::stop_arv	base_2017_2019-send::stop_arv	1	Yes	2
base_2017_2019-send::stop_arv	base_2017_2019-send::stop_arv	2	Don't know	3
base_2017_2019-send::return	base_2017_2019-send::return	0	No	
base_2017_2019-send::return	base_2017_2019-send::return	1	Yes	
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	0	100 - normal	1
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	1	90 - normal mild symptoms	2
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	2	80 - normal symptoms	3
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	3	70 - selfcare capable	4
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	4	60 - ocassional attention	5
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	5	50 - lots attention	6
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	6	40 - handicap	7
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	7	30 - serius handicap	8
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	8	20 - on bed	9
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	9	10 - moribund	10
base_2017_2019-send::karfnosky	base_2017_2019-send::karfnosky	11	Don't know	11
base_2017_2019-send::bmi_range	base_2017_2019-send::bmi_range	1	Underweight	
base_2017_2019-send::bmi_range	base_2017_2019-send::bmi_range	2	Normal	
base_2017_2019-send::bmi_range	base_2017_2019-send::bmi_range	3	Overweight	
base_2017_2019-send::bmi_range	base_2017_2019-send::bmi_range	4	Obsese	
base_2017_2019-send::cd4_interval_new	base_2017_2019-send::cd4_interval_new	0	Don't know	12
base_2017_2019-send::cd4_interval_new	base_2017_2019-send::cd4_interval_new	1	<50	1
base_2017_2019-send::cd4_interval_new	base_2017_2019-send::cd4_interval_new	2	50-99	2
base_2017_2019-send::cd4_interval_new	base_2017_2019-send::cd4_interval_new	3	100-199	3
base_2017_2019-send::cd4_interval_new	base_2017_2019-send::cd4_interval_new	4	200-349	4
base_2017_2019-send::cd4_interval_new	base_2017_2019-send::cd4_interval_new	5	>=350	5
base_2017_2019-send::full_screening	base_2017_2019-send::full_screening	0	No	
base_2017_2019-send::full_screening	base_2017_2019-send::full_screening	1	Yes	
base_2017_2019-send::ois_yes_no	base_2017_2019-send::ois_yes_no	0	No	
base_2017_2019-send::ois_yes_no	base_2017_2019-send::ois_yes_no	1	Yes	
base_2017_2019-send::oi_type	base_2017_2019-send::oi_type	0	Negative	
base_2017_2019-send::oi_type	base_2017_2019-send::oi_type	1	Cryptococcus	
base_2017_2019-send::oi_type	base_2017_2019-send::oi_type	2	Cryptococcus + Histoplasma capsulatum	
base_2017_2019-send::oi_type	base_2017_2019-send::oi_type	3	Cryptococcus + Histoplasma capsulatum + Mycobacterium tuberculosis	
base_2017_2019-send::oi_type	base_2017_2019-send::oi_type	4	Cryptococcus + Non-tuberculosis Mycobacteria	
base_2017_2019-send::oi_type	base_2017_2019-send::oi_type	5	Cryptococcus + Mycobacterium tuberculosis	
base_2017_2019-send::oi_type	base_2017_2019-send::oi_type	6	Histoplasma capsulatum	
base_2017_2019-send::oi_type	base_2017_2019-send::oi_type	7	Histoplasma capsulatum + Mycobacterium tuberculosis	
base_2017_2019-send::oi_type	base_2017_2019-send::oi_type	8	Non-tuberculosis Mycobacteria	
