variable	variable2	values	mappedTerm	X
126plate003::abdom_exam	126plate003::abdom_exam	1	Normal	
126plate003::abdom_exam	126plate003::abdom_exam	2	Abnormal	
126plate023::abdom_exam	126plate023::abdom_exam	 	:::UNDEF:::	
126plate023::abdom_exam	126plate023::abdom_exam	1	Normal	
126plate023::abdom_exam	126plate023::abdom_exam	2	Abnormal	
126plate023::abdom_exam	126plate023::abdom_exam	ND	Not done	
126plate033::abdom_exam	126plate033::abdom_exam	0	:::UNDEF:::	
126plate033::abdom_exam	126plate033::abdom_exam	1	Normal	
126plate033::abdom_exam	126plate033::abdom_exam	2	Abnormal	
126plate037::abdom_exam	126plate037::abdom_exam	 	:::UNDEF:::	
126plate037::abdom_exam	126plate037::abdom_exam	0	:::UNDEF:::	
126plate037::abdom_exam	126plate037::abdom_exam	1	Normal	
126plate037::abdom_exam	126plate037::abdom_exam	2	Abnormal	
126plate037::abdom_exam	126plate037::abdom_exam	ND	Not done	
126plate053::abdom_exam	126plate053::abdom_exam	1	Normal	
126plate053::abdom_exam	126plate053::abdom_exam	2	Abnormal	
126plate092::abdom_exam	126plate092::abdom_exam	1	Normal	
126plate092::abdom_exam	126plate092::abdom_exam	2	Abnormal	
126plate092::abdom_exam	126plate092::abdom_exam	ND	Not done	
126plate303::abdom_exam	126plate303::abdom_exam	 	:::UNDEF:::	
126plate303::abdom_exam	126plate303::abdom_exam	0	:::UNDEF:::	
126plate303::abdom_exam	126plate303::abdom_exam	1	Normal	
126plate303::abdom_exam	126plate303::abdom_exam	2	Abnormal	
126plate303::abdom_exam	126plate303::abdom_exam	3	Not done	
126plate303::abdom_exam	126plate303::abdom_exam	ND	Not done	
126plate313::abdom_exam	126plate313::abdom_exam	 	:::UNDEF:::	
126plate313::abdom_exam	126plate313::abdom_exam	0	:::UNDEF:::	
126plate313::abdom_exam	126plate313::abdom_exam	1	Normal	
126plate313::abdom_exam	126plate313::abdom_exam	2	Abnormal	
126plate313::abdom_exam	126plate313::abdom_exam	ND	Not done	
126plate402::abdom_exam	126plate402::abdom_exam	1	Normal	
126plate402::abdom_exam	126plate402::abdom_exam	2	Abnormal	
126plate402::abdom_exam	126plate402::abdom_exam	3	Not done	
126plate402::abdom_exam	126plate402::abdom_exam	ND	Not done	
126plate413::abdom_exam	126plate413::abdom_exam	0	:::UNDEF:::	
126plate413::abdom_exam	126plate413::abdom_exam	1	Normal	
126plate413::abdom_exam	126plate413::abdom_exam	2	Abnormal	
126plate413::abdom_exam	126plate413::abdom_exam	ND	Not done	
226plate004::abdom_exam	226plate004::abdom_exam	1	Normal	
226plate004::abdom_exam	226plate004::abdom_exam	2	Abnormal	
