"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI","hidden"
"http://purl.obolibrary.org/obo/PCO_0000024","Household","","","","","Household","","http://www.w3.org/2002/07/owl#Thing","","","","","","","yes"
"http://purl.obolibrary.org/obo/EUPATH_0025072","Health center","","location","hcq_azithro_non_randomized_reshaped","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","","","variable","","","",""
"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","","","","","Household","Household","http://purl.obolibrary.org/obo/PCO_0000024","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000738","Observation","","","","","Observation","","http://www.w3.org/2002/07/owl#Thing","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0044002","COVID-19 presentation","","clinical.status","hcq_azithro_non_randomized_reshaped","Only assessed once per participant.","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","","","variable","","","",""
"http://purl.obolibrary.org/obo/OGMS_0000073","Diagnosis","","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0044001","Observation day","","observationday","hcq_azithro_non_randomized_reshaped","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000096","Participant","","","","","Participant","","http://www.w3.org/2002/07/owl#Thing","","","","","","","yes"
"http://purl.obolibrary.org/obo/EUPATH_0015457","Study arm","","treatment","","","Participant","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","","","derived variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0044006","Time from symptoms to enrollment","","time.between.onset.of.symptoms.and.inclusion","hcq_azithro_non_randomized_reshaped","","Participant","Clinical history","http://purl.obolibrary.org/obo/OGMS_0000015","","","variable","","","",""
"http://purl.obolibrary.org/obo/PATO_0000047","Sex","","sex","hcq_azithro_non_randomized_reshaped","","Participant","Demographics","http://purl.obolibrary.org/obo/EUPATH_0010981","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010035","Administrative information","","","","","Participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","","","","","","",""
"http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","","","","","Participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","","","","","Participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","","","","","","",""
