colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
2,age,hcq_azithro_non_randomized_reshaped,EUPATH_0000120,Age at enrollment,,Participant,,,,,variable,
7,azithromycin.treatment,hcq_azithro_non_randomized_reshaped,,Azithromycin,,Participant,Treatment,OGMS_0000090,,,variable,
4,clinical.status,hcq_azithro_non_randomized_reshaped,,COVID-19 presentation,,Observation,Diagnosis,OGMS_0000073,,,variable,
11,hydroxychloroquine.serum.concentration...g.ml,hcq_azithro_non_randomized_reshaped,,,,Sample,,,,,variable,see lab test template non-microbiology
6,hydroxychloroquine.treatment,hcq_azithro_non_randomized_reshaped,,Hydroxychloroquine,,Participant,Treatment,OGMS_0000090,,,variable,
8,location,hcq_azithro_non_randomized_reshaped,EUPATH_0025072,Health center,,,,,,,variable,
9,observationday,hcq_azithro_non_randomized_reshaped,BFO_0000015,Observation type,,Observation,,,,,variable,
1,patient,hcq_azithro_non_randomized_reshaped,EUPATH_0000095,Participant ID,,Participant,,,,,variable,
10,pcr,hcq_azithro_non_randomized_reshaped,,"Severe acute respiratory syndrome coronavirus 2 Ct value, by qRT-PCR result",,Sample,Raw virus data for nasopharyngeal/oropharyngeal swabs,EUPATH_0032129,,,variable,
12,pcr_dich,hcq_azithro_non_randomized_reshaped,,"Severe acute respiratory syndrome coronavirus 2, by qRT-PCR",,Sample,Betacoronavirus in nasopharyngeal/oropharyngeal swabs,EUPATH_0033373,,,variable,
3,sex,hcq_azithro_non_randomized_reshaped,PATO_0000047,Sex,,Participant,,,,,variable,
5,time.between.onset.of.symptoms.and.inclusion,hcq_azithro_non_randomized_reshaped,,Time from symptoms to enrollment,,Participant,Clinical history,OGMS_0000015,,,variable,
