"displayOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","notesForProvider","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
1,,,"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location",,"Community","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details",,,"category",,,,,,,,,,,,,,,,
3,,,"http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details",,"Community","http://purl.obolibrary.org/obo/EUPATH_0035127","Community",,,"category",,,,,,,,,,,,,,,,
5,,,"http://purl.obolibrary.org/obo/CLINEPIDB_00002","Community monkeypox summary",,"Community","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details",,,"category",,,,,,,,,,,,,,,,
2,,,"http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,"Community","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location",,,"category",,,,,,,,,,,,,,,,
1,"country","mpoxeu","http://purl.obolibrary.org/obo/ENVO_00000009","Country",,"Community","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","Country","String","variable",,,,,,,"MPOXEU",,,,,,,,,
1,"gps_longitude","mpoxeu","http://purl.obolibrary.org/obo/OBI_0001621","Longitude","Location longitude","Community","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation","location longitude","Numeric","variable",,,,,,,"MPOXEU",,,,"variableTree",,,,,
2,"gps_latitude","mpoxeu","http://purl.obolibrary.org/obo/OBI_0001620","Latitude","Location latitude","Community","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation","location latitude","Numeric","variable",,,,,,,"MPOXEU",,,,"variableTree",,,,,
1,"daterep","mpoxeu","http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","Date of reporting. If the source is “TESSy”, DateRep reflects the date of reporting at national level. If the source is “EI”, DateRep reflects the date when the data were published on the relevant website.","Community","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","Date of reporting. If the source is “TESSy”, DateRep reflects the date of reporting at national level. If the source is “EI”, DateRep reflects the date when the data were published on the relevant website.",,"variable",,,,"yes","yes","yes","MPOXEU",,,"yes",,,,,,
1,"confcases","mpoxeu","http://purl.obolibrary.org/obo/CLINEPIDB_00007","Monkeypox case count","New cases of monkeypox, reported for each day per country.","Community","http://purl.obolibrary.org/obo/CLINEPIDB_00002","Community monkeypox summary","Daily number of new confirmed cases.",,"variable",,,,"yes",,,"MPOXEU",,,"yes",,,,,,
1,,,"http://purl.obolibrary.org/obo/EUPATH_0035127","Community",,"Community","http://www.w3.org/2002/07/owl#Thing",,,,,,,,,,,,,,,,,,,,
1,"geohash1",,"http://purl.obolibrary.org/obo/EUPATH_0043203","GEOHASH 1",,"Community","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,,,,,"everywhere",,,,,
2,"geohash2",,"http://purl.obolibrary.org/obo/EUPATH_0043204","GEOHASH 2",,"Community","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,,,,,"everywhere",,,,,
3,"geohash3",,"http://purl.obolibrary.org/obo/EUPATH_0043205","GEOHASH 3",,"Community","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,,,,,"everywhere",,,,,
4,"geohash4",,"http://purl.obolibrary.org/obo/EUPATH_0043206","GEOHASH 4",,"Community","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,,,,,"everywhere",,,,,
5,"geohash5",,"http://purl.obolibrary.org/obo/EUPATH_0043207","GEOHASH 5",,"Community","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,,,,,"everywhere",,,,,
6,"geohash6",,"http://purl.obolibrary.org/obo/EUPATH_0043208","GEOHASH 6",,"Community","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,,,,,"everywhere",,,,,
