"displayOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","notesForProvider","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
1,,,"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location",,"Community","http://purl.obolibrary.org/obo/EUPATH_0035127","Community",,,"category",,,,,,,,,,,,,,,,
3,,,"http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details",,"Community","http://purl.obolibrary.org/obo/EUPATH_0035127","Community",,,"category",,,,,,,,,,,,,,,,
4,,,"http://purl.obolibrary.org/obo/CLINEPIDB_00001","Community aggregate monkeypox data",,"Community","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details",,,"category",,,,,,,,,,,,,,,,
5,,,"http://purl.obolibrary.org/obo/CLINEPIDB_00002","Community monkeypox summary",,"Community","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details",,,"category",,,,,,,,,,,,,,,,
2,,,"http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,"Community","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location",,,"category",,,,,,,,,,,,,,,,
1,"total_cases","mpoxworld","http://purl.obolibrary.org/obo/CLINEPIDB_00003","Cumulative sum monkeypox cases","Cumulative sum of monkeypox cases to date per country.","Community","http://purl.obolibrary.org/obo/CLINEPIDB_00001","Community aggregate monkeypox data","total cases of monkeypox",,"variable","need new term",,,"yes",,,"MPOXWORLD",,,,,,,,,
2,"total_cases_per_million","mpoxworld","http://purl.obolibrary.org/obo/CLINEPIDB_00004","Cumulative sum monkeypox cases per million","Cumulative sum of monkeypox cases per million people to date per country.","Community","http://purl.obolibrary.org/obo/CLINEPIDB_00001","Community aggregate monkeypox data","total cases of monkeypox per million people",,"variable","need new term",,,"yes",,,"MPOXWORLD",,,,,,,,,
3,"total_deaths","mpoxworld","http://purl.obolibrary.org/obo/CLINEPIDB_00005","Cumulative sum monkeypox deaths","Cumulative sum of deaths from monkeypox to date per country.","Community","http://purl.obolibrary.org/obo/CLINEPIDB_00001","Community aggregate monkeypox data","total deaths from monkeypox",,"variable","need new term",,,"yes",,,"MPOXWORLD",,,,,,,,,
4,"total_deaths_per_million","mpoxworld","http://purl.obolibrary.org/obo/CLINEPIDB_00006","Cumulative sum monkeypox deaths per million","Cumulative sum of deaths from monkeypox per million people to date per country.","Community","http://purl.obolibrary.org/obo/CLINEPIDB_00001","Community aggregate monkeypox data","total deaths of monkeypox per million people",,"variable","need new term",,,"yes",,,"MPOXWORLD",,,,,,,,,
1,"new_cases","mpoxworld","http://purl.obolibrary.org/obo/CLINEPIDB_00007","Monkeypox case count","New cases of monkeypox, reported for each day per country.","Community","http://purl.obolibrary.org/obo/CLINEPIDB_00002","Community monkeypox summary","new cases of monkeypox",,"variable","need new term",,,"yes",,,"MPOXWORLD",,,,,,,,,
2,"new_cases_per_million","mpoxworld","http://purl.obolibrary.org/obo/CLINEPIDB_00008","Monkeypox case count per million","New cases of monkeypox per million people, reported for each day per country.","Community","http://purl.obolibrary.org/obo/CLINEPIDB_00002","Community monkeypox summary","new cases of monkeypox per million people",,"variable","need new term",,,"yes",,,"MPOXWORLD",,,,,,,,,
3,"new_deaths","mpoxworld","http://purl.obolibrary.org/obo/CLINEPIDB_00009","Monkeypox death count","New deaths from monkeypox, reported for each day per country.","Community","http://purl.obolibrary.org/obo/CLINEPIDB_00002","Community monkeypox summary","new deaths from monkeypox",,"variable","need new term",,,"yes",,,"MPOXWORLD",,,,,,,,,
