uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,values,boolean
nhs 111 data feed::pid,NHS,pid,nhs 111 data feed,PID,NHS 111 data feed.csv,continuous,
nhs 111 data feed::contract_name,NHS,contract_name,nhs 111 data feed,Contract_Name,NHS 111 data feed.csv,Hillingdon,
nhs 111 data feed::contract_name,NHS,contract_name,nhs 111 data feed,Contract_Name,NHS 111 data feed.csv,London Central West 111,
nhs 111 data feed::contract_name,NHS,contract_name,nhs 111 data feed,Contract_Name,NHS 111 data feed.csv,North West London,
nhs 111 data feed::ccg_name,NHS,ccg_name,nhs 111 data feed,CCG_Name,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,111 - SCH Triage Pool,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,111 - SCH Triage Pool (LCW UCC),
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,111 Bristol,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,111 Conduit,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,111 Dorking,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,111 Dudley,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,111 Ipswich,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,111 Southall,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,IUC Clinical Hub,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,IUC Clinical Hub (LCW UCC),
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,NULL,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,SCH PCC,
nhs 111 data feed::call_centre,NHS,call_centre,nhs 111 data feed,Call_Centre,NHS 111 data feed.csv,SCH Triage Pool (LCW UCC),
nhs 111 data feed::telephony_line,NHS,telephony_line,nhs 111 data feed,Telephony_line,NHS 111 data feed.csv,Brent,
nhs 111 data feed::telephony_line,NHS,telephony_line,nhs 111 data feed,Telephony_line,NHS 111 data feed.csv,Ealing,
nhs 111 data feed::telephony_line,NHS,telephony_line,nhs 111 data feed,Telephony_line,NHS 111 data feed.csv,Harrow,
nhs 111 data feed::telephony_line,NHS,telephony_line,nhs 111 data feed,Telephony_line,NHS 111 data feed.csv,Hillingdon,
nhs 111 data feed::telephony_line,NHS,telephony_line,nhs 111 data feed,Telephony_line,NHS 111 data feed.csv,Hounslow,
nhs 111 data feed::telephony_line,NHS,telephony_line,nhs 111 data feed,Telephony_line,NHS 111 data feed.csv,London Central West,
nhs 111 data feed::telephony_line,NHS,telephony_line,nhs 111 data feed,Telephony_line,NHS 111 data feed.csv,North West London,
nhs 111 data feed::caseref,NHS,caseref,nhs 111 data feed,CaseRef,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::caseno,NHS,caseno,nhs 111 data feed,CaseNo,NHS 111 data feed.csv,continuous,
nhs 111 data feed::providergroup,NHS,providergroup,nhs 111 data feed,ProviderGroup,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::nacs,NHS,nacs,nhs 111 data feed,NACS,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::providergroupccg,NHS,providergroupccg,nhs 111 data feed,ProviderGroupCCG,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::yob,NHS,yob,nhs 111 data feed,YOB,NHS 111 data feed.csv,continuous,
nhs 111 data feed::dos_shownfordx,NHS,dos_shownfordx,nhs 111 data feed,DOS_ShownForDX,NHS 111 data feed.csv,0,TRUE
nhs 111 data feed::dos_shownfordx,NHS,dos_shownfordx,nhs 111 data feed,DOS_ShownForDX,NHS 111 data feed.csv,1,TRUE
nhs 111 data feed::dos_service,NHS,dos_service,nhs 111 data feed,DOS_Service,NHS 111 data feed.csv,0,
nhs 111 data feed::dos_service,NHS,dos_service,nhs 111 data feed,DOS_Service,NHS 111 data feed.csv,1,
nhs 111 data feed::dos_service,NHS,dos_service,nhs 111 data feed,DOS_Service,NHS 111 data feed.csv,NULL,
nhs 111 data feed::firstassessment__system__dxcode,NHS,firstassessment__system__dxcode,nhs 111 data feed,FirstAssessment__System__DxCode,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::firstassessment_final_dxcode,NHS,firstassessment_final_dxcode,nhs 111 data feed,FirstAssessment_Final_DxCode,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::finalassessment__system__dxcode,NHS,finalassessment__system__dxcode,nhs 111 data feed,FinalAssessment__System__DxCode,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::finalassessment_final_dxcode,NHS,finalassessment_final_dxcode,nhs 111 data feed,FinalAssessment_Final_DxCode,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::callerterminatedcall,NHS,callerterminatedcall,nhs 111 data feed,CallerTerminatedCall,NHS 111 data feed.csv,0,TRUE
nhs 111 data feed::callerterminatedcall,NHS,callerterminatedcall,nhs 111 data feed,CallerTerminatedCall,NHS 111 data feed.csv,1,TRUE
nhs 111 data feed::warmtransferred,NHS,warmtransferred,nhs 111 data feed,WarmTransferred,NHS 111 data feed.csv,0,TRUE
nhs 111 data feed::warmtransferred,NHS,warmtransferred,nhs 111 data feed,WarmTransferred,NHS 111 data feed.csv,1,TRUE
nhs 111 data feed::callback,NHS,callback,nhs 111 data feed,CallBack,NHS 111 data feed.csv,0,TRUE
nhs 111 data feed::callback,NHS,callback,nhs 111 data feed,CallBack,NHS 111 data feed.csv,1,TRUE
nhs 111 data feed::referral_datetime,NHS,referral_datetime,nhs 111 data feed,Referral_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::servicecareitemid,NHS,servicecareitemid,nhs 111 data feed,ServiceCareItemID,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::servicecareitemname,NHS,servicecareitemname,nhs 111 data feed,ServiceCareItemName,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::mds_finaldxcode,NHS,mds_finaldxcode,nhs 111 data feed,MDS_FinalDxCode,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::dispositioncode,NHS,dispositioncode,nhs 111 data feed,DispositionCode,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::symptomgroupid_dos_,NHS,symptomgroupid_dos_,nhs 111 data feed,SymptomGroupId_DoS_,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::symptomgroupid_pathways_,NHS,symptomgroupid_pathways_,nhs 111 data feed,SymptomGroupId_Pathways_,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::symptomdiscriminatorid_dos_,NHS,symptomdiscriminatorid_dos_,nhs 111 data feed,SymptomDiscriminatorId_DoS_,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::symptomdiscriminatorid_pathways_,NHS,symptomdiscriminatorid_pathways_,nhs 111 data feed,SymptomDiscriminatorId_Pathways_,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,15,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,21,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,22,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,23,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,24,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,25,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,26,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,27,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,28,
nhs 111 data feed::rejectedexceptionid,NHS,rejectedexceptionid,nhs 111 data feed,RejectedExceptionId,NHS 111 data feed.csv,NULL,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,Caller Unable To Access Service Due To Transport / Distance,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,NULL,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,Other Service Accepted,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,Patient Contacting Own GP,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,Patient Declined Service,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,Patient out of area,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,Recommended service declined the referral,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,Recommended service not available for capacity reasons,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,Recommended service not clinically appropriate,
nhs 111 data feed::referralexceptionreason,NHS,referralexceptionreason,nhs 111 data feed,ReferralExceptionReason,NHS 111 data feed.csv,Unable To Contact Recommended Service,
nhs 111 data feed::rejectedservicecareitemid,NHS,rejectedservicecareitemid,nhs 111 data feed,RejectedServiceCareItemId,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::rejectedservicecareitemname,NHS,rejectedservicecareitemname,nhs 111 data feed,RejectedServiceCareItemName,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::gp_appointment_datetime,NHS,gp_appointment_datetime,nhs 111 data feed,GP_Appointment_Datetime,NHS 111 data feed.csv,NULL,
nhs 111 data feed::dos_itk_message_format,NHS,dos_itk_message_format,nhs 111 data feed,DoS_ITK_message_format,NHS 111 data feed.csv,EMAIL,
nhs 111 data feed::dos_itk_message_format,NHS,dos_itk_message_format,nhs 111 data feed,DoS_ITK_message_format,NHS 111 data feed.csv,ITK,
nhs 111 data feed::dos_itk_message_format,NHS,dos_itk_message_format,nhs 111 data feed,DoS_ITK_message_format,NHS 111 data feed.csv,NULL,
nhs 111 data feed::dos_itk_message_format,NHS,dos_itk_message_format,nhs 111 data feed,DoS_ITK_message_format,NHS 111 data feed.csv,UNKNOWN,
nhs 111 data feed::firstlanguage,NHS,firstlanguage,nhs 111 data feed,FirstLanguage,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::ambulancecadnumber,NHS,ambulancecadnumber,nhs 111 data feed,AmbulanceCADNumber,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Asian or Asian British Bangladeshi,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Asian or Asian British Indian,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Asian or Asian British Pakistani,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Black or Black British African,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Black or Black British Caribbean,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Chinese,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Mixed White and Asian,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Mixed White and Black African,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Mixed White and Black Caribbean,
