"IRI","label","Notes","variable","definition","parentIRI","parentLabel","category","replaces","ISA_Type","ISA_Parent","unitLabel","unitIRI"
"http://purl.obolibrary.org/obo/OBI_0000995","Administration of material to specimen","Assay","administration of material to specimen",,"http://www.w3.org/2002/07/owl#Thing",,,,"protocol",,,
"http://purl.obolibrary.org/obo/OBI_0000626","Assay","Assay",,,"http://www.w3.org/2002/07/owl#Thing",,,,"protocol",,,
"http://purl.obolibrary.org/obo/OBI_0003077","Entomology","Vector information (can be as sample source as well)",,,"http://www.w3.org/2002/07/owl#Thing",,,"EUPATH_0000327",,,,
"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","sample collection location",,,"http://www.w3.org/2002/07/owl#Thing",,,,,,,
"http://purl.obolibrary.org/obo/GO_0016570","Histone modification","Assay",,,"http://www.w3.org/2002/07/owl#Thing",,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0000104","Organism under investigation","pathogen information that studied in the experiments",,,"http://www.w3.org/2002/07/owl#Thing",,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0000609","Sample","sample information",,,"http://www.w3.org/2002/07/owl#Thing",,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0000611","Sample source","host organism + enviromental material where the sample collected from",,,"http://www.w3.org/2002/07/owl#Thing",,,,,,,
"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests",,,,"http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,,
"http://purl.obolibrary.org/obo/CMO_0000026","Hemoglobin concentration (g/dL)","keep","Hemoglobin concentration (g/dL)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0001303","Lactate (mmol/L)","keep","Lactate (mmol/L)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000031","Lymphocyte count  (x109/L)","keep","Lymphocyte count  (x109/L)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000038","Mean cell volume (fL)","keep","Mean cell volume (fL)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000032","Monocyte count  (x109/L)","keep","Monocyte count  (x109/L)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000030","Neutrophil count  (x109/L)","keep","Neutrophil count  (x109/L)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/EUPATH_0005038","P. falciparum HRP2 (ng/mL)","keep","PfHRP2 (ng/mL)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/EUPATH_0005039","Parasite density by RNA sequencing (/ul)","keep","Parasite density (/ul)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000371","Percentage lymphocytes","keep","Percentage lymphocytes",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000374","Percentage monocytes","keep","Percentage monocytes",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000370","Percentage neutrophils","keep","Percentage neutrophils",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/EUPATH_0005032","Percentage parasitemia","keep","Percentage parasitemia",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000029","Platelet count (x109/L)","keep","Platelet count (x109/L)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/EUPATH_0005037","Presence of sickling hemoglobin","keep","Sickle cell screen",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000025","Red blood cell count (x1012/L)","keep","Red blood cell count (x1012/L)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/CMO_0000027","Total White Cell Count (x109/L)","keep","Total White Cell Count (x109/L)",,"http://purl.obolibrary.org/obo/OBI_0003243","Blood tests","Sample",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/OBI_0001169","Age","keep","age",,"http://purl.obolibrary.org/obo/EUPATH_0000611","Sample source","Sample source",,"characteristicQualifier","Source","years","http://purl.obolibrary.org/obo/UO_0000036"
"http://purl.obolibrary.org/obo/OMRSE_00000205","Ethnicity","keep","Ethnicity",,"http://purl.obolibrary.org/obo/EUPATH_0000611","Sample source","Sample source",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/EUPATH_0000095","Participant ID","keep","subject ID","Unique participant ID","http://purl.obolibrary.org/obo/EUPATH_0000611","Sample source","Sample source",,"characteristicQualifier","Source",,
"http://purl.obolibrary.org/obo/EUPATH_0000307","Participant study details",,,,"http://purl.obolibrary.org/obo/EUPATH_0000611","Sample source",,,,,,
"http://purl.obolibrary.org/obo/PATO_0000047","Sex","keep","sex",,"http://purl.obolibrary.org/obo/EUPATH_0000611","Sample source","Sample source",,"characteristicQualifier","Source",,
,,,,,,,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0023008","First Blantyre coma score",,"First Blantyre coma score",,"http://purl.obolibrary.org/obo/EUPATH_0000611","Sample source","Sample source",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)",,,,"http://purl.obolibrary.org/obo/OBI_0000626","Assay",,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)",,,,"http://purl.obolibrary.org/obo/OBI_0000626","Assay",,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005052","h_P10_I3_M2",,"h_P10_I3_M2",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005053","h_P11_I2_M3",,"h_P11_I2_M3",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005054","h_P12_I1_M1",,"h_P12_I1_M1",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005055","h_P1_I28_M1",,"h_P1_I28_M1",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005056","h_P1_I28_M3",,"h_P1_I28_M3",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005057","h_P1_I28_M5",,"h_P1_I28_M5",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005058","h_P1_I28_M6",,"h_P1_I28_M6",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005059","h_P1_I28_M7",,"h_P1_I28_M7",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005060","h_P1_I28_M8",,"h_P1_I28_M8",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005061","h_P2_I10_M4",,"h_P2_I10_M4",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005062","h_P3_I9_M10",,"h_P3_I9_M10",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005063","h_P3_I9_M15",,"h_P3_I9_M15",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005064","h_P3_I9_M18",,"h_P3_I9_M18",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005065","h_P3_I9_M19",,"h_P3_I9_M19",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005066","h_P3_I9_M20",,"h_P3_I9_M20",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005067","h_P3_I9_M6",,"h_P3_I9_M6",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005068","h_P4_I11_M23",,"h_P4_I11_M23",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005069","h_P4_I11_M29",,"h_P4_I11_M29",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005070","h_P5_I6_M11",,"h_P5_I6_M11",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005071","h_P5_I6_M18",,"h_P5_I6_M18",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005072","h_P5_I6_M24",,"h_P5_I6_M24",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005073","h_P5_I6_M7",,"h_P5_I6_M7",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005074","h_P6_I9_M11",,"h_P6_I9_M11",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005075","h_P7_I4_M9",,"h_P7_I4_M9",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005076","h_P8_I3_M4",,"h_P8_I3_M4",,"http://purl.obolibrary.org/obo/EUPATH_0005050","Host Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005077","Malaria disease",,"malaria",,"http://purl.obolibrary.org/obo/EUPATH_0000611","Sample source","Sample source",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005078","Parasite clones",,"Parasite clones",,"http://purl.obolibrary.org/obo/EUPATH_0000609","Sample","Sample",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005079","p_P1_I14_M1",,"p_P1_I14_M1",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005080","p_P1_I14_M10",,"p_P1_I14_M10",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005081","p_P1_I14_M12",,"p_P1_I14_M12",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
