colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar
42,42,,exclusioncriteria,BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility Criteria,Reason for exclusion,Participant,Administrative information ,http://purl.obolibrary.org/obo/EUPATH_0010035,Reason for exclusion,numeric,variable,Reasons for exclusion or inclusion is the list of questions in the screening dataset. ,,,exclusioncriteria|BC-3 screening database FINAL
913,913,,Txarm,Individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,,Participant,Administrative information ,http://purl.obolibrary.org/obo/EUPATH_0010035,Mothers Treatment Assignment,"0=SP, 1=DP",variable,,,,Txarm|Individual level database FINAL
395,395,,Txarm,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,,Participant,Administrative information ,http://purl.obolibrary.org/obo/EUPATH_0010035,Mothers Treatment Assignment,"1=SP, 2=DP",variable,,,,Txarm|BC-3 childs expanded database FINAL
1028,1028,,Txarm,BC-3 children individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,,Participant,Administrative information ,http://purl.obolibrary.org/obo/EUPATH_0010035,Mothers Treatment Assignment,"1=SP, 2=DP",variable,,,,Txarm|BC-3 children individual level database FINAL
,,,,,,Eligibility criteria,,,Administrative information ,http://purl.obolibrary.org/obo/EUPATH_0010035,,,,,,,
1089,1089,,headcircum,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000683,Head circumference (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Head circumference,,variable,,,,headcircum|BC-3 childs all visit database FINAL
175,175,,weight,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),Weight of participant in kilograms,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight(kg),,variable,,,,weight|BC-3 enrollment database FINAL
333,333,,weight,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight (kg),,variable,,,,weight|BC-3 mothers expanded database FINAL
1087,1087,,weight,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight (kg),,variable,,,,weight|BC-3 childs all visit database FINAL
429,429,,weight,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight(kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight (kg),,variable,,,,weight|BC-3 childs expanded database FINAL
176,176,,height,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),Height of participant in centimeters,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Height(cm),,variable,,,,height|BC-3 enrollment database FINAL
1088,1088,,height,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Height (cm),,variable,,,,height|BC-3 childs all visit database FINAL
430,430,,height,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Height (cm),,variable,,,,height|BC-3 childs expanded database FINAL
179,179,,fhgt,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/NCIT_C154876,Fundal height (cm),Specified the size of the uterus,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Fundal Height,,variable,,,,fhgt|BC-3 enrollment database FINAL
502,502,,fhgt,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/NCIT_C154876,Fundal height (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Fundal Height (cm),,variable,,,,fhgt|BC-3 mothers all visits database FINAL
1050,1050,,bweight,BC-3 children individual level database FINAL,http://www.ebi.ac.uk/efo/EFO_0004344,Birth weight (gm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Birth weight,,variable,,,,bweight|BC-3 children individual level database FINAL
,,,bed,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_00000501,Bed,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,bed?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,radio,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144, a radio?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,cassette,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000578,Cassette player,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,cassette player?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,tv,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,television?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,mobile,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,mobile phone?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,phone,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000582,Landline phone,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,fixed phone?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,fridge,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,refrigerator?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,htable,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000584,Table,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,table?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,chair,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000586,Chair,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,chairs?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,sofa,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000588,Sofa,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,sofa set?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,cupboard,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000595,Cupboard,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,cupboard?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,clock,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,clock?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,bicycle,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a bicycle?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,scooter,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a motorcycle or motor scooter?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,cart,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000166,Animal-drawn cart,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,an animal-drawn cart?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,bankacco,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000167,Bank account,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a bank account?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,nomboat,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000170,Boat without a motor,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a boat without a  motor?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,car,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a car or truck?,"1=Yes, 2=No, -9=Skipped",value,,,,
