IRI,label,displayOrder,variable,dataFile,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,replaces
http://purl.obolibrary.org/obo/CMO_0000027,White blood cells (x10^3/uL),,BC-3 mothers all visits database FINAL::wbc | BC-3 mothers delivery database FINAL_long::wbc,BC-3 mothers delivery database FINAL_long | BC-3 mothers all visits database FINAL,WBC results done,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,wbc | WBC result | WBC,,variable,
http://purl.obolibrary.org/obo/CMO_0000591,Urine protein,,BC-3 mothers all visits database FINAL::uprotein,BC-3 mothers all visits database FINAL,What was the urine protein,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,Urine protein,"0=0,
1=1+,
2=2+,
3=3+",variable,
http://purl.obolibrary.org/obo/ENVO_00000004,Country,,country,,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,,"variable, derived",
http://purl.obolibrary.org/obo/ENVO_00000501,Bed,,BC3_Household_Survey_Data::bed,BC3_Household_Survey_Data,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,bed?,"1=Yes, 2=No, -9=Skipped",value,
http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,,BC3_Household_Survey_Data::swater | BC3_Household_Survey_Data::otherscs,BC3_Household_Survey_Data,,Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,what is the main source of drinking water for members of your household? | specify other source of water,"borehole, public tap",variable,
http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,BC3_Household_Survey_Data::radio,BC3_Household_Survey_Data,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a radio?,"1=Yes, 2=No, -9=Skipped",value,
http://purl.obolibrary.org/obo/ENVO_01000578,Cassette player,,BC3_Household_Survey_Data::cassette,BC3_Household_Survey_Data,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,cassette player?,"1=Yes, 2=No, -9=Skipped",value,
http://purl.obolibrary.org/obo/ENVO_01000579,Television,,BC3_Household_Survey_Data::tv,BC3_Household_Survey_Data,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,television?,"1=Yes, 2=No, -9=Skipped",value,
http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,BC3_Household_Survey_Data::mobile,BC3_Household_Survey_Data,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,mobile phone?,"1=Yes, 2=No, -9=Skipped",value,
http://purl.obolibrary.org/obo/ENVO_01000582,Landline phone,,BC3_Household_Survey_Data::phone,BC3_Household_Survey_Data,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,fixed phone?,"1=Yes, 2=No, -9=Skipped",value,
http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,,BC3_Household_Survey_Data::fridge,BC3_Household_Survey_Data,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,refrigerator?,"1=Yes, 2=No, -9=Skipped",value,
http://purl.obolibrary.org/obo/ENVO_01000584,Table,,BC3_Household_Survey_Data::htable,BC3_Household_Survey_Data,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,table?,"1=Yes, 2=No, -9=Skipped",value,
http://purl.obolibrary.org/obo/ENVO_01000586,Chair,,BC3_Household_Survey_Data::chair,BC3_Household_Survey_Data,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,chairs?,"1=Yes, 2=No, -9=Skipped",value,
