IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,PROMOTE BC3 Cohort,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0000166,Animal-drawn cart,BC3_Household_Survey_Data::cart,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,an animal-drawn cart?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000167,Bank account,BC3_Household_Survey_Data::bankacco,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,a bank account?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000501,Bed,BC3_Household_Survey_Data::bed,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,bed?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,BC3_Household_Survey_Data::bicycle,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,a bicycle?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,BC3_Household_Survey_Data::mboat,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,a boat with a motor?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000170,Boat without a motor,BC3_Household_Survey_Data::nomboat,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,a boat without a  motor?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,BC3_Household_Survey_Data::car,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,a car or truck?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000578,Cassette player,BC3_Household_Survey_Data::cassette,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,cassette player?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000586,Chair,BC3_Household_Survey_Data::chair,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,chairs?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000596,Clock,BC3_Household_Survey_Data::clock,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,clock?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000595,Cupboard,BC3_Household_Survey_Data::cupboard,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,cupboard?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,BC3_Household_Survey_Data::electric,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,does your household have electricity?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000582,Landline phone,BC3_Household_Survey_Data::phone,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,fixed phone?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,BC3_Household_Survey_Data::mobile,,BC3_Household_Survey_Data,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,mobile phone?,"1=Yes, 2=No, -9=Skipped",value,,,,PROMOTE BC3 Cohort,,,,,,,,,
