variable	IRI	values	mappedTerm
BC-3 enrollment database FINAL.dta::educ	BC-3 enrollment database FINAL.dta::educ	0	None
BC-3 enrollment database FINAL.dta::educ	BC-3 enrollment database FINAL.dta::educ	1	Primary
BC-3 enrollment database FINAL.dta::educ	BC-3 enrollment database FINAL.dta::educ	2	O level
BC-3 enrollment database FINAL.dta::educ	BC-3 enrollment database FINAL.dta::educ	3	A level
BC-3 enrollment database FINAL.dta::educ	BC-3 enrollment database FINAL.dta::educ	4	Tertiary
BC-3 enrollment database FINAL.dta::educ	BC-3 enrollment database FINAL.dta::educ	5	University
BC-3 enrollment database FINAL.dta::syph	BC-3 enrollment database FINAL.dta::syph	0	Negative
BC-3 enrollment database FINAL.dta::syph	BC-3 enrollment database FINAL.dta::syph	1	Positive
BC-3 enrollment database FINAL.dta::syph	BC-3 enrollment database FINAL.dta::syph	2	No result
BC-3 enrollment database FINAL.dta::mstatus	BC-3 enrollment database FINAL.dta::mstatus	0	No malaria
BC-3 enrollment database FINAL.dta::mstatus	BC-3 enrollment database FINAL.dta::mstatus	1	Uncomplicated malaria
BC-3 enrollment database FINAL.dta::mstatus	BC-3 enrollment database FINAL.dta::mstatus	2	Complicated malaria
BC-3 enrollment database FINAL.dta::fatherconsent	BC-3 enrollment database FINAL.dta::fatherconsent	1	Father unavailable to provide consent
BC-3 enrollment database FINAL.dta::fatherconsent	BC-3 enrollment database FINAL.dta::fatherconsent	2	Father provided consent
BC-3 enrollment database FINAL.dta::fatherconsent	BC-3 enrollment database FINAL.dta::fatherconsent	3	Father refused to consent
BC-3 enrollment database FINAL.dta::itn	BC-3 enrollment database FINAL.dta::itn	0	No
BC-3 enrollment database FINAL.dta::itn	BC-3 enrollment database FINAL.dta::itn	1	Yes
BC-3 enrollment database FINAL.dta::itnlastnight	BC-3 enrollment database FINAL.dta::itnlastnight	0	No
BC-3 enrollment database FINAL.dta::itnlastnight	BC-3 enrollment database FINAL.dta::itnlastnight	1	Yes
BC-3 enrollment database FINAL.dta::febrile	BC-3 enrollment database FINAL.dta::febrile	0	No
BC-3 enrollment database FINAL.dta::febrile	BC-3 enrollment database FINAL.dta::febrile	1	Yes
