# version-2
variable	values	mappedTerms	valueOrder
country	Ghana	Ghana	1
country	Kenya	Kenya	2
sex	f	Female	1
sex	m	Male	2
armcodedesc	Control group	Control group	1
armcodedesc	Fx017-mFxD group	Fx017-mFxD group	2
armcodedesc	Fx012-14-mFxD group	Fx012-14-mFxD group	3
armcodedesc	R012-14-mD group	R012-14-mD group	4
armcodedesc	R012-20 group	R012-20 group	5
parpos	0	Negative	1
parpos	1	Positive	2
clininf	0	Negative	1
clininf	1	Positive	2
clininf	NA	:::UNDEF:::	
pricasedeftrue	0	Negative	1
pricasedeftrue	1	Positive	2
pricasedeftrue	NA	:::UNDEF:::	
