colOrder,IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
3,http://purl.obolibrary.org/obo/CLINEPIDB_00080,Subdistrict in Malaysia,data dengue coordinate malaysia 2015::mukim.zon..alamat.semasa. | data dengue coordinate malaysia 2016::mukim.zon..alamat.semasa. | data dengue coordinate malaysia 2017::mukim.zon..alamat.semasa. | data dengue coordinate malaysia 2018::mukim.zon..alamat.semasa. | data dengue coordinate malaysia 2019::mukim.zon..alamat.semasa.,data dengue coordinate malaysia 2019,subdistrict,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
4,http://purl.obolibrary.org/obo/CLINEPIDB_00079,District in Malaysia,data dengue coordinate malaysia 2015::daerah..alamat.semasa. | data dengue coordinate malaysia 2016::daerah..alamat.semasa. | data dengue coordinate malaysia 2017::daerah..alamat.semasa. | data dengue coordinate malaysia 2018::daerah..alamat.semasa. | data dengue coordinate malaysia 2019::daerah..alamat.semasa.,data dengue coordinate malaysia 2019,district,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
7,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,data dengue coordinate malaysia 2015::latitud..iso. | data dengue coordinate malaysia 2016::latitud..iso. | data dengue coordinate malaysia 2017::latitud..iso. | data dengue coordinate malaysia 2018::latitud..iso. | data dengue coordinate malaysia 2019::latitud..iso.,data dengue coordinate malaysia 2019,latitude,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
8,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,data dengue coordinate malaysia 2015::lngitud..iso. | data dengue coordinate malaysia 2016::lngitud..iso. | data dengue coordinate malaysia 2017::lngitud..iso. | data dengue coordinate malaysia 2018::lngitud..iso. | data dengue coordinate malaysia 2019::lngitud..iso.,data dengue coordinate malaysia 2019,longitude,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
9,http://purl.obolibrary.org/obo/EUPATH_0000151,Registration date of confirmed cases,data dengue coordinate malaysia 2015::tarikh.daftar | data dengue coordinate malaysia 2016::tarikh.daftar | data dengue coordinate malaysia 2017::tarikh.daftar | data dengue coordinate malaysia 2018::tarikh.daftar | data dengue coordinate malaysia 2019::tarikh.daftar,data dengue coordinate malaysia 2019,registration date of confirmed cases,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,yes,,,,,,
10,http://purl.obolibrary.org/obo/CLINEPIDB_00078,State in Malaysia,data dengue coordinate malaysia 2015::negeri..alamat.semasa. | data dengue coordinate malaysia 2016::negeri..alamat.semasa. | data dengue coordinate malaysia 2017::negeri..alamat.semasa. | data dengue coordinate malaysia 2018::negeri..alamat.semasa. | data dengue coordinate malaysia 2019::negeri..alamat.semasa.,data dengue coordinate malaysia 2019,state,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
11,http://purl.obolibrary.org/obo/EUPATH_0010370,Confirmed cases year,data dengue coordinate malaysia 2015::epid.tahun..tkh.daftar. | data dengue coordinate malaysia 2016::epid.tahun..tkh.daftar. | data dengue coordinate malaysia 2017::epid.tahun..tkh.daftar. | data dengue coordinate malaysia 2018::epid.tahun..tkh.daftar. | data dengue coordinate malaysia 2019::epid.tahun..tkh.daftar.,data dengue coordinate malaysia 2019,year of confirmed cases,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,,,,,,,
12,http://purl.obolibrary.org/obo/EUPATH_0037001,Confirmed cases week,data dengue coordinate malaysia 2015::epid.minggu..tkh.daftar. | data dengue coordinate malaysia 2016::epid.minggu..tkh.daftar. | data dengue coordinate malaysia 2017::epid.minggu..tkh.daftar. | data dengue coordinate malaysia 2018::epid.minggu..tkh.daftar. | data dengue coordinate malaysia 2019::epid.minggu..tkh.daftar.,data dengue coordinate malaysia 2019,week of confirmed cases,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,geohash1,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,,,,,yes,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,geohash2,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,,,,,yes,,,,,
