colOrder,uniqueVar,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
3,data dengue coordinate malaysia 2015::mukim.zon..alamat.semasa.,data dengue coordinate malaysia 2015,,Subdistrict in Malaysia,subdistrict,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,new term needed,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
4,data dengue coordinate malaysia 2015::daerah..alamat.semasa.,data dengue coordinate malaysia 2015,,District in Malaysia,district,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,new term needed,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
7,data dengue coordinate malaysia 2015::latitud..iso.,data dengue coordinate malaysia 2015,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,latitude,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
8,data dengue coordinate malaysia 2015::lngitud..iso.,data dengue coordinate malaysia 2015,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,longitude,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
9,data dengue coordinate malaysia 2015::tarikh.daftar,data dengue coordinate malaysia 2015,,Registration date of confirmed cases,registration date of confirmed cases,Participant,?,?,,,variable,new term needed,yes,yes,Registration date of confirmed cases,SINKINS,,,yes,,,,,,
10,data dengue coordinate malaysia 2015::negeri..alamat.semasa.,data dengue coordinate malaysia 2015,,State in Malaysia,state,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
11,data dengue coordinate malaysia 2015::epid.tahun..tkh.daftar.,data dengue coordinate malaysia 2015,,Confirmed cases year,year of confirmed cases,Participant,?,?,,,variable,new term needed,yes,yes,Registration date of confirmed cases,SINKINS,,,,,,,,,
12,data dengue coordinate malaysia 2015::epid.minggu..tkh.daftar.,data dengue coordinate malaysia 2015,,Confirmed cases week,week of confirmed cases,Participant,?,?,,,variable,new term needed,yes,yes,Registration date of confirmed cases,SINKINS,,,,,,,,,
3,data dengue coordinate malaysia 2016::mukim.zon..alamat.semasa.,data dengue coordinate malaysia 2016,,Subdistrict in Malaysia,subdistrict,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
4,data dengue coordinate malaysia 2016::daerah..alamat.semasa.,data dengue coordinate malaysia 2016,,District in Malaysia,district,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
