colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
,Malaria,,http://purl.obolibrary.org/obo/DOID_12365,Malaria,,,Disease,http://purl.obolibrary.org/obo/DOID_4,,,value,
,Diarrhea,,http://purl.obolibrary.org/obo/DOID_13250,Diarrheal disease,,,Disease,http://purl.obolibrary.org/obo/DOID_4,,,value,
,Schistosomiasis,,http://purl.obolibrary.org/obo/DOID_1395,Schistosomiasis,,,Disease,http://purl.obolibrary.org/obo/DOID_4,,,value,
,Respiratory condition,,http://purl.obolibrary.org/obo/DOID_1579,Respiratory condition,,,Disease,http://purl.obolibrary.org/obo/DOID_4,,,value,
,Tuberculosis,,http://purl.obolibrary.org/obo/DOID_399,Tuberculosis,,,Disease,http://purl.obolibrary.org/obo/DOID_4,,,value,
,Disease,,http://purl.obolibrary.org/obo/DOID_4,Disease,,,,,,,variable,
,HIV,,http://purl.obolibrary.org/obo/DOID_526,HIV,,,Disease,http://purl.obolibrary.org/obo/DOID_4,,,value,
,AIDS,,http://purl.obolibrary.org/obo/DOID_635,AIDS,,,Disease,http://purl.obolibrary.org/obo/DOID_4,,,value,
,Data access level,,http://purl.obolibrary.org/obo/DUO_0000001,Data access level,,,,,,,variable,
,Country,,http://purl.obolibrary.org/obo/ENVO_00000004,Country,,,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,,variable,
,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,,,,,,category,
,WHO indicator subdomain,,http://purl.obolibrary.org/obo/EUPATH_0000763,WHO indicator subdomain,,,,,,,variable,
,Years,,http://purl.obolibrary.org/obo/EUPATH_0000764,Years,,,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,,variable,
,Surveillance,,http://purl.obolibrary.org/obo/EUPATH_0000765,Surveillance,,,Investigation type,http://purl.obolibrary.org/obo/OBI_0000066,,,value,
,"Reproductive, maternal, newborn, child and adolescent health",,http://purl.obolibrary.org/obo/EUPATH_0000766,"Reproductive, maternal, newborn, child and adolescent health",,,WHO indicator subdomain,http://purl.obolibrary.org/obo/EUPATH_0000763,,,value,
,Communicable disease,,http://purl.obolibrary.org/obo/EUPATH_0000767,Communicable disease,,,WHO indicator subdomain,http://purl.obolibrary.org/obo/EUPATH_0000763,,,value,
,Households,,http://purl.obolibrary.org/obo/EUPATH_0000773,Households,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,variable,
,Observations,,http://purl.obolibrary.org/obo/EUPATH_0000774,Observations,,,Observation,,,,variable,
,Samples,,http://purl.obolibrary.org/obo/EUPATH_0000775,Samples,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,variable,
,Household observations,,http://purl.obolibrary.org/obo/EUPATH_0000776,Household observations,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,variable,
,Infant,,http://purl.obolibrary.org/obo/EUPATH_0000777,Infant,,,Population included,http://purl.obolibrary.org/obo/OBI_0002460,,,value,
,Adult,,http://purl.obolibrary.org/obo/EUPATH_0000778,Adult,,,Population included,http://purl.obolibrary.org/obo/OBI_0002460,,,value,
,Neonate,,http://purl.obolibrary.org/obo/EUPATH_0000779,Neonate,,,Population included,http://purl.obolibrary.org/obo/OBI_0002460,,,value,
,Child,,http://purl.obolibrary.org/obo/EUPATH_0000780,Child,,,Population included,http://purl.obolibrary.org/obo/OBI_0002460,,,value,
,,,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,,,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,category,
,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
,Cohort,,http://purl.obolibrary.org/obo/OBCS_0000106,Cohort,,,Study design,http://purl.obolibrary.org/obo/OBI_0500000,,,value,
,Randomized controlled/clinical trial,,http://purl.obolibrary.org/obo/OBCS_0000107,Randomized controlled/clinical trial,,,Study design,http://purl.obolibrary.org/obo/OBI_0500000,,,value,
,Investigation type,,http://purl.obolibrary.org/obo/OBI_0000066,Investigation type,,,,,,,variable,
,Experimental,,http://purl.obolibrary.org/obo/OBI_0000115,Experimental,,,Investigation type,http://purl.obolibrary.org/obo/OBI_0000066,,,value,
,Urine,,http://purl.obolibrary.org/obo/OBI_0000651,Urine sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Blood,,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,,,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,variable,
,,,http://purl.obolibrary.org/obo/OBI_0001622,Project name,,,,,,,variable,
,ID,,http://purl.obolibrary.org/obo/OBI_0001628,Study identifier,,,,,,,variable,
,Population included,,http://purl.obolibrary.org/obo/OBI_0002460,Population included,,,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,,,variable,
,Stool,,http://purl.obolibrary.org/obo/OBI_0002503,Stool sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Case-control,,http://purl.obolibrary.org/obo/OBI_0002624,Case-control,,,Study design,http://purl.obolibrary.org/obo/OBI_0500000,,,value,
,Case series,,http://purl.obolibrary.org/obo/OBI_0002674,Case series,,,Study design,http://purl.obolibrary.org/obo/OBI_0500000,,,value,
,Sample Type,,http://purl.obolibrary.org/obo/OBI_0100051,Sample type,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,variable,
,Observational,,http://purl.obolibrary.org/obo/OBI_0300311,Observational,,,Investigation type,http://purl.obolibrary.org/obo/OBI_0000066,,,value,
,Study design,,http://purl.obolibrary.org/obo/OBI_0500000,Study design,,,,,,,variable,
,Participants,,http://purl.obolibrary.org/obo/OMIABIS_0001011,Participants,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,variable,
,Cross-sectional,,http://purl.obolibrary.org/obo/OMIABIS_0001018,Cross-sectional,,,Study design,http://purl.obolibrary.org/obo/OBI_0500000,,,value,
,Sex,,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable,
,Female,,http://purl.obolibrary.org/obo/PATO_0000383,Female,,,Sex,http://purl.obolibrary.org/obo/PATO_0000047,,,value,
,Male,,http://purl.obolibrary.org/obo/PATO_0000384,Male,,,Sex,http://purl.obolibrary.org/obo/PATO_0000047,,,value,
,,,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,category,
,Entomology collections,,http://purl.obolibrary.org/obo/EUPATH_0000784,Entomology collections,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,variable,
,Milk,,http://purl.obolibrary.org/obo/OBI_0002505,Milk sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Endotracheal aspirate,,http://purl.obolibrary.org/obo/EUPATH_0000785,Endotracheal aspirate sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Endotracheal tube,,http://purl.obolibrary.org/obo/EUPATH_0000786,Endotracheal tube sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Saliva,,http://purl.obolibrary.org/obo/OBI_0002507,Saliva sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Pleural fluid,,http://purl.obolibrary.org/obo/OBI_0002515,Pleural fluid sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Induced sputum,,http://purl.obolibrary.org/obo/OBI_0002746,Induced sputum sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Gastric fluid,,http://purl.obolibrary.org/obo/OBI_0002504,Gastric fluid sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Nasopharyngeal swab,,http://purl.obolibrary.org/obo/OBI_0002606,Nasopharyngeal swab sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,Oropharyngeal swab,,http://purl.obolibrary.org/obo/OBI_0002608,Oropharyngeal swab sample,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,,,value,
,,,http://purl.obolibrary.org/obo/EUPATH_0000768,Nutrition,,,WHO indicator subdomain,http://purl.obolibrary.org/obo/EUPATH_0000763,,,value,
