variable	variable2	values	mappedTerm	ordinalValue
agecategories	agecategories	0	<5 Years	1
agecategories	agecategories	1	5-15 Years	2
agecategories	agecategories	2	>15 Years	3
agecategories	agecategories	3	Age Missing	4
agecategories	agecategories	Age less than 5 years	<5 Years	1
agecategories	agecategories	Age 5-15 years	5-15 Years	2
agecategories	agecategories	Age over 15 years	>15 Years	3
agecategories	agecategories	Age missing	Age Missing	4
al	al	0	No	NA
al	al	1	Yes	NA
alcoholuse	alcoholuse	0	No	NA
alcoholuse	alcoholuse	1	Yes	NA
alcoholuse	alcoholuse	9	:::Undef:::	NA
alcoholuse	alcoholuse	No	No	NA
alcoholuse	alcoholuse	Yes	Yes	NA
alcoholuse	alcoholuse	Missing	:::Undef:::	NA
antimalarial	antimalarial	0	No	NA
antimalarial	antimalarial	1	Yes	NA
antimalarialcat	antimalarialcat	1	Artemether-Lumefantrine	NA
antimalarialcat	antimalarialcat	2	Quinine	NA
antimalarialcat	antimalarialcat	3	Other Antimalarial	NA
antimalarialcat	antimalarialcat	AL	Artemether-Lumefantrine	NA
antimalarialcat	antimalarialcat	Quinine	Quinine	NA
antimalarialcat	antimalarialcat	Other	Other Antimalarial	NA
antimalarialcat	antimalarialcat	NA	:::Undef:::	NA
aq	aq	0	No	NA
aq	aq	1	Yes	NA
ar	ar	0	No	NA
ar	ar	1	Yes	NA
arco	arco	0	No	NA
arco	arco	1	Yes	NA
as	as	0	No	NA
as	as	1	Yes	NA
clinicalmalaria	clinicalmalaria	0	No	NA
clinicalmalaria	clinicalmalaria	1	Yes	NA
cq	cq	0	No	NA
cq	cq	1	Yes	NA
disability	disability	0	No	NA
disability	disability	1	Yes	NA
disability	disability	9	:::Undef:::	NA
disability	disability	No	No	NA
disability	disability	Yes	Yes	NA
disability	disability	Missing	:::Undef:::	NA
dp	dp	0	No	NA
dp	dp	1	Yes	NA
fever	fever	0	No	NA
fever	fever	1	Yes	NA
fever	fever	9	:::Undef:::	NA
fever	fever	-1	:::Undef:::	NA
malariapreg	malariapreg	0	No	NA
malariapreg	malariapreg	1	Yes	NA
malariasuspected	malariasuspected	0	No	NA
malariasuspected	malariasuspected	1	Yes	NA
malariatestdone	malariatestdone	1	Microscopy	NA
malariatestdone	malariatestdone	2	Rdt	NA
malariatestdone	malariatestdone	3	Not Done	NA
malariatestdone	malariatestdone	Microscopy	Microscopy	NA
malariatestdone	malariatestdone	RDT	Rdt	NA
malariatestdone	malariatestdone	Not done	Not Done	NA
malariatestresult	malariatestresult	0	Negative	NA
malariatestresult	malariatestresult	1	Positive	NA
malariatestresult	malariatestresult	9	Not Applicable	NA
newpresumedtbcase	newpresumedtbcase	0	No	NA
newpresumedtbcase	newpresumedtbcase	1	Yes	NA
newpresumedtbcase	newpresumedtbcase	9	:::Undef:::	NA
paliativecare	paliativecare	0	No	NA
paliativecare	paliativecare	1	Yes	NA
paliativecare	paliativecare	9	:::Undef:::	NA
paliativecare	paliativecare	-1	:::Undef:::	NA
parish	parish	0	Missing	NA
parish	parish	1	Outside Uganda	NA
parish	parish	1010101	Aninata	NA
parish	parish	1010102	Arembwola	NA
parish	parish	1010103	Atunga	NA
parish	parish	1010104	Kanu	NA
parish	parish	1010201	Kalakala Ward	NA
parish	parish	1010202	Kiru Ward	NA
parish	parish	1010203	Oyaro Ward	NA
parish	parish	1010204	Wiawer Ward	NA
parish	parish	1010301	Kulodwong	NA
parish	parish	1010302	Loyoroit	NA
parish	parish	1010303	Otumpili	NA
parish	parish	1010304	Wilela	NA
parish	parish	1010401	Awach	NA
parish	parish	1010402	Barlyech	NA
parish	parish	1010403	Gotapwou	NA
parish	parish	1010404	Oporoth	NA
parish	parish	1010501	Achangali	NA
parish	parish	1010502	Aridai	NA
parish	parish	1010503	Gangming	NA
parish	parish	1010504	Orwamuge	NA
parish	parish	1010601	Gulotworo	NA
parish	parish	1010602	Koya	NA
parish	parish	1010603	Monyanga	NA
parish	parish	1010701	Adea	NA
parish	parish	1010702	Akwangagwel	NA
parish	parish	1010703	Angolebwal	NA
parish	parish	1010704	Aremo	NA
parish	parish	1010705	Katabok East	NA
parish	parish	1010706	Katabok West	NA
parish	parish	1010801	Kobulin	NA
parish	parish	1010802	Opopongo	NA
parish	parish	1010803	Oretha	NA
parish	parish	1010804	Pupukamuya	NA
parish	parish	1010805	Rogom	NA
parish	parish	1020101	Biyaya Ward	NA
parish	parish	1020102	Central Ward	NA
parish	parish	1020103	Cesia Ward	NA
parish	parish	1020201	Esia	NA
parish	parish	1020202	Lajopi	NA
parish	parish	1020203	Obilokong	NA
parish	parish	1020204	Openzinzi	NA
parish	parish	1020205	Palemo	NA
parish	parish	1020301	Arasi	NA
parish	parish	1020302	Elegu	NA
parish	parish	1020303	Ituji	NA
parish	parish	1020304	Liri	NA
parish	parish	1020305	Zinyini	NA
parish	parish	1020401	Agojo	NA
parish	parish	1020402	Loa	NA
parish	parish	1020403	Mugi	NA
parish	parish	1020404	Okangali	NA
parish	parish	1020405	Opejo	NA
parish	parish	1020501	Adidi	NA
parish	parish	1020502	Ajugopi	NA
parish	parish	1020503	Logoangwa	NA
parish	parish	1020504	Mgbere	NA
parish	parish	1020505	Miniki	NA
parish	parish	1020601	Baratuku	NA
parish	parish	1020602	Itirikwa	NA
parish	parish	1020603	Kolididi	NA
parish	parish	1020604	Mungula	NA
parish	parish	1020605	Odu	NA
parish	parish	1020606	Zoka	NA
parish	parish	1020701	Bacere	NA
parish	parish	1020702	Ilinyi	NA
parish	parish	1020703	Ofua Central	NA
parish	parish	1020704	Opi	NA
parish	parish	1020705	Subbe	NA
parish	parish	1020706	Tianyu	NA
parish	parish	1020801	Alere	NA
parish	parish	1020802	Jihwa	NA
parish	parish	1020803	Marindi	NA
parish	parish	1020804	Omi	NA
parish	parish	1020805	Unna	NA
parish	parish	1020901	Boroli	NA
