colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,notes,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
2,,Species,tick_species,,tick_joined_minimal,Tick species,Participant,,Tick characteristics,,,,variable,,,,Wildlife Futures Tick data,,,yes,,,,,,
3,,Sex,tick_sex,,tick_joined_minimal,Tick sex,Participant,,Tick characteristics,,,"M - male, F - female",variable,,,,Wildlife Futures Tick data,,,,,,,,,
4,,Life stage,tick_stage,,tick_joined_minimal,Tick life stage,Participant,,Tick characteristics,,,"Nymph, Adult",variable,,,,Wildlife Futures Tick data,,,,,,,,,
5,,Engorgement level,tick_engorgement,,tick_joined_minimal,Tick engorgement level,Participant,,Tick characteristics,,,"0 through 5, meaning unknown",variable,,,,Wildlife Futures Tick data,,,,,,,,,
6,,Host unique identifier,host_id,,tick_joined_minimal,Host unique identifier,Participant,,Host characteristics,,,,variable,,,,Wildlife Futures Tick data,,,,,,,,,
7,,Host species,host_species,,tick_joined_minimal,Host species,Participant,,Host characteristics,,,,variable,,,,Wildlife Futures Tick data,,,,,,,,,
8,,Host age,host_age,,tick_joined_minimal,Host age,Participant,,Host characteristics,,,,variable,,,,Wildlife Futures Tick data,,,,,,,,,
9,,Host sex,host_sex,,tick_joined_minimal,Host sex,Participant,,Host characteristics,,,,variable,,,,Wildlife Futures Tick data,,,,,,,,,
10,,Host chronic wasting disease status,host_CWD,,tick_joined_minimal,Host chronic wasting disease status,Participant,,Host characteristics,,,,variable,,,,Wildlife Futures Tick data,,,,,,,,,
11,,Date collected,date_collected,,tick_joined_minimal,Date collected,Participant,,Tick characteristics,,,,variable,,yes,,Wildlife Futures Tick data,,,,,,,,,
12,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,lat,,tick_joined_minimal,Latitude,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,variable,,,,Wildlife Futures Tick data,,,,,,,,,
13,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,long,,tick_joined_minimal,Longitude,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,variable,,,,Wildlife Futures Tick data,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,geohash1,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Wildlife Futures Tick data,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,geohash2,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Wildlife Futures Tick data,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043205,GEOHASH 3,geohash3,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Wildlife Futures Tick data,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043206,GEOHASH 4,geohash4,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Wildlife Futures Tick data,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043207,GEOHASH 5,geohash5,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Wildlife Futures Tick data,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043208,GEOHASH 6,geohash6,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Wildlife Futures Tick data,,,,everywhere,,,,,
14,,County,county,,tick_joined_minimal,County of collection,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,variable,,,,Wildlife Futures Tick data,,,yes,,,,,,
15,,"Pan-ehrlichia and anaplasma, by qPCR result",ehrlichia_anaplasma_pos,,tick_joined_minimal,Pan-ehrlichia and anaplasma qpcr positivity,Sample,,Tick sample,,,"Y - positive, N - negative, NA - not tested",variable,,,,Wildlife Futures Tick data,,,,,,,,,
16,,"Pan-borrelia, by qPCR result",borrelia_pos,,tick_joined_minimal,Pan-borrelia qpcr positivity,Sample,,Tick sample,,,"Y - positive, N - negative, NA - not tested",variable,,,,Wildlife Futures Tick data,,,,,,,,,
17,,"Pan-apicomplexa, by qPCR result",apicomplexa_pos,,tick_joined_minimal,Pan-apicomplexa qpcr positivity,Sample,,Tick sample,,,"Y - positive, N - negative, NA - not tested",variable,,,,Wildlife Futures Tick data,,,,,,,,,
18,,"Pan-rickettsia, by qPCR result",rickettsia_pos,,tick_joined_minimal,Pan-rickettsia qpcr positivity,Sample,,Tick sample,,,"Y - positive, N - negative, NA - not tested",variable,,,,Wildlife Futures Tick data,,,,,,,,,
19,,"Pan-powassan, by qPCR result",powassan_pos,,tick_joined_minimal,Pan-powassan qpcr positivity,Sample,,Tick sample,,,"Y - positive, N - negative, NA - not tested",variable,,,,Wildlife Futures Tick data,,,,,,,,,
