variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
cd_captation,icemr2,,Data collection month,Capture code,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,Capture code,1 = July | 2 = October,,,,,ICEMR2_cross_sectional,,,,,,,,,
inicio_ind,icemr2,http://purl.obolibrary.org/obo/EUPATH_0045102,Survey round start date,Individual survey start date and time,Participant,,,variable,Individual survey start date and time,NA,,,,,ICEMR2_cross_sectional,,,yes,,,,,,
fin_ind,icemr2,http://purl.obolibrary.org/obo/EUPATH_0045103,Survey round stop date,End date and time of the individual survey,Participant,,,variable,End date and time of the individual survey,NA,,,,,ICEMR2_cross_sectional,,,yes,,,,,,
tiempo_ind,icemr2,http://purl.obolibrary.org/obo/EUPATH_0055148,Total time spend on survey,Average time to take each survey,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,variable,Average time to take each survey,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
dt_data_collection_ind,icemr2,,Data collection date,Day of data collection,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,Day of data collection,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
f_nac,icemr2,http://www.ebi.ac.uk/efo/EFO_0004950,Birth date,Date of Birth,Participant,,,variable,Date of Birth,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
edad,icemr2,http://purl.obolibrary.org/obo/OBI_0001169,Age,Age,Participant,,,variable,Age,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
nm_sex,icemr2,http://purl.obolibrary.org/obo/PATO_0000047,Sex,Sex,Participant,,,variable,Sex,0 = Female | 1 = Male,,,,,ICEMR2_cross_sectional,,,,,,,,,
censo_previo,icemr2,,Previous census,TBE,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,TBE,Ture |False,,,,,ICEMR2_cross_sectional,,,,,,,,,
nm_preg,icemr2,http://purl.obolibrary.org/obo/UBERON_0009097,Pregnant,You are currently pregnant:,Participant,,,variable,You are currently pregnant:,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
nm_preg_time,icemr2,http://purl.obolibrary.org/obo/EUPATH_0051743,Pregnancy duration calculated,How far pregnant are you? in months,Participant,,,variable,How far pregnant are you? in months,NA,,,,,ICEMR2_cross_sectional,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
partos_pasados,icemr2,,Full term delivery,"In the past, have you had full-term deliveries?",Participant,http://purl.obolibrary.org/obo/ONTONEO_00000225,Obstetric history,variable,"In the past, have you had full-term deliveries?",0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
partos_termino,icemr2,,Full term deliveries count,Number of deliveries at term,Participant,http://purl.obolibrary.org/obo/ONTONEO_00000226,Obstetric history,variable,Number of deliveries at term,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
viv_siempre_com_ind,icemr2,,Always lived in this community ,Have you always lived in this community?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Have you always lived in this community?,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
anio_llegada_ind,icemr2,,Date of living in settlement,What year did you come to the community?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,What year did you come to the community?,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
mes_llegada_ind,icemr2,,Month of living in settlement,What year did you come to the community?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,In what month did you arrive in the community?,NA,,,,,ICEMR2_cross_sectional,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
why_antes_ind,icemr2,http://purl.obolibrary.org/obo/EUPATH_0024016,Reason for relocation,Reason for moving from previous community,Participant,,,variable,Reason for moving from previous community,"1 = Economic Reasons (work/commerce) | 2 = Health care | 3 = Documentary procedures | 4 = Studies or military service | 5 = Violence, insecurity or disputes | 6 = Recreation, tourism and anniversaries | 7 = Family matters | 8 = Environmental conditions (floods or ravines) | 88 = Other | 99 = Don't know/No answer",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_why_antes_ind,icemr2,,Second reason for relocation,Another reason for moving,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Another reason for moving,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
anio_inicio_vivienda_ind,icemr2,,Date of starting living in this house,Year you started living in this house,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Year you started living in this house,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
mes_inicio_vivienda_ind,icemr2,,Month of starting living in this house,Year you started living in this house,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Month in which you began to live in this dwelling,NA,,,,,ICEMR2_cross_sectional,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
reason_before_ind,icemr2,,Reason for moving from previous home,Reason for moving from your previous home,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Reason for moving from your previous home,"1 = Economic Reasons (work/commerce) | 2 = Health care | 3 = Documentary procedures | 4 = Studies or military service | 5 = Violence, insecurity or disputes | 6 = Recreation, tourism and anniversaries | 7 = Family matters | 8 = Environmental conditions (floods or ravines) | 88 = Other | 99 = Don't know/No answer",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_razon_before_ind,icemr2,,Second reason for moving from previous home,Another reason you moved from your previous home,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Another reason you moved from your previous home,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
leer_escribir,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022104,Literacy level,Can you read and write?,Participant,,,variable,Can you read and write?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
