ICEMR_abnormal_bleeding	abnormal_bleeding
OBI_0001169	age
ICEMR_ards	ards
ICEMR_asymptomatic	Asymptomatic
ICEMR_availability_of_molecular_data	Availability of molecular data
ICEMR_biosampleid	BioSampleID
ICEMR_biosourcetype 	BioSourceType 
ICEMR_blood_smear_summary	blood_smear_summary
ICEMR_body_temperature	body_temperature
ICEMR_cerebral	cerebral
ICEMR_characteristics	Characteristics
ICEMR_clearancehalflife	ClearanceHalfLife
ICEMR_clearancerate	ClearanceRate
ICEMR_clearancetime	ClearanceTime
ICEMR_clinical_information	Clinical Information
ICEMR_clinicalphenotype	ClinicalPhenotype
ICEMR_collection_type	collection_type
ICEMR_coma	coma
ICEMR_comments	comments
ICEMR_convulsions	convulsions
ICEMR_count	count
OBI_0001627	country
ICEMR_data_consent	data_consent
ICEMR_date_of_birth	date_of_birth
OBI_0001619	date_sample_collected
ICEMR_diseasestate	DiseaseState
ICEMR_electrolyte_disturbances	electrolyte_disturbances
ICEMR_end_of_observation_period	end_of_observation_period
ICEMR_environmentalhistory	EnvironmentalHistory
ICEMR_falciparum	falciparum
ICEMR_fever_duration	fever_duration
ICEMR_fever	fever
ICEMR_follow_up_day	follow_up_day
ICEMR_future_use_consent	future_use_consent
ICEMR_gametocyte_density_by_microscope	gametocyte_density_by_microscope
ICEMR_gametocyte_density_by_rt_pcr	gametocyte_density_by_rt_pcr
ICEMR_gametocyte_detection	Gametocyte detection
ICEMR_gametocytes_detection_method	gametocytes_detection_method
ICEMR_gametocytes	gametocytes
ICEMR_general_information	General Information
ICEMR_general_information_of_study_subject	General Information of Study Subject
GAZ_00000448	GeographicLocation
ICEMR_gps_latitude	gps_latitude
ICEMR_gps_location	gps_location
ICEMR_gps_longitude	gps_longitude
ICEMR_gps_other	gps_other
ICEMR_health_status	health_status
ICEMR_hemoglobin_level	hemoglobin_level
ICEMR_hospitalized	hospitalized
ICEMR_hostage	HostAge
ICEMR_host_genetics	host_genetics
GO_0018995 	Host 
ICEMR_hostsex	HostSex
ICEMR_hypoglycemia	hypoglycemia
ICEMR_immune_responses	immune_responses
ICEMR_incidence_of_infection	incidence_of_infection
ICEMR_incidence_of_maleria_infection	incidence_of_maleria_infection
ICEMR_infectiontype	InfectionType
ICEMR_information_of_study_sample_collected_from	Information of Study Sample Collected From
ICEMR_informed_consent	Informed Consent
ICEMR_intestinal_amoebiasis	Intestinal_amoebiasis
ICEMR_ipcr_result	iPCR_Result
ICEMR_irb_number	irb_number
ICEMR_jaundice	jaundice
ICEMR_knowlesi	knowlesi
ICEMR_laboratory_methods_and_results	Laboratory Methods and Results
ICEMR_malariae	malariae
ICEMR_malaria	malaria
ICEMR_microscopy_result	microscopy_result
ICEMR_normal	normal
OBI_0100026 	Organism 
ICEMR_other_method	other_method
ICEMR_other_molecular	other_molecular
ICEMR_other_signs/symptoms/diseases	Other signs/symptoms/diseases
ICEMR_ovale	ovale
ICEMR_overall_status	Overall Status
ICEMR_parasite_density_by_microscope	parasite_density_by_microscope
ICEMR_parasite_density_by_pcr	parasite_density_by_pcr
ICEMR_parasite_detection	Parasite detection
ICEMR_parasite_genetics	parasite_genetics
ICEMR_parasitemiastart	ParasitemiaStart
ICEMR_pcr_method	pcr_method
ICEMR_pcr_result	pcr_result
ICEMR_p_falciparum_gametocyte_density_by_microscope	P_falciparum_gametocyte_density_by_microscope
ICEMR_p_falciparum_parasite_density_by_microscope	P_falciparum_parasite_density_by_microscope
ICEMR_p_falciparum_parasite_density_by_pcr	p_falciparum_parasite_density_by_pcr
ICEMR_p_falciparum_parasite_density_by_rt_pcr	p_falciparum_parasite_density_by_rt_pcr
ICEMR_pregnancy_status	pregnancy_status
ICEMR_presence_of_parasite_species	Presence of parasite species
ICEMR_p_vivax_gametocyte_density_by_microscope	P_vivax_gametocyte_density_by_microscope
ICEMR_p_vivax_gametocyte_density_by_rt_pcr	p_vivax_gametocyte_density_by_rt_pcr
ICEMR_p_vivax_parasite_density_by_microscope	P_vivax_parasite_density_by_microscope
ICEMR_p_vivax_parasite_density_by_pcr	p_vivax_parasite_density_by_pcr
ICEMR_rdt_result	rdt_result
ICEMR_renal_failure	renal_failure
ICEMR_respiratory_distress	respiratory_distress
ICEMR_sample_collection_location	Sample Collection Location
ICEMR_sample_id	sample_id
ICEMR_sample_origin	sample_origin
ICEMR_samplingtimepoint 	SamplingTimePoint 
ICEMR_severe_anemia	severe_anemia
PATO_0000047	sex
ICEMR_shock	shock
ICEMR_specimen_collection_information	Specimen Collection Information
ICEMR_squidproject	SquidProject
ICEMR_strainorline 	StrainOrLine 
ICEMR_studyarm	StudyArm
ICEMR_study_other	study_other
ICEMR_study_type	study_type
ICEMR_subject	subject
ICEMR_temperature_measurement_method	temperature_measurement_method
ICEMR_temperature	Temperature
ICEMR_testresult	TestResult
ICEMR_time_to_first_malaria_dx	time_to_first_malaria_dx
ICEMR_time_to_onset	time_to_onset
ICEMR_time_to_reinfection	time_to_reinfection
ICEMR_treatmentoutcome	TreatmentOutcome
ICEMR_type_of_rdt	type_of_rdt
ICEMR_vivax	vivax
UO_0000036	Year
