IRI,label,displayOrder,variable,dataFile,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,replaces
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,,http://www.w3.org/2002/07/owl#Thing,,,category,
http://purl.obolibrary.org/obo/ENVO_00000501,Bed,1,camas,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Beds,,value,
http://purl.obolibrary.org/obo/EUPATH_0022011,Black and white television,2,TV_BN,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,TV black and white,,value,
http://purl.obolibrary.org/obo/EUPATH_0022006,Blender,3,licuadora,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Blender,,value,
http://purl.obolibrary.org/obo/ENVO_01000594,Cabinet,4,armarios,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Cabinets,,value,
http://purl.obolibrary.org/obo/EUPATH_0022028,Cats,21,gato,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Cat,,value,
http://purl.obolibrary.org/obo/ENVO_01000586,Chair,5,silla,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Chair,,value,
http://purl.obolibrary.org/obo/EUPATH_0022017,Chicks,22,pollos,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Chicks,,value,
http://purl.obolibrary.org/obo/EUPATH_0022010,Coal stove,7,coccar,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Coal stove,,value,
http://purl.obolibrary.org/obo/EUPATH_0022012,Color television,8,TV_COL,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,TV color,,value,
http://purl.obolibrary.org/obo/EUPATH_0022015,Cows,23,vacas,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Cows,,value,
http://purl.obolibrary.org/obo/ENVO_01000595,Cupboard,6,roperos,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Closets,,value,
http://purl.obolibrary.org/obo/EUPATH_0022013,DVD,9,DVD,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,DVD,,value,
http://purl.obolibrary.org/obo/EUPATH_0022027,Dogs,24,perro,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Dog,,value,
http://purl.obolibrary.org/obo/EUPATH_0022021,Ducks,25,patos,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Ducks,,value,
http://purl.obolibrary.org/obo/EUPATH_0022007,Electric stove,10,cocelec,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Electric stove,,value,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,11,elec,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Electrical installation,,value,
http://purl.obolibrary.org/obo/EUPATH_0022005,Freezer,12,congeladora,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Freezer,,value,
http://purl.obolibrary.org/obo/EUPATH_0022008,Gas stove,13,cocgas,Peru_household,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Gas stove,,value,
