Subject Source Id	Predicate Source Id	object Source Id	relationship type Source Id
DOID_13250	subClassOf	EUPATH_0000309	
ENVO_00003064	subClassOf	EUPATH_0000302	
EUPATH_0000003	subClassOf	EUPATH_0000303	
EUPATH_0000006	subClassOf	EUPATH_0000303	
EUPATH_0000009	subClassOf	EUPATH_0000303	
EUPATH_0000023	subClassOf	EUPATH_0000302	
EUPATH_0000032	subClassOf	EUPATH_0000307	
EUPATH_0000048	subClassOf	OGMS_0000018	
EUPATH_0000057	subClassOf	EUPATH_0000328	
EUPATH_0000091	subClassOf	EUPATH_0000310	
EUPATH_0000093	subClassOf	http://www.w3.org/2002/07/owl#Thing	
EUPATH_0000096	subClassOf	http://www.w3.org/2002/07/owl#Thing	
EUPATH_0000100	subClassOf	EUPATH_0000309	
EUPATH_0000110	subClassOf	OGMS_0000083	
EUPATH_0000120	subClassOf	EUPATH_0000307	
EUPATH_0000144	subClassOf	EUPATH_0000304	
EUPATH_0000151	subClassOf	EUPATH_0000307	
EUPATH_0000201	subClassOf	EUPATH_0000303	
EUPATH_0000302	subClassOf	EUPATH_0000093	
EUPATH_0000303	subClassOf	EUPATH_0000093	
EUPATH_0000304	subClassOf	EUPATH_0000093	
EUPATH_0000307	subClassOf	EUPATH_0000096	
EUPATH_0000309	subClassOf	EUPATH_0000328	
EUPATH_0000310	subClassOf	EUPATH_0000328	
EUPATH_0000311	subClassOf	EUPATH_0000328	
EUPATH_0000328	subClassOf	http://www.w3.org/2002/07/owl#Thing	
GAZ_00000448	subClassOf	http://www.w3.org/2002/07/owl#Thing	
HP_0002013	subClassOf	EUPATH_0000309	
HP_0002018	subClassOf	EUPATH_0000309	
HP_0002027	subClassOf	EUPATH_0000309	
HP_0002315	subClassOf	EUPATH_0000309	
HP_0003418	subClassOf	EUPATH_0000309	
ICEMR_0000001	subClassOf	EUPATH_0000093	
ICEMR_0000002	subClassOf	EUPATH_0000096	
ICEMR_0000003	subClassOf	EUPATH_0000093	
ICEMR_0000004	subClassOf	EUPATH_0000096	
ICEMR_0100003	subClassOf	EUPATH_0000302	
ICEMR_0101034	subClassOf	ICEMR_0000001	
ICEMR_0101037	subClassOf	ICEMR_0000003	
ICEMR_0101056	subClassOf	EUPATH_0000307	
ICEMR_0102002	subClassOf	OGMS_0000015	
ICEMR_0102003	subClassOf	OGMS_0000015	
ICEMR_0102004	subClassOf	OGMS_0000015	
ICEMR_0102005	subClassOf	OGMS_0000015	
ICEMR_0102006	subClassOf	ICEMR_0000004	
ICEMR_0102007	subClassOf	ICEMR_0000004	
ICEMR_0102008	subClassOf	ICEMR_0000004	
ICEMR_0102009	subClassOf	ICEMR_0000004	
ICEMR_0102010	subClassOf	ICEMR_0000004	
ICEMR_0102011	subClassOf	ICEMR_0000004	
ICEMR_0102012	subClassOf	ICEMR_0000004	
ICEMR_0102013	subClassOf	ICEMR_0000004	
ICEMR_0102014	subClassOf	ICEMR_0000004	
ICEMR_0102015	subClassOf	ICEMR_0000004	
ICEMR_0102016	subClassOf	ICEMR_0000004	
ICEMR_0102017	subClassOf	ICEMR_0000004	
ICEMR_0102018	subClassOf	ICEMR_0000004	
ICEMR_0102019	subClassOf	ICEMR_0000004	
ICEMR_0102020	subClassOf	ICEMR_0000004	
ICEMR_0102021	subClassOf	ICEMR_0000004	
ICEMR_0102024	subClassOf	EUPATH_0000302	
ICEMR_0102026	subClassOf	GAZ_00000448	
ICEMR_0102027	subClassOf	GAZ_00000448	
ICEMR_0102029	subClassOf	EUPATH_0000057	
ICEMR_0102030	subClassOf	EUPATH_0000057	
ICEMR_0102031	subClassOf	EUPATH_0000057	
ICEMR_0102036	subClassOf	EUPATH_0000307	
ICEMR_0102037	subClassOf	EUPATH_0000307	
ICEMR_0102039	subClassOf	EUPATH_0000307	
ICEMR_0102041	subClassOf	EUPATH_0000307	
ICEMR_0102042	subClassOf	EUPATH_0000307	
ICEMR_0102043	subClassOf	EUPATH_0000303	
ICEMR_0102045	subClassOf	EUPATH_0000303	
ICEMR_0102047	subClassOf	EUPATH_0000303	
