source_id	name	definition	synonyms	Uri	is_obslete
DOID_13250	diarrhea			http://purl.obolibrary.org/obo/DOID_13250	FALSE
ENVO_00003064	drinking water			http://purl.obolibrary.org/obo/ENVO_00003064	FALSE
EUPATH_0000003	roof material			http://purl.obolibrary.org/obo/EUPATH_0000003	FALSE
EUPATH_0000006	floor material			http://purl.obolibrary.org/obo/EUPATH_0000006	FALSE
EUPATH_0000009	wall material			http://purl.obolibrary.org/obo/EUPATH_0000009	FALSE
EUPATH_0000023	cooking fuel material			http://purl.obolibrary.org/obo/EUPATH_0000023	FALSE
EUPATH_0000032	date of birth			http://purl.obolibrary.org/obo/EUPATH_0000032	FALSE
EUPATH_0000048	blood smear reading as positive or negative			http://purl.obolibrary.org/obo/EUPATH_0000048	FALSE
EUPATH_0000057	medication material			http://purl.obolibrary.org/obo/EUPATH_0000057	FALSE
EUPATH_0000091	clinical visit date			http://purl.obolibrary.org/obo/EUPATH_0000091	FALSE
EUPATH_0000093	dwelling information			http://purl.obolibrary.org/obo/EUPATH_0000093	FALSE
EUPATH_0000096	study participant information			http://purl.obolibrary.org/obo/EUPATH_0000096	FALSE
EUPATH_0000100	subjective fever			http://purl.obolibrary.org/obo/EUPATH_0000100	FALSE
EUPATH_0000110	organismal body temperature measurement datum			http://purl.obolibrary.org/obo/EUPATH_0000110	FALSE
EUPATH_0000120	age since birth at time of enrollment			http://purl.obolibrary.org/obo/EUPATH_0000120	FALSE
EUPATH_0000144	household asset information			http://purl.obolibrary.org/obo/EUPATH_0000144	FALSE
EUPATH_0000151	date of participant first enrolled in a study			http://purl.obolibrary.org/obo/EUPATH_0000151	FALSE
EUPATH_0000201	number of sleeping places in dwelling with a household			http://purl.obolibrary.org/obo/EUPATH_0000201	FALSE
EUPATH_0000302	information on dwelling facilities			http://purl.obolibrary.org/obo/EUPATH_0000302	FALSE
EUPATH_0000303	information on dwelling physical characteristics			http://purl.obolibrary.org/obo/EUPATH_0000303	FALSE
EUPATH_0000304	socioeconomic factor			http://purl.obolibrary.org/obo/EUPATH_0000304	FALSE
EUPATH_0000307	information on participant study details			http://purl.obolibrary.org/obo/EUPATH_0000307	FALSE
EUPATH_0000309	symptom or sign information			http://purl.obolibrary.org/obo/EUPATH_0000309	FALSE
EUPATH_0000310	information on clinical visit details			http://purl.obolibrary.org/obo/EUPATH_0000310	FALSE
EUPATH_0000311	clinical visit type information			http://purl.obolibrary.org/obo/EUPATH_0000311	FALSE
EUPATH_0000328	clinical visit information			http://purl.obolibrary.org/obo/EUPATH_0000328	FALSE
GAZ_00000448	geographic location			http://purl.obolibrary.org/obo/GAZ_00000448	FALSE
HP_0002013	Vomiting			http://purl.obolibrary.org/obo/HP_0002013	FALSE
HP_0002018	Nausea			http://purl.obolibrary.org/obo/HP_0002018	FALSE
HP_0002027	Abdominal pain			http://purl.obolibrary.org/obo/HP_0002027	FALSE
HP_0002315	Headache			http://purl.obolibrary.org/obo/HP_0002315	FALSE
HP_0003418	Back pain			http://purl.obolibrary.org/obo/HP_0003418	FALSE
ICEMR_0000001	Animal Information			http://purl.obolibrary.org/obo/ICEMR_0000001	FALSE
ICEMR_0000002	Traveling Details			http://purl.obolibrary.org/obo/ICEMR_0000002	FALSE
ICEMR_0000003	Vector Intervention			http://purl.obolibrary.org/obo/ICEMR_0000003	FALSE
ICEMR_0000004	Employment Details			http://purl.obolibrary.org/obo/ICEMR_0000004	FALSE
ICEMR_0100003	Human waste disposal			http://purl.obolibrary.org/obo/ICEMR_0100003	FALSE
ICEMR_0101034	Animals on property			http://purl.obolibrary.org/obo/ICEMR_0101034	FALSE
ICEMR_0101037	Bednet Treatment			http://purl.obolibrary.org/obo/ICEMR_0101037	FALSE
ICEMR_0101056	Education level			http://purl.obolibrary.org/obo/ICEMR_0101056	FALSE
ICEMR_0102002	Infections w/ p. viv			http://purl.obolibrary.org/obo/ICEMR_0102002	FALSE
ICEMR_0102003	Infections w/ p. viv last year			http://purl.obolibrary.org/obo/ICEMR_0102003	FALSE
ICEMR_0102004	Infections w/ p.fal			http://purl.obolibrary.org/obo/ICEMR_0102004	FALSE
ICEMR_0102005	Infections w/ p.fal last year			http://purl.obolibrary.org/obo/ICEMR_0102005	FALSE
ICEMR_0102006	Days worked per week (Primary)			http://purl.obolibrary.org/obo/ICEMR_0102006	FALSE
ICEMR_0102007	Days worked per week (Secondary)			http://purl.obolibrary.org/obo/ICEMR_0102007	FALSE
ICEMR_0102008	Job (Primary)			http://purl.obolibrary.org/obo/ICEMR_0102008	FALSE
ICEMR_0102009	Job (Secondary)			http://purl.obolibrary.org/obo/ICEMR_0102009	FALSE
ICEMR_0102010	Job description (Primary)			http://purl.obolibrary.org/obo/ICEMR_0102010	FALSE
ICEMR_0102011	Job description (Secondary)			http://purl.obolibrary.org/obo/ICEMR_0102011	FALSE
ICEMR_0102012	Job in the last month (Secondary)			http://purl.obolibrary.org/obo/ICEMR_0102012	FALSE
ICEMR_0102013	Occuaption type			http://purl.obolibrary.org/obo/ICEMR_0102013	FALSE
ICEMR_0102014	Pay period (Primary)			http://purl.obolibrary.org/obo/ICEMR_0102014	FALSE
ICEMR_0102015	Pay period (Secondary)			http://purl.obolibrary.org/obo/ICEMR_0102015	FALSE
ICEMR_0102016	Received payment (Primary)			http://purl.obolibrary.org/obo/ICEMR_0102016	FALSE
ICEMR_0102017	Received payment (Secondary)			http://purl.obolibrary.org/obo/ICEMR_0102017	FALSE
ICEMR_0102018	Salary in soles (Primary)			http://purl.obolibrary.org/obo/ICEMR_0102018	FALSE
ICEMR_0102019	Salary in soles (Secondary)			http://purl.obolibrary.org/obo/ICEMR_0102019	FALSE
ICEMR_0102020	Work Hours/Day (Primary)			http://purl.obolibrary.org/obo/ICEMR_0102020	FALSE
ICEMR_0102021	Work Hours/Day (Secondary)			http://purl.obolibrary.org/obo/ICEMR_0102021	FALSE
ICEMR_0102024	Garbage disposal			http://purl.obolibrary.org/obo/ICEMR_0102024	FALSE
ICEMR_0102026	Community			http://purl.obolibrary.org/obo/ICEMR_0102026	FALSE
ICEMR_0102027	Study location			http://purl.obolibrary.org/obo/ICEMR_0102027	FALSE
ICEMR_0102029	Malaria Medication (First Line)			http://purl.obolibrary.org/obo/ICEMR_0102029	FALSE
ICEMR_0102030	Malaria Medication (Second Line)			http://purl.obolibrary.org/obo/ICEMR_0102030	FALSE
ICEMR_0102031	Malaria Medication?			http://purl.obolibrary.org/obo/ICEMR_0102031	FALSE
ICEMR_0102036	Marital status			http://purl.obolibrary.org/obo/ICEMR_0102036	FALSE
ICEMR_0102037	Plan to move			http://purl.obolibrary.org/obo/ICEMR_0102037	FALSE
ICEMR_0102039	Family head relationship			http://purl.obolibrary.org/obo/ICEMR_0102039	FALSE
ICEMR_0102041	Time living in the dwelling (year)			http://purl.obolibrary.org/obo/ICEMR_0102041	FALSE
ICEMR_0102042	Time living in the community (year)			http://purl.obolibrary.org/obo/ICEMR_0102042	FALSE
ICEMR_0102043	# Common Areas			http://purl.obolibrary.org/obo/ICEMR_0102043	FALSE
ICEMR_0102045	Covered Area (m2)			http://purl.obolibrary.org/obo/ICEMR_0102045	FALSE
ICEMR_0102047	Location of kitchen			http://purl.obolibrary.org/obo/ICEMR_0102047	FALSE
ICEMR_0102048	# bedrooms			http://purl.obolibrary.org/obo/ICEMR_0102048	FALSE
ICEMR_0102050	Total Area (m2)			http://purl.obolibrary.org/obo/ICEMR_0102050	FALSE
ICEMR_0102054	Rent or own?			http://purl.obolibrary.org/obo/ICEMR_0102054	FALSE
ICEMR_0102067	Days of Travel			http://purl.obolibrary.org/obo/ICEMR_0102067	FALSE
ICEMR_0102068	Travel by ship			http://purl.obolibrary.org/obo/ICEMR_0102068	FALSE
ICEMR_0102069	Travel destination			http://purl.obolibrary.org/obo/ICEMR_0102069	FALSE
ICEMR_0102070	Travel in the last month			http://purl.obolibrary.org/obo/ICEMR_0102070	FALSE
ICEMR_0102071	Travel before malaria			http://purl.obolibrary.org/obo/ICEMR_0102071	FALSE
ICEMR_0102072	Bednet material			http://purl.obolibrary.org/obo/ICEMR_0102072	FALSE
ICEMR_0102074	Last fumigation date			http://purl.obolibrary.org/obo/ICEMR_0102074	FALSE
