"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","notesForProvider","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType","type","example","dateTime","formatCode","values","uniqueValueCount","percentMissing","flag","variable_dataFile"
1,"inquerito","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/OBI_0001508","Study timepoint ",,"Participant",,,"Inquiry","1 - Apr. 2016, 2 - Jul. 2018, 3 - Jul. 2019",,,,,,"yes","yes","Brazil Rio Azul",,,"yes",,,,,,,"int",3,,,"2 to 3",2,0,,"inquerito"
2,"visita","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0035095","Month",,"Participant",,,"Year and month of visit","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","jul_2019",,,"jul_2018, jul_2019",2,0,,"visita"
3,"ano","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0010374","Year",,"Participant",,,"Year of the visit","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2019,,,"2018 to 2019",2,0,,"ano"
11,"data_dom","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0021085","Household data collection date",,"Household",,,"Date of the household visit - surveys 2 and 3","data",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","7/12/19","date?","%d/%m/%Y","7/10/2018, 7/10/2019, 7/11/2018, 7/11/2019, 7/12/2018, 7/12/2019, 7/9/2018, 7/9/2019",8,0,,"data_dom"
13,"data_ind","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000091","Visit date",,"Participant",,,"Date of the Individual interview - surveys 2 and 3","data",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","7/12/19","date?","%d/%m/%Y","7/10/2018, 7/10/2019, 7/11/2018, 7/11/2019, 7/12/2018, 7/12/2019, 7/9/2018, 7/9/2019",8,0,,"data_ind"
15,"info","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0021205","Observation notes",,"Participant",,,"Informations","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","MAE DE MICROSCOPISTA ALISSEN",,,", MAE DE MICROSCOPISTA ALISSEN, PROXIMO AO IGARAPE ARARA - PROFESSORA 7-9 ANO",2,0.953061224,,"info"
16,"lat_y","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/OBI_0001620","Latitude",,"Household",,,"GPS - Latitude in decimal","Numeric",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"dbl",-7.584805556,,,"-7.851772 to -7.50241666666667",14,0.032653061,,"lat_y"
17,"long_x","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/OBI_0001621","Longitude",,"Household",,,"GPS - Longitude em decimal","Numeric",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"dbl",-73.28941667,,,"-73.407227 to -73.26825",13,0.032653061,,"long_x"
,"GEOHASH 1","geohash1","http://purl.obolibrary.org/obo/EUPATH_0043203",,,"Household","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,"Brazil Rio Azul",,,,"everywhere",,,,,,,,,,,,,,
,"GEOHASH 2","geohash2","http://purl.obolibrary.org/obo/EUPATH_0043204",,,"Household","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,"Brazil Rio Azul",,,,"everywhere",,,,,,,,,,,,,,
,"GEOHASH 3","geohash3","http://purl.obolibrary.org/obo/EUPATH_0043205",,,"Household","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,"Brazil Rio Azul",,,,"everywhere",,,,,,,,,,,,,,
,"GEOHASH 4","geohash4","http://purl.obolibrary.org/obo/EUPATH_0043206",,,"Household","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,"Brazil Rio Azul",,,,"everywhere",,,,,,,,,,,,,,
,"GEOHASH 5","geohash5","http://purl.obolibrary.org/obo/EUPATH_0043207",,,"Household","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,"Brazil Rio Azul",,,,"everywhere",,,,,,,,,,,,,,
,"GEOHASH 6","geohash6","http://purl.obolibrary.org/obo/EUPATH_0043208",,,"Household","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,"variable, derived",,,,,,,"Brazil Rio Azul",,,,"everywhere",,,,,,,,,,,,,,
19,"parede","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000009","Wall material",,"Household",,,"Predominant material on the outer walls","0 - Masonry, 1 - Wood, 2 - Rammed earth, 3 - Straw, 4 - Other material",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 1",2,0.006122449,,"parede"
21,"piso","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000006","Floor material",,"Household",,,"Predominant materials on the internal floor","1 - Wood, 2 - Ceramics, 3 - Cement, 4 - Other material",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 1",2,0.006122449,,"piso"
