colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
7,inquerito,banco_assis_brasil_final,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,Cohort number,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,"Inquiry number (cohorts 1, 2 or 3)",1 - Sept. 2018,variable,,,,yes,yes,yes,Brazil Villa Assis,,,yes,,,,,,,int,1,,,1 to 3,3,,,inquerito,banco_assis_brasil_final::inquerito
8,visita,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0000138,Observation period,"Period of visit (Sept. 2018, Mar. 2019, Sept. 2019)",Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,"Period of visit (Sept. 2018, Mar. 2019, Sept. 2019)",Text,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,chr,setembro_2018,,,"marco_2019, setembro_2018, setembro_2019",3,,,visita,banco_assis_brasil_final::visita
9,data,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0015683,Interview date,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Interview date,Date,variable,,,,yes,yes,,Brazil Villa Assis,,,,,,,,,,chr,7/30/18,date?,%Y-%m-%d,>10 unique values,74,,,data,banco_assis_brasil_final::data
11,casaentrevistada,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066270,Household interview conducted,The house was interviewed,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,The house was interviewed,0  - No,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 1,2,,,casaentrevistada,banco_assis_brasil_final::casaentrevistada
14,dom_lati_decim,banco_assis_brasil_final,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Household location - latitude - decimal number,Numeric,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,dbl,-7.605722,,,-7.609361 to -7.558917,441,0.0018196,,dom_lati_decim,banco_assis_brasil_final::dom_lati_decim
15,dom_longi_deci,banco_assis_brasil_final,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Household location - longitude - decimal number,Numeric,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,dbl,-72.798556,,,-72.8248609999999 to -72.7944999999999,330,0.0018196,,dom_longi_deci,banco_assis_brasil_final::dom_longi_deci
,geohash1,,http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,yes,,,Brazil Villa Assis,,,,yes,,,,,,,,,,,,,,,
,geohash2,,http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,yes,,,Brazil Villa Assis,,,,yes,,,,,,,,,,,,,,,
,geohash3,,http://purl.obolibrary.org/obo/EUPATH_0043205,GEOHASH 3,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,yes,,,Brazil Villa Assis,,,,yes,,,,,,,,,,,,,,,
,geohash4,,http://purl.obolibrary.org/obo/EUPATH_0043206,GEOHASH 4,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,yes,,,Brazil Villa Assis,,,,yes,,,,,,,,,,,,,,,
