Variable	Variable2	values	mappedTerm	valueOrder				
cd_proy	cd_proy	9	9					
cd_captation	cd_captation	1	 July					
cd_captation	cd_captation	2	 October					
cd_commu	cd_commu	1	 Gamitanacocha					
cd_commu	cd_commu	2	 Freedom					
cd_commu	cd_commu	3	 January 1					
cd_commu	cd_commu	4	 Savior					
cd_commu	cd_commu	5	 Lake Yuracyacu					
cd_commu	cd_commu	6	 Porto Alegre					
cd_commu	cd_commu	7	 Urco Mirao					
cd_ind	cd_ind	1	1					
cd_ind	cd_ind	2	2					
cd_ind	cd_ind	3	3					
cd_ind	cd_ind	4	4					
cd_ind	cd_ind	5	5					
cd_ind	cd_ind	6	6					
cd_ind	cd_ind	7	7					
cd_ind	cd_ind	8	8					
cd_ind	cd_ind	9	9					
cd_ind	cd_ind	10	10					
nm_sex	nm_sex	0	 Female	1					
nm_sex	nm_sex	1	 Male	2					
censo_previo	censo_previo	0	No	2					
censo_previo	censo_previo	1	Yes	1					
censo_previo	censo_previo	99	 Don't know/No answer	3					
nm_preg	nm_preg	0	 No	2				
nm_preg	nm_preg	1	 Yes	1					
partos_pasados	partos_pasados	0	 No		2			
partos_pasados	partos_pasados	1	 Yes		1			
viv_siempre_com_ind	viv_siempre_com_ind	0	 No		2			
viv_siempre_com_ind	viv_siempre_com_ind	1	 Yes		1			
refer_antes_ind	refer_antes_ind	30MIN DE LA CARRETERA BELLAVISTA MAZAN	30min from the bellavista mazan road					
refer_antes_ind	refer_antes_ind	30MIN DE LA CARRETERA BELLAVISTA NANAY	30min from the bellavista nanay road					
refer_antes_ind	refer_antes_ind	AL FRENTE DEL DISTRITO	In front of the district					
refer_antes_ind	refer_antes_ind	ALTO NAPO	High napo					
refer_antes_ind	refer_antes_ind	AMAZONAS	Amazon river					
refer_antes_ind	refer_antes_ind	BAJO AMAZONAS	Under amazon					
refer_antes_ind	refer_antes_ind	COLEGIO	College					
refer_antes_ind	refer_antes_ind	NAPO	Napo river					
refer_antes_ind	refer_antes_ind	RIO	River					
refer_antes_ind	refer_antes_ind	RIO AMAZONAS	Amazon river					
refer_antes_ind	refer_antes_ind	RIO NAPO	NAPO river					
why_antes_ind	why_antes_ind	1	 Economic reasons (work/commerce)					
why_antes_ind	why_antes_ind	2	 Health care					
why_antes_ind	why_antes_ind	3	 Documentary procedures					
why_antes_ind	why_antes_ind	4	 Studies or military service					
why_antes_ind	why_antes_ind	5	 Violence, insecurity or disputes					
why_antes_ind	why_antes_ind	7	 Family matters					
why_antes_ind	why_antes_ind	8	 Environmental conditions (floods or ravines)					
why_antes_ind	why_antes_ind	88	 Other					
o_why_antes_ind	o_why_antes_ind	BUSQUEDA DE TIERRA DE LABRANZA	Search for farmland					
o_why_antes_ind	o_why_antes_ind	DAR A LUZ	Giving birth					
o_why_antes_ind	o_why_antes_ind	DISTANCIA LEJANA	Distancia lejana					
o_why_antes_ind	o_why_antes_ind	FALLECIMIENTO DE HIJO	Far distance					
o_why_antes_ind	o_why_antes_ind	NO TENIAN TERRENO	They did not have land					
o_why_antes_ind	o_why_antes_ind	PELEAS COMUNALES	Communal fighting					
o_why_antes_ind	o_why_antes_ind	PROBLEMAS COMUNALES	Community problems					
o_why_antes_ind	o_why_antes_ind	TRABAJO	Worked					
fam_casa_siempre_ind	fam_casa_siempre_ind	0	 No	2				
fam_casa_siempre_ind	fam_casa_siempre_ind	1	 Yes	1					
fam_casa_siempre_ind	fam_casa_siempre_ind	99	 Don't know/No answer	3				
reason_before_ind	reason_before_ind	1	 Economic reasons (work/commerce)					
reason_before_ind	reason_before_ind	3	 Documentary procedures					
reason_before_ind	reason_before_ind	4	 Studies or military service					
reason_before_ind	reason_before_ind	5	 Violence, insecurity or disputes					
reason_before_ind	reason_before_ind	7	 Family matters					
reason_before_ind	reason_before_ind	8	 Environmental conditions (floods or ravines)					
reason_before_ind	reason_before_ind	88	 Other					
o_razon_before_ind	o_razon_before_ind	ASUNTOS FAMILIARES	Family matters					
o_razon_before_ind	o_razon_before_ind	CASA PEQUEÌ_x0091_A	Little house					
o_razon_before_ind	o_razon_before_ind	CASA SE DETERIORÌ_x0092_	House deteriorated					
o_razon_before_ind	o_razon_before_ind	CERCANÌ_x008d_A QUE SU CHACRA	Close to your farm					
o_razon_before_ind	o_razon_before_ind	CONDICIONES DE VIVIENDA	Housing conditions					
o_razon_before_ind	o_razon_before_ind	DISTANCIA LEJANÌ_x008d_A	Far distance					
o_razon_before_ind	o_razon_before_ind	MEJOR ZONA	Best area					
o_razon_before_ind	o_razon_before_ind	OPORTUNIDAD DE TRABAJO	Job opportunity					
o_razon_before_ind	o_razon_before_ind	PISCIGRANJA	Fish farm					
o_razon_before_ind	o_razon_before_ind	SE DETERIORÌ_x0093_	It deteriorates					
o_razon_before_ind	o_razon_before_ind	VIVÌ_x008d_A CON SUS ABUELOS	He lived with his grandparents					
o_razon_before_ind	o_razon_before_ind	VIVÌ_x008d_A CON SUS PAPAS,YA TIENE CASA PROPIA	He lived with his parents, he already has a house of his own					
leer_escribir	leer_escribir	0	 Literate					
leer_escribir	leer_escribir	1	 Not literate					
nm_level_study	nm_level_study	1	 Illiterate/no level		1				
nm_level_study	nm_level_study	2	 Initial education			2			
nm_level_study	nm_level_study	3	 Incomplete elementary	3				
nm_level_study	nm_level_study	4	 Complete elementary		4			
nm_level_study	nm_level_study	5	 Incomplete high School	5				
nm_level_study	nm_level_study	6	 Complete high school	6				
nm_level_study	nm_level_study	7	 Higher non-university incomplete		7			
nm_level_study	nm_level_study	8	 Complete non-university higher		8			
nm_level_study	nm_level_study	9	 Incomplete university college		9			
nm_level_study	nm_level_study	10	 Full university superior			10		
nm_level_study	nm_level_study	9999	 Don't know/No answer		11			
asistencia_estudios	asistencia_estudios	0	 No		2			
asistencia_estudios	asistencia_estudios	1	 Yes		1												
hist_fever	hist_fever	0	 No		2			
hist_fever	hist_fever	1	 Yes		1			
mal_l_month	mal_l_month	0	 No		2			
mal_l_month	mal_l_month	1	 Yes		1			
med_mal	med_mal	0	 No		2			
med_mal	med_mal	1	 Yes		1			
malaria_type_commu	malaria_type_commu	1	 Benign malaria (Plasmodium vivax)					
malaria_type_commu	malaria_type_commu	2	 Malignant malaria (Plasmodium falciparum)					
name_med	name_med	1	 Chloroquine and primaquine					
name_med	name_med	2	 Artesunate and mefloquine					
name_med	name_med	3	 Mefloquine only					
name_med	name_med	4	 Artesunate, mefloquine and primaquine					
name_med	name_med	99	 Don't know/No answer					
o_name_med	o_name_med	99	 Don't know/No answer					
complete_med	complete_med	0	 No		2			
complete_med	complete_med	1	 Yes		1			
complete_med	complete_med	99	 Don't know/No answer	3				
sint_mes_1	sint_mes_1	0	 No					
sint_mes_1	sint_mes_1	1	 Yes					
sint_mes_2	sint_mes_2	0	 No					
sint_mes_2	sint_mes_2	1	 Yes					
sint_mes_3	sint_mes_3	0	 No					
sint_mes_3	sint_mes_3	1	 Yes					
sint_mes_4	sint_mes_4	0	 No					
sint_mes_4	sint_mes_4	1	 Yes					
sint_mes_5	sint_mes_5	0	 No					
sint_mes_5	sint_mes_5	1	 Yes					
sint_mes_6	sint_mes_6	0	 No					
sint_mes_6	sint_mes_6	1	 Yes					
sint_mes_7	sint_mes_7	0	 No					
sint_mes_7	sint_mes_7	1	 Yes					
sint_mes_8	sint_mes_8	0	 No					
sint_mes_8	sint_mes_8	1	 Yes					
sint_mes_9	sint_mes_9	0	 No					
sint_mes_9	sint_mes_9	1	 Yes					
sint_mes_10	sint_mes_10	0	 No					
sint_mes_10	sint_mes_10	1	 Yes					
sint_mes_88	sint_mes_88	0	 No					
sint_mes_88	sint_mes_88	1	 Yes					
eess_month	eess_month	0	 No					
eess_month	eess_month	1	 Yes					
enf_diagnos	enf_diagnos	0	 No					
enf_diagnos	enf_diagnos	1	 Yes					
place_shower	place_shower	1	 Bathroom inside a house	1				
place_shower	place_shower	2	 Bathroom outside a home	2				
place_shower	place_shower	3	 In the field/river		3			
place_shower	place_shower	88	 :::UNDEF:::			4		
o_place_shower	o_place_shower	Piscigranja	Fish farm					
o_place_shower	o_place_shower	Quebrada	Broken					
place_sleep	place_sleep	1	 Inside the house	1				
place_sleep	place_sleep	2	 Outside the house	2				
tenencia_mosq	tenencia_mosq	0	 No					
tenencia_mosq	tenencia_mosq	1	 Yes					
mosq_3diasomas	mosq_3diasomas	0	 No					
mosq_3diasomas	mosq_3diasomas	1	 Yes					
main_act_ec	main_act_ec	0	 None					
main_act_ec	main_act_ec	1	 Journeyman					
main_act_ec	main_act_ec	2	 Wood extractor					
main_act_ec	main_act_ec	3	 Fisherman					
main_act_ec	main_act_ec	4	 Rancher					
main_act_ec	main_act_ec	5	 Farmer					
main_act_ec	main_act_ec	6	 Trader					
main_act_ec	main_act_ec	7	 Housewife					
main_act_ec	main_act_ec	8	 Student					
main_act_ec	main_act_ec	88	 Other					
o_main_act	o_main_act	ARTESANA	Craftswoman					
o_main_act	o_main_act	BODEGA EN CASA	Bodega en casa					
o_main_act	o_main_act	CARPINTERO	Warehouse at home					
o_main_act	o_main_act	CAZADOR	Hunter					
o_main_act	o_main_act	COCINERA	Cook					
o_main_act	o_main_act	CUNA MAS	Crib more					
o_main_act	o_main_act	DOCENTE	Teacher					
o_main_act	o_main_act	GUARDIAN	Guardian					
o_main_act	o_main_act	I CICLO AGROPECUARIA	I agricultural cycle					
o_main_act	o_main_act	MADERERO	Lumberjack					
o_main_act	o_main_act	MAESTRO	Teacher					
o_main_act	o_main_act	NI„ERA	Baby sister					
o_main_act	o_main_act	PROFESOR	Professor					
o_main_act	o_main_act	TECNICO EN ENFERMERIA	Nurse technician					
febril	febril	0	 No 					
febril	febril	1	 Yes 				
comu_act	comu_act	14 JULIO	July 14th					
comu_act	comu_act	1RO DE ENERO	January 1st					
comu_act	comu_act	AGRICULTOR	Farmer					
comu_act	comu_act	AHUANARI QUEBRADA	Ahuanari broken					
comu_act	comu_act	BUFEO	Buffee					
comu_act	comu_act	CURARAY	Curaray					
comu_act	comu_act	GAMITANACOCHA	Gamitanacocha					
comu_act	comu_act	INDIANA	Indiana					
comu_act	comu_act	IQUITOS	Iquitos					
comu_act	comu_act	LAGO YURACYACU	Yuracyacu lake					
comu_act	comu_act	LIBERTAD	Liberty					
comu_act	comu_act	LIBERTAD PAUCARILLO	Liberty paucarillo					
comu_act	comu_act	LIMA	Lime					
comu_act	comu_act	LLACHAPA	Llachapa					
comu_act	comu_act	MAUCALLACTA	Maucallacta					
comu_act	comu_act	MAZAN	Mazan					
comu_act	comu_act	PUERTO ALEGRE	Joyful port					
comu_act	comu_act	PUERTO ALMENDRA	Puerto almendra					
comu_act	comu_act	QUEBRADA AHUANARI	Ahuanari broken					
comu_act	comu_act	QUEBRADA CHIRIACO	Chiriaco broken					
comu_act	comu_act	QUEBRADA CHIRIAQUI	Chiriaqui creek					
comu_act	comu_act	QUEBRADA PALOMETA	Parometa broken					
comu_act	comu_act	QUEBRADA PIURA	Piura broken					
comu_act	comu_act	QUEBRADA SARA	Sara broken					
comu_act	comu_act	QUEBRADA WARMI	Warmi creek					
comu_act	comu_act	SALVADOR	Savior					
comu_act	comu_act	SANTA CRUZ	Santa cruz					
comu_act	comu_act	SUCUSARI	Sucusari					
comu_act	comu_act	URCO MIRA„O	Urco Marino					
distr_act	distr_act	AMAZONAS	Amazon					
distr_act	distr_act	INDIANA	Indiana					
distr_act	distr_act	IQUITOS	Iquitos					
distr_act	distr_act	LIMA	Lime					
distr_act	distr_act	MAZAN	Mazan					
distr_act	distr_act	MIRA„O	Mira–o					
distr_act	distr_act	ORELLANA	Orellana					
distr_act	distr_act	PUNCHANA	Punchana					
distr_act	distr_act	SANTA CLOTILDE	Saint clotilde					
refer_act	refer_act	3 dÌ_as de gamitanococha	3 days of gamitanococha					
refer_act	refer_act	CANCHA	Court					
refer_act	refer_act	CARRETERA	Road					
refer_act	refer_act	COCHA	Car					
refer_act	refer_act	Colegio Maynas	Maynas college					
refer_act	refer_act	MAZAN	Mazan					
refer_act	refer_act	POSTA	Post					
refer_act	refer_act	QUEBRADA	Broken					
refer_act	refer_act	RIO	River					
refer_act	refer_act	RIO MAZAN	Mazan river					
refer_act	refer_act	Rio	River					
other_act_ec_1	other_act_ec_1	0	 No					
other_act_ec_1	other_act_ec_1	1	 Yes					
other_act_ec_2	other_act_ec_2	0	 No					
other_act_ec_2	other_act_ec_2	1	 Yes					
other_act_ec_3	other_act_ec_3	0	 No					
other_act_ec_3	other_act_ec_3	1	 Yes					
other_act_ec_4	other_act_ec_4	0	 No					
other_act_ec_4	other_act_ec_4	1	 Yes					
other_act_ec_5	other_act_ec_5	0	 No					
other_act_ec_5	other_act_ec_5	1	 Yes					
other_act_ec_6	other_act_ec_6	0	 No					
other_act_ec_6	other_act_ec_6	1	 Yes					
other_act_ec_7	other_act_ec_7	0	 No					
other_act_ec_7	other_act_ec_7	1	 Yes					
other_act_ec_8	other_act_ec_8	0	 No					
other_act_ec_8	other_act_ec_8	1	 Yes					
other_act_ec_9	other_act_ec_9	0	 No					
other_act_ec_9	other_act_ec_9	1	 Yes					
other_act_ec_0	other_act_ec_0	0	 No					
other_act_ec_0	other_act_ec_0	1	 Yes					
other_act_ec_88	other_act_ec_88	0	 No					
other_act_ec_88	other_act_ec_88	1	 Yes					
o_other_act_ec	o_other_act_ec	AGENTE COMUNITARIO DE SALUD	Community health worker					
o_other_act_ec	o_other_act_ec	APOYA A SUS PADRES EN LA AGRICULTURA	He supports his parents in agriculture					
o_other_act_ec	o_other_act_ec	ARTESANO	Craftsman					
o_other_act_ec	o_other_act_ec	BODEGA	Store					
o_other_act_ec	o_other_act_ec	CARPINTERO	Carpenter					
o_other_act_ec	o_other_act_ec	CAZA	Hunt					
o_other_act_ec	o_other_act_ec	CAZADOR	Hunter					
o_other_act_ec	o_other_act_ec	DOCENTE	Teacher					
o_other_act_ec	o_other_act_ec	MADERERO	Lumberjack					
o_other_act_ec	o_other_act_ec	MITAYERO	Mitayero					
o_other_act_ec	o_other_act_ec	MONTARAS	You will ride					
o_other_act_ec	o_other_act_ec	PERSONAL DEL TAMBO	Personal del tambo					
o_other_act_ec	o_other_act_ec	PISCICULTURA	Dairy staff					
o_other_act_ec	o_other_act_ec	TEJIDO DE IRAPAY	Irapay fabric					
ingreso_mes	ingreso_mes	0	 No					
ingreso_mes	ingreso_mes	1	 Yes					
ingreso_mes	ingreso_mes	99	 Don't know/No answer					
viaje_ult_mes	viaje_ult_mes	0	 No					
viaje_ult_mes	viaje_ult_mes	1	 Yes					
viaje_ult_mes	viaje_ult_mes	99	 Don't know/No answer					
motivo_viaje	motivo_viaje	1	 Economic reasons (work/commerce)					
motivo_viaje	motivo_viaje	2	 Health care					
motivo_viaje	motivo_viaje	3	 Documentary procedures					
motivo_viaje	motivo_viaje	4	 Studies or military service					
motivo_viaje	motivo_viaje	6	 Recreation, tourism and anniversaries					
motivo_viaje	motivo_viaje	7	 Family matters					
motivo_viaje	motivo_viaje	88	 Other					
motivo_viaje	motivo_viaje	99	 Don't know/No answer					
trabajo_viaje	trabajo_viaje	1	 Journeyman					
trabajo_viaje	trabajo_viaje	2	 Wood extractor					
trabajo_viaje	trabajo_viaje	3	 Fisherman					
trabajo_viaje	trabajo_viaje	5	 Farmer					
trabajo_viaje	trabajo_viaje	88	 Other					
o_trabajo_viaje	o_trabajo_viaje	AYUDA_x005F_x0093_ A SU MAMA A VENDER YUCA	Help his mother to sell yucca					
o_trabajo_viaje	o_trabajo_viaje	COBRO DE SUELDO	Salary collection					
o_trabajo_viaje	o_trabajo_viaje	COMERCIANTE	Businessman					
o_trabajo_viaje	o_trabajo_viaje	COORDINADORA DE VASO DE LECHE	Glass of milk coordinator					
o_trabajo_viaje	o_trabajo_viaje	Cocinera	Cook					
o_trabajo_viaje	o_trabajo_viaje	Danza	Dance					
o_trabajo_viaje	o_trabajo_viaje	MADERERO	Lumberjack					
o_trabajo_viaje	o_trabajo_viaje	MONTARAS	Ranger					
o_trabajo_viaje	o_trabajo_viaje	NI„ERA	Baby sister					
o_trabajo_viaje	o_trabajo_viaje	PROFESOR	Professor					
o_trabajo_viaje	o_trabajo_viaje	Promotor de salud	Health promoter					
o_trabajo_viaje	o_trabajo_viaje	VENTA DE PRODUCTOS	Sale of products					
n_com_viaje	n_com_viaje	0	Zero	1				
n_com_viaje	n_com_viaje	1	One	2				
n_com_viaje	n_com_viaje	2	Two	3				
comunidad_viaje_1	comunidad_viaje_1	INDIANA	Indiana					
comunidad_viaje_1	comunidad_viaje_1	LIBERTAD	Liberty					
comunidad_viaje_1	comunidad_viaje_1	MAUCALLACTA	Maucallacta					
comunidad_viaje_1	comunidad_viaje_1	MAZAN	Mazan					
comunidad_viaje_1	comunidad_viaje_1	SANTA CRUZ	Santa cruz					
comunidad_viaje_1	comunidad_viaje_1	TACSHA CURARAY	Tacsha curaray					
comunidad_viaje_1	comunidad_viaje_1	YARINA	Yarina					
comunidad_viaje_2	comunidad_viaje_2	INDIANA	Indiana					
comunidad_viaje_2	comunidad_viaje_2	Libertad	Liberty					
comunidad_viaje_2	comunidad_viaje_2	MAZAN	Mazan					
durac_total_viaje	durac_total_viaje	1	 Minutes					
durac_total_viaje	durac_total_viaje	2	 Hours					
durac_total_viaje	durac_total_viaje	3	 Days					
dias_total_viaje	dias_total_viaje	1	1					
dias_total_viaje	dias_total_viaje	2	2					
dias_total_viaje	dias_total_viaje	3	3					
dias_total_viaje	dias_total_viaje	4	4					
dias_total_viaje	dias_total_viaje	5	5					
dias_total_viaje	dias_total_viaje	7	7					
horas_total_viaje	horas_total_viaje	0	0					
horas_total_viaje	horas_total_viaje	1	1					
horas_total_viaje	horas_total_viaje	2	2					
horas_total_viaje	horas_total_viaje	3	3					
horas_total_viaje	horas_total_viaje	4	4					
horas_total_viaje	horas_total_viaje	5	5					
horas_total_viaje	horas_total_viaje	6	6					
horas_total_viaje	horas_total_viaje	7	7					
horas_total_viaje	horas_total_viaje	8	8					
horas_total_viaje	horas_total_viaje	9	9					
min_total_viaje	min_total_viaje	1	1					
min_total_viaje	min_total_viaje	2	2					
min_total_viaje	min_total_viaje	3	3					
min_total_viaje	min_total_viaje	4	4					
durac_total_permanencia	durac_total_permanencia	1	 Minutes					
durac_total_permanencia	durac_total_permanencia	2	 Hours					
durac_total_permanencia	durac_total_permanencia	3	 Days					
min_total_permanencia	min_total_permanencia	1	1					
min_total_permanencia	min_total_permanencia	2	2					
min_total_permanencia	min_total_permanencia	3	3					
min_total_permanencia	min_total_permanencia	4	4					
transporte_primario	transporte_primario	1	 Paddling canoe					
transporte_primario	transporte_primario	2	 Motor boat (small-small)					
transporte_primario	transporte_primario	3	 Powerboat (boat/speeder)					
transporte_primario	transporte_primario	6	 Walking					
transporte_primario	transporte_primario	88	 Other					
o_transporte_primario	o_transporte_primario	Balsa	Balsa					
o_transporte_primario	o_transporte_primario	Boya	Boya					
o_transporte_primario	o_transporte_primario	Caminando	Caminando					
o_transporte_primario	o_transporte_primario	Deslizador	Deslizador					
o_transporte_primario	o_transporte_primario	Lancha	Lancha					
infra_medio	infra_medio	1	 Covered/Closed					
infra_medio	infra_medio	2	 Uncovered/Open					
lugar_dormir_viaje	lugar_dormir_viaje	1	 In the means of transport					
lugar_dormir_viaje	lugar_dormir_viaje	2	 In a house					
lugar_dormir_viaje	lugar_dormir_viaje	3	 In the field					
lugar_dormir_viaje	lugar_dormir_viaje	88	 :::UNDEF:::					
o_lugar_dormir_viaje	o_lugar_dormir_viaje	Bote	Boat					
o_lugar_dormir_viaje	o_lugar_dormir_viaje	Casa de su tia	His aunt's house					
o_lugar_dormir_viaje	o_lugar_dormir_viaje	En el mercado	In the market					
o_lugar_dormir_viaje	o_lugar_dormir_viaje	Hospedaje	Lodging					
o_lugar_dormir_viaje	o_lugar_dormir_viaje	Ninguno	None					
o_lugar_dormir_viaje	o_lugar_dormir_viaje	Tambo	Tambo					
mosquitero_viaje	mosquitero_viaje	0	 No					
mosquitero_viaje	mosquitero_viaje	1	 Yes					
ducha_viaje	ducha_viaje	0	 Does not					
ducha_viaje	ducha_viaje	1	 Bathroom inside a house		1			
ducha_viaje	ducha_viaje	2	 Bathroom outside a home		2			
ducha_viaje	ducha_viaje	3	 In the field/river			3		
ducha_viaje	ducha_viaje	88	 Other					4
o_ducha_viaje	o_ducha_viaje	Bote	Bote					
o_ducha_viaje	o_ducha_viaje	COCHA	COCHA					
o_ducha_viaje	o_ducha_viaje	Ninguno	Ninguno					
o_ducha_viaje	o_ducha_viaje	POZO	POZO					
fiebre_trans_viaje	fiebre_trans_viaje	0	 No					
fiebre_trans_viaje	fiebre_trans_viaje	1	 Yes					
sint_viaje_1	sint_viaje_1	0	 No					
sint_viaje_1	sint_viaje_1	1	 Yes					
sint_viaje_2	sint_viaje_2	0	 No					
sint_viaje_2	sint_viaje_2	1	 Yes					
sint_viaje_3	sint_viaje_3	0	 No					
sint_viaje_4	sint_viaje_4	0	 No					
sint_viaje_4	sint_viaje_4	1	 Yes					
sint_viaje_5	sint_viaje_5	0	 No					
sint_viaje_5	sint_viaje_5	1	 Yes					
sint_viaje_6	sint_viaje_6	0	 No					
sint_viaje_6	sint_viaje_6	1	 Yes					
sint_viaje_7	sint_viaje_7	0	 No					
sint_viaje_7	sint_viaje_7	1	 Yes					
sint_viaje_8	sint_viaje_8	0	 No					
sint_viaje_9	sint_viaje_9	0	 No					
sint_viaje_9	sint_viaje_9	1	 Yes					
sint_viaje_10	sint_viaje_10	0	 No					
sint_viaje_10	sint_viaje_10	1	 Yes					
sint_viaje_88	sint_viaje_88	0	 No					
sint_viaje_88	sint_viaje_88	1	 Yes					
o_sint_viaje	o_sint_viaje	Dolor de estomago	Stomachache					
o_sint_viaje	o_sint_viaje	Dolor de garganta	Sore throat					
o_sint_viaje	o_sint_viaje	Fiebre	Fever					
daig_mal_last_trav	daig_mal_last_trav	0	 No					
daig_mal_last_trav	daig_mal_last_trav	1	 Yes					
ce_malaria_type	ce_malaria_type	1	 Benign malaria (Plasmodium vivax)				
posible_viaje_mes	posible_viaje_mes	0	 No					
posible_viaje_mes	posible_viaje_mes	1	 Yes					
lugar_destino_prox	lugar_destino_prox	28 DE OCTUBRE	October 28th					
