URI	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/EUPATH_0000001	building material
http://purl.obolibrary.org/obo/EUPATH_0000002	dwelling
http://purl.obolibrary.org/obo/EUPATH_0000003	roof material
http://purl.obolibrary.org/obo/EUPATH_0000006	floor material
http://purl.obolibrary.org/obo/EUPATH_0000009	wall material
http://purl.obolibrary.org/obo/EUPATH_0000014	household wealth index
http://purl.obolibrary.org/obo/EUPATH_0000015	eaves
http://purl.obolibrary.org/obo/EUPATH_0000018	air brick
http://purl.obolibrary.org/obo/EUPATH_0000019	number of people per household
http://purl.obolibrary.org/obo/EUPATH_0000021	toilet
http://purl.obolibrary.org/obo/EUPATH_0000022	household having electricity information
http://purl.obolibrary.org/obo/EUPATH_0000023	cooking fuel material
http://purl.obolibrary.org/obo/EUPATH_0000024	lighting material
http://purl.obolibrary.org/obo/EUPATH_0000025	number of rooms
http://purl.obolibrary.org/obo/EUPATH_0000026	land area measured in acres
http://purl.obolibrary.org/obo/EUPATH_0000027	number of meals per day
http://purl.obolibrary.org/obo/EUPATH_0000028	number of days eating meat in a week
http://purl.obolibrary.org/obo/EUPATH_0000029	frequency of not satisfying food needs
http://purl.obolibrary.org/obo/EUPATH_0000030	distance to health facility in km
http://purl.obolibrary.org/obo/EUPATH_0000031	number of female anopheles mosquitoes by CDC trap
http://purl.obolibrary.org/obo/EUPATH_0000033	glucose 6 phosphate dehydrogenase genotype
http://purl.obolibrary.org/obo/EUPATH_0000034	alpha thalassemia genotype
http://purl.obolibrary.org/obo/EUPATH_0000035	sickle hemoglobin genotype
http://purl.obolibrary.org/obo/EUPATH_0000038	diagnosis of uncomplicated malaria
http://purl.obolibrary.org/obo/EUPATH_0000040	diagnosis of complicated malaria
http://purl.obolibrary.org/obo/EUPATH_0000042	diagnoses of complicated malaria with danger signs
http://purl.obolibrary.org/obo/EUPATH_0000043	diagnosis of severe malaria
http://purl.obolibrary.org/obo/EUPATH_0000046	severe malaria symptom or sign
http://purl.obolibrary.org/obo/EUPATH_0000047	hemoglobin level in gm per dL
http://purl.obolibrary.org/obo/EUPATH_0000048	blood smear reading as positive or negative
http://purl.obolibrary.org/obo/EUPATH_0000049	clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000050	routine clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000053	dwelling ventilation
http://purl.obolibrary.org/obo/EUPATH_0000054	district in Uganda
http://purl.obolibrary.org/obo/EUPATH_0000087	household information
http://purl.obolibrary.org/obo/EUPATH_0000088	diagnosis of uncomplicated malaria in the 1st trimester of pregnancy
http://purl.obolibrary.org/obo/EUPATH_0000089	diagnosis of asymptomatic parasitemia
http://purl.obolibrary.org/obo/EUPATH_0000090	diagnosis of malaria - unspecified
http://purl.obolibrary.org/obo/EUPATH_0000091	clinical visit date
http://purl.obolibrary.org/obo/EUPATH_0000092	asexual parasite density in count per ul
http://purl.obolibrary.org/obo/EUPATH_0000093	dwelling information
http://purl.obolibrary.org/obo/EUPATH_0000094	household identifier
http://purl.obolibrary.org/obo/EUPATH_0000095	human participant identifier
http://purl.obolibrary.org/obo/EUPATH_0000096	participant characteristics
http://purl.obolibrary.org/obo/EUPATH_0000097	febrile
http://purl.obolibrary.org/obo/EUPATH_0000099	dwelling facility
http://purl.obolibrary.org/obo/EUPATH_0000100	subjective fever
http://purl.obolibrary.org/obo/EUPATH_0000110	organismal body temperature measurement datum
