ontology term,ontology label,parent,parent label,definition,Source ID,label in variable mapping,column header
http://purl.bioontology.org/ontology/MEDDRA/10009119,Respiratory distress,http://purl.obolibrary.org/obo/EUPATH_0021003,Signs ,,MEDDRA_10009119,Respiratory distress,manifestations_chk___5
http://purl.bioontology.org/ontology/MEDDRA/10014020,Ear pain,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms ,,MEDDRA_10014020,Ear pain,symptoms_chk___17
http://purl.bioontology.org/ontology/MEDDRA/10015958,Eye pain,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms ,,MEDDRA_10015958,Eye pain,symptoms_chk___13
http://purl.bioontology.org/ontology/SNOMEDCT/371632003,Coma,http://purl.obolibrary.org/obo/EUPATH_0021003,Signs ,,SNOMEDCT_371632003,Coma,manifestations_chk___2
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,Acute pulmonary edema,http://purl.obolibrary.org/obo/EUPATH_0021003,Signs ,,SNOMEDCT_40541001,Acute pulmonary edema,manifestations_chk___1
http://purl.obolibrary.org/obo/DOID_0050486,Rash,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms ,,DOID_0050486,Rash,symptoms_chk___16
http://purl.obolibrary.org/obo/DOID_1074,Renal failure,http://purl.obolibrary.org/obo/EUPATH_0021003,Signs ,,DOID_1074,Renal failure,manifestations_chk___4
http://purl.obolibrary.org/obo/DOID_13250,Diarrhea,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms ,,DOID_13250,Diarrhea,symptoms_chk___11
http://purl.obolibrary.org/obo/EUPATH_0021004,Mud,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,EUPATH_0021004,Mud,cen_building_material___1
http://purl.obolibrary.org/obo/EUPATH_0021005,Brick,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,EUPATH_0021005,Brick,cen_building_material___2
http://purl.obolibrary.org/obo/EUPATH_0021006,Concrete,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,EUPATH_0021006,Concrete,cen_building_material___3
http://purl.obolibrary.org/obo/EUPATH_0021007,Thatch,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,EUPATH_0021007,Thatch,cen_building_material___4
http://purl.obolibrary.org/obo/EUPATH_0000002,Dwelling type,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling physical characteristics ,,EUPATH_0000002,Dwelling type,cen_type_of_dwelling
http://purl.obolibrary.org/obo/EUPATH_0021008,Thatched,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,EUPATH_0021008,Thatched,cen_type_of_roof___1
http://purl.obolibrary.org/obo/EUPATH_0021009,Tin,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,EUPATH_0021009,Tin,cen_type_of_roof___2
http://purl.obolibrary.org/obo/EUPATH_0021010,Asbestos,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,EUPATH_0021010,Asbestos,cen_type_of_roof___3
http://purl.obolibrary.org/obo/EUPATH_0021011,Cement,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,EUPATH_0021011,Cement,cen_type_of_roof___4
http://purl.obolibrary.org/obo/EUPATH_0021012,Tile,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,EUPATH_0021012,Tile,cen_type_of_roof___5
http://purl.obolibrary.org/obo/EUPATH_0000019,# residents in dwelling,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors ,,EUPATH_0000019,# residents in dwelling,cen_household_size
http://purl.obolibrary.org/obo/EUPATH_0000033,G6PD genotype,http://purl.obolibrary.org/obo/EUPATH_0000306,Participant genotype ,,EUPATH_0000033,G6PD Genotype,gpd_rad
http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,OGMS_0000073,Uncomplicated malaria,prelim_dx_rad
http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test ,,EUPATH_0000047,Hemoglobin,hemocue
http://purl.obolibrary.org/obo/EUPATH_0000058,Malaria medication,http://purl.obolibrary.org/obo/EUPATH_0000057,Medication ,Malaria medication taken in last 2 weeks,EUPATH_0000058,Malaria medication,drugs_2wk_codes_1
http://purl.obolibrary.org/obo/EUPATH_0000058,Malaria medication,http://purl.obolibrary.org/obo/EUPATH_0000057,Medication ,Malaria medication taken in last 2 weeks,EUPATH_0000058,Malaria medication,drugs_2wk_codes_2
http://purl.obolibrary.org/obo/EUPATH_0000091,Date of visit,http://purl.obolibrary.org/obo/EUPATH_0000310,Visit Details ,,EUPATH_0000091,date of visit,cen_date
http://purl.obolibrary.org/obo/EUPATH_0000091,Date of visit,http://purl.obolibrary.org/obo/EUPATH_0000310,Visit Details ,,EUPATH_0000091,Date of visit,date
http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details ,,EUPATH_0000094,Household ID,cen_fid
http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details ,,EUPATH_0000095,Participant ID,sid
http://purl.obolibrary.org/obo/EUPATH_0000097,Fever in last 48 hours,http://purl.obolibrary.org/obo/EUPATH_0000309,Symptoms or signs ,,EUPATH_0000097,Febrile,fever_48hr_yn
http://purl.obolibrary.org/obo/EUPATH_0000100,Fever in last 2 weeks,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history ,,EUPATH_0000100,Fever (subjective),fever_2wk_yn
http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature (C),http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination ,,EUPATH_0000110,Temperature (C),temp_celsius
http://purl.obolibrary.org/obo/EUPATH_0000113,Age at time of visit,http://purl.obolibrary.org/obo/EUPATH_0000310,Visit Details ,,EUPATH_0000113,Age at time of visit,age_fu
http://purl.obolibrary.org/obo/EUPATH_0000120,Age at time of enrollment,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details ,,EUPATH_0000120,Age at time of enrollment,age_en
http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors ,,EUPATH_0000144,Assets,cen_electricity_yesno
http://purl.obolibrary.org/obo/EUPATH_0000191,Days since enrollment,http://purl.obolibrary.org/obo/EUPATH_0000310,Visit Details ,,EUPATH_0000191,Days since enrollment,days
http://purl.obolibrary.org/obo/EUPATH_0000215,Severe anemia,http://purl.obolibrary.org/obo/EUPATH_0021003,Signs ,,EUPATH_0000215,Severe anemia,manifestations_chk___7
