entity,label,displayOrder,plabel
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,
http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,
http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),,Anthropometry
http://purl.obolibrary.org/obo/CHEBI_3638,Chloroquine,3,Antimalarial medications used
http://purl.obolibrary.org/obo/CHEBI_63609,Mefloquine,5,Antimalarial medications used
http://purl.obolibrary.org/obo/CHEBI_8405,Primaquine,6,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021036,Artesunate,1,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021037,Other,10,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021038,Can't remember,11,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021039,Artesunate/pyrimethamine/sulphadoxine,2,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021040,Chloroquine/primaquine,4,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021041,Pyrimethamine/sulphadoxine,7,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021042,Quinine/quinidine,8,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021043,Tetracycline/doxycycline,9,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021132,Missing,12,Antimalarial medications used
http://purl.obolibrary.org/obo/NCBITaxon_114292,Typhus,,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_590,Salmonella,,Bacteria
http://purl.obolibrary.org/obo/EUPATH_0010985,Raw test result,,Blood microbiology test
http://purl.obolibrary.org/obo/EUPATH_0011800,Microbiology tests performed,,Blood microbiology test
http://purl.obolibrary.org/obo/NCBITaxon_10239,Virus,,Blood microbiology test
http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,,Blood microbiology test
http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota,,Blood microbiology test
http://purl.obolibrary.org/obo/EUPATH_0000127,Filter paper sample,2,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,1,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021082,Small volume sample,3,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021083,Vacutainer sample,4,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021136,Missing,5,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Blood test
http://purl.obolibrary.org/obo/EUPATH_0021107,"Chikungunya, by SD Bioline IgM ELISA",,Chikungunya
http://purl.obolibrary.org/obo/EUPATH_0021118,"Chikungunya, by Advantage Chikungunya IgM Card RDT",,Chikungunya
http://purl.obolibrary.org/obo/EUPATH_0021119,"Chikungunya, by SD Bioline Chikungunya IgM RDT",,Chikungunya
http://purl.obolibrary.org/obo/EUPATH_0000426,Malaria diagnoses in the past year (count),,Clinical history
http://purl.obolibrary.org/obo/EUPATH_0000427,Days since last malaria diagnosis,,Clinical history
http://purl.obolibrary.org/obo/EUPATH_0000425,Plasmodium species in last year,1,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000428,Treated with antimalarials,2,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000429,Antimalarial treatment date,3,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,4,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000431,Where treated,5,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,,Demographics
http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Demographics
http://purl.obolibrary.org/obo/EUPATH_0021120,"Dengue, by Panbio Dengue IgM capture ELISA",,Dengue
http://purl.obolibrary.org/obo/EUPATH_0021123,"Dengue, by Panbio Dengue Early ELISA",,Dengue
http://purl.obolibrary.org/obo/EUPATH_0021128,"Dengue, by Dengue Duo Test RDT",,Dengue
http://purl.obolibrary.org/obo/EUPATH_0021129,"Dengue, by Dengue Day 1 Test RDT",,Dengue
http://purl.obolibrary.org/obo/EUPATH_0021110,NS1 antigen,3,"Dengue, by Dengue Day 1 Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021111,IgM,2,"Dengue, by Dengue Day 1 Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021112,IgG,1,"Dengue, by Dengue Day 1 Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021113,Negative,4,"Dengue, by Dengue Day 1 Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021114,NS1 antigen,3,"Dengue, by Dengue Duo Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021115,IgM,2,"Dengue, by Dengue Duo Test RDT"
