entity,label,termType,variable,plabel
http://purl.obolibrary.org/obo/NCBITaxon_590,Salmonella,category,,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_114292,Typhus,category,,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,category,,Blood microbiology test
http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota,category,,Blood microbiology test
http://purl.obolibrary.org/obo/EUPATH_0011800,Microbiology tests performed,category,,Blood microbiology test
http://purl.obolibrary.org/obo/EUPATH_0010985,Raw test result,category,,Blood microbiology test
http://purl.obolibrary.org/obo/NCBITaxon_10239,Virus,category,,Blood microbiology test
http://purl.obolibrary.org/obo/NCBITaxon_5820,Plasmodium,category,,Eukaryota
http://purl.obolibrary.org/obo/EUPATH_0020005,Blood microbiology test,category,,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0011795,Blood test,category,,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0011802,Microscopy,category,,Microbiology tests performed
http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,category,,Observation
http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,category,,Observation
http://purl.obolibrary.org/obo/EUPATH_0021098,Immediate clinical history,category,,Observation
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,category,,Observation
http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,category,,Observation
http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,category,,Observation
http://purl.obolibrary.org/obo/EUPATH_0000340,Travel details,category,,Observation
http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,category,,Observation
http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,category,,Participant
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,category,,Participant
http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,category,,Participant
http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,category,,Participant
http://purl.obolibrary.org/obo/EUPATH_0011843,Raw bacteria data,category,,Raw test result
http://purl.obolibrary.org/obo/EUPATH_0011844,Raw virus data,category,,Raw test result
http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,category,,Sample
http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,category,,Sample
http://purl.obolibrary.org/obo/NCBITaxon_37124,Chikungunya,category,,Virus
http://purl.obolibrary.org/obo/NCBITaxon_12637,Dengue,category,,Virus
http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,category,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,category,,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,category,,
http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,multifilter,,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000425,Plasmodium species in last year,multifilter,,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000431,Where treated,multifilter,,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0021129,"Dengue, by Dengue Day 1 Test RDT",multifilter,,Dengue
http://purl.obolibrary.org/obo/EUPATH_0021128,"Dengue, by Dengue Duo Test RDT",multifilter,,Dengue
http://purl.obolibrary.org/obo/EUPATH_0000413,Fever treatment location,multifilter,,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0000437,"Plasmodium species, by FalciVax RDT",multifilter,,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0000423,"Plasmodium species, by microscopy",multifilter,,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0000433,"Plasmodium species, by PCR",multifilter,,Plasmodium
http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,multifilter,,Sample
http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,multifilter,,Signs and symptoms
http://purl.obolibrary.org/obo/EUPATH_0021036,Artesunate,value,pastyear_treat_drugs_chk___1,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021039,Artesunate/pyrimethamine/sulphadoxine,value,pastyear_treat_drugs_chk___2,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021038,Can't remember,value,pastyear_treat_drugs_chk___11,Antimalarial medications used
http://purl.obolibrary.org/obo/CHEBI_3638,Chloroquine,value,pastyear_treat_drugs_chk___3,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021040,Chloroquine/primaquine,value,pastyear_treat_drugs_chk___4,Antimalarial medications used
http://purl.obolibrary.org/obo/CHEBI_63609,Mefloquine,value,pastyear_treat_drugs_chk___5,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021037,Other,value,pastyear_treat_drugs_chk___10,Antimalarial medications used
http://purl.obolibrary.org/obo/CHEBI_8405,Primaquine,value,pastyear_treat_drugs_chk___6,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021041,Pyrimethamine/sulphadoxine,value,pastyear_treat_drugs_chk___7,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021042,Quinine/quinidine,value,pastyear_treat_drugs_chk___8,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021043,Tetracycline/doxycycline,value,pastyear_treat_drugs_chk___9,Antimalarial medications used
http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,value,samples_chk___1,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,value,samples_chk_fu___1,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0000127,Filter paper sample,value,samples_chk___3,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0000127,Filter paper sample,value,samples_chk_fu___3,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021082,Microvette sample (100 uL),value,samples_chk___2,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021082,Microvette sample (100 uL),value,samples_chk_fu___2,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021083,Vacutainer sample (5 mL),value,samples_chk___4,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021083,Vacutainer sample (5 mL),value,samples_chk_fu___4,Blood sample
http://purl.obolibrary.org/obo/EUPATH_0021112,IgG,value,rdt_dengue_jmitra_ab___2,"Dengue, by Dengue Day 1 Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021111,IgM,value,rdt_dengue_jmitra_ab___1,"Dengue, by Dengue Day 1 Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021113,Negative,value,rdt_dengue_jmitra_ab___3,"Dengue, by Dengue Day 1 Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021116,IgG,value,rdt_dengue_alere_ab___2,"Dengue, by Dengue Duo Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021115,IgM,value,rdt_dengue_alere_ab___1,"Dengue, by Dengue Duo Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021117,Negative,value,rdt_dengue_alere_ab___3,"Dengue, by Dengue Duo Test RDT"
http://purl.obolibrary.org/obo/EUPATH_0021023,Clinic,value,fever_2wk_where_chk___1,Fever treatment location
http://purl.obolibrary.org/obo/EUPATH_0021026,Not treated,value,fever_2wk_where_chk___4,Fever treatment location
http://purl.obolibrary.org/obo/EUPATH_0021024,Private practice,value,fever_2wk_where_chk___2,Fever treatment location
http://purl.obolibrary.org/obo/EUPATH_0021025,Self-treated,value,fever_2wk_where_chk___3,Fever treatment location
http://purl.obolibrary.org/obo/EUPATH_0021056,FalciVax RDT performed,variable,rdt_falc_chk___4,Microbiology tests performed
http://purl.obolibrary.org/obo/EUPATH_0021031,Microscopy performed,variable,mic_species___5,Microscopy
http://purl.obolibrary.org/obo/EUPATH_0021035,Can't remember,value,pastyear_dx_chk___4,Plasmodium species in last year
http://purl.obolibrary.org/obo/EUPATH_0021032,Plasmodium falciparum,value,pastyear_dx_chk___1,Plasmodium species in last year
http://purl.obolibrary.org/obo/EUPATH_0021034,Plasmodium malariae,value,pastyear_dx_chk___3,Plasmodium species in last year
http://purl.obolibrary.org/obo/EUPATH_0021033,Plasmodium vivax,value,pastyear_dx_chk___2,Plasmodium species in last year
http://purl.obolibrary.org/obo/EUPATH_0021055,Negative,value,rdt_falc_chk___3,"Plasmodium species, by FalciVax RDT"
http://purl.obolibrary.org/obo/EUPATH_0021053,Plasmodium falciparum,value,rdt_falc_chk___1,"Plasmodium species, by FalciVax RDT"
http://purl.obolibrary.org/obo/EUPATH_0021054,Plasmodium vivax,value,rdt_falc_chk___2,"Plasmodium species, by FalciVax RDT"
http://purl.obolibrary.org/obo/EUPATH_0021027,Negative,value,mic_species___1,"Plasmodium species, by microscopy"
http://purl.obolibrary.org/obo/EUPATH_0021028,Plasmodium falciparum,value,mic_species___2,"Plasmodium species, by microscopy"
