Term Ontology ID	Display Label	Term Parent Ontology ID	Term Parent Display Label	Data Dictionary ID	Data Dictionary Label	Column Name	Term Type
EUPATH_0000339	Animal Information	EUPATH_0000093	Dwelling	INDIAN_0000001	Animal Information		category
OGMS_0000015	Clinical History	EUPATH_0000307	Participant Study Details	INDIAN_0000002	Clinical History		category
OGMS_0000073	Diagnosis	EUPATH_0000328	Visit	INDIAN_0000003	Diagnosis		category
EUPATH_0000093	Dwelling	Thing		INDIAN_0000004	Dwelling		category
EUPATH_0000301	Dwelling Summary	EUPATH_0000093	Dwelling	INDIAN_0000005	Dwelling Summary		category
EUPATH_0000302	Facilities	EUPATH_0000093	Dwelling	INDIAN_0000006	Facilities		category
GAZ_00000448	Geographic location	Thing		INDIAN_0000007	Geographic location		category
OGMS_0000018	Laboratory Findings	EUPATH_0000328	Visit	INDIAN_0000008	Laboratory Findings		category
EUPATH_0000057	Medication	EUPATH_0000328	Visit	INDIAN_0000009	Medication		category
EUPATH_0000096	Participant	Thing		INDIAN_0000010	Participant		category
EUPATH_0000306	Participant Genotype	EUPATH_0000096	Participant	INDIAN_0000011	Participant Genotype		category
EUPATH_0000307	Participant Study Details	EUPATH_0000096	Participant	INDIAN_0000012	Participant Study Details		category
EUPATH_0000303	Physical Characteristics	EUPATH_0000093	Dwelling	INDIAN_0000013	Physical Characteristics		category
OGMS_0000083	Physical Examination	EUPATH_0000328	Visit	INDIAN_0000014	Physical Examination		category
EUPATH_0000304	Socioeconomic Factors	EUPATH_0000093	Dwelling	INDIAN_0000015	Socioeconomic Factors		category
EUPATH_0000309	Symptoms	EUPATH_0000328	Visit	INDIAN_0000016	Symptoms		category
EUPATH_0000340	Traveling Details	EUPATH_0000096	Participant	INDIAN_0000017	Traveling Details		category
EUPATH_0000341	Vector Intervention	EUPATH_0000093	Dwelling	INDIAN_0000018	Vector Intervention		category
EUPATH_0000328	Visit	Thing		INDIAN_0000019	Visit		category
EUPATH_0000310	Visit Details	EUPATH_0000328	Visit	INDIAN_0000020	Visit Details		category
EUPATH_0000058	Malaria medication	EUPATH_0000057	Medication	INDIAN_0000021	drugs_2wk_codes	drugs_2wk_codes	variable
EUPATH_0000409	Take antimalarial drugs as advised?	EUPATH_0000057	Medication	INDIAN_0000022	drugs_2wk_comply_yn	drugs_2wk_comply_yn	variable
EUPATH_0000410	Take antimalarial drugs?	EUPATH_0000057	Medication	INDIAN_0000023	drugs_2wk_yn	drugs_2wk_yn	variable
EUPATH_0000443	Take fever suppressant?	EUPATH_0000057	Medication	INDIAN_0000024	suppressant_now_yn	suppressant_now_yn	variable
EUPATH_0000403	Proximity to case dwelling	EUPATH_0000096	Participant	INDIAN_0000025	case_household	case_household	variable
PATO_0000047	Sex	EUPATH_0000096	Participant	INDIAN_0000026	sex	sex	variable
