file,category,id
malariabehaviorhouse_data_2020-05-27_1622,participant,sid
malariabehaviorhouse_data_2020-05-27_1622,household,cen_num
malariabehaviorindiv_data_2020-05-27_1623,sample,sid
malariabehaviorindiv_data_2020-05-27_1623,observation,sid
malariabehaviorindiv_data_2020-05-27_1623,participant,sid
malariabehaviorindiv_data_2020-05-27_1623,household,cen_id
raurkelamicroscopyne-mbi_data_2020-05-27_1634,sample,mic_sid1
raurkelamicroscopyne-mbi_data_2020-05-27_1634,observation,mic_sid1
raurkelamicroscopyne-mbi_data_2020-05-27_1634,participant,mic_sid1
raurkelamicroscopyne-mbi_data_2020-05-27_1634,household,mic_sid1
