Term Ontology IRI	Display Label	Term parent ontology IRI	Term parent display label	Data Dictionary Label (es)	Column Name (en)	Term Type	Indian Preferred Label (en)	Indian description	Var/Field name synonym	Field Type	Answers	Related Synonym
				EUPATH_0000329	eupath/icemr.owl#column_name	EUPATH_0000271	EUPATH_0000330	EUPATH_0000331	eupath/icemr/indian.owl#label_alternative	eupath/icemr/indian.owl#field_type	eupath/icemr/indian.owl#values	eupath/icemr.owll#hasRelatedSynonym
http://purl.obolibrary.org/obo/EUPATH_0000339	Animal Information	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Animal Information		category	Animal Information					
http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	Clinical History		category	Clinical History					
http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Diagnosis		category						
http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	http://www.w3.org/2002/07/owl#Thing		Dwelling		category						
http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Dwelling Summary		category						
http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Facilities		category						
http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	http://www.w3.org/2002/07/owl#Thing		Geographic location		category						
http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Laboratory Findings		category						
http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Medication		category						
http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	http://www.w3.org/2002/07/owl#Thing		Participant		category						
http://purl.obolibrary.org/obo/EUPATH_0000306	Participant Genotype	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	Participant Genotype		category						
http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	Participant Study Details		category						
http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Physical Characteristics		category						
http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Physical Examination		category	Physical Examination					
http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Socioeconomic Factors		category						
http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Symptoms		category						
http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	Traveling Details		category	Traveling Details					
http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Vector Intervention		category	Vector Intervention					
http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	http://www.w3.org/2002/07/owl#Thing		Visit		category						
http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Visit Details		category						
http://purl.obolibrary.org/obo/EUPATH_0000058	Malaria medication	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	drugs_2wk_codes	drugs_2wk_codes	variable		IF YES, code(s)		text		
http://purl.obolibrary.org/obo/EUPATH_0000409	Take antimalarial drugs as advised?	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	drugs_2wk_comply_yn	drugs_2wk_comply_yn	variable		IF YES, were the drugs taken as advised?		yesno		
http://purl.obolibrary.org/obo/EUPATH_0000410	Take antimalarial drugs?	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	drugs_2wk_yn	drugs_2wk_yn	variable		Has taken antimalarial drugs in last 2 weeks		yesno		
http://purl.obolibrary.org/obo/EUPATH_0000443	Take fever suppressant?	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	suppressant_now_yn	suppressant_now_yn	variable		Is taking fever suppressant now		yesno		
http://purl.obolibrary.org/obo/EUPATH_0000403	Proximity to case dwelling	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	case_household	case_household	variable		Case household		radio	1, Index | 2, Proximal | 3, Distal	
http://purl.obolibrary.org/obo/PATO_0000047	Sex	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	sex	sex	variable		Sex	sex_rad	radio	1, Male | 2, Female	
http://purl.obolibrary.org/obo/PATO_0000047	Sex	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	sex_rad	sex_rad	variable						
http://purl.obolibrary.org/obo/EUPATH_0000002	Dwelling type	http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	type_of_dwelling_rad	type_of_dwelling_rad	variable		Type of dwelling		radio	1, House | 2, Apartment	
http://purl.obolibrary.org/obo/EUPATH_0000418	Indoor residents	http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	indoor_residents_rad	indoor_residents_rad	variable		Indoor residents		radio	1, Human only | 2, Mixed/Human+animal	
http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	water_supply_chk	water_supply_chk	variable		Water supply		checkbox	1, Indoor plumbing | 2, Bore well | 3, Open well | 4, Stream/river | 5, Public tank/pump	
http://purl.obolibrary.org/obo/EUPATH_0000001	Building material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	building_material_chk	building_material_chk	variable		Building material		checkbox	1, Mud | 2, Brick | 3, Concrete | 4, Thatch	
http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	type_of_roof_chk	type_of_roof_chk	variable		Type of roof		checkbox	1, Thatched | 2, Tin | 3, Asbestos | 4, Cement | 5, Tile	
http://purl.obolibrary.org/obo/EUPATH_0000019	# residents in dwelling	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	household_size	household_size	variable		Size of household		text		
http://purl.obolibrary.org/obo/EUPATH_0000144	Assets	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	Assets	Assets	variable					electricity_yn	
http://purl.obolibrary.org/obo/EUPATH_0000451	Healthcare type	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	typical_healthcare_chk	typical_healthcare_chk	variable		Typical healthcare		checkbox	1, Public | 2, Private	
http://purl.obolibrary.org/obo/EUPATH_0000435	Proverty line	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	poverty_line	poverty_line	variable		Poverty line, A measure of income level issued annually by the Department of Health and Human Services. Federal poverty levels are used to determine your eligibility for certain programs and benefits.		radio	1, Above | 2, Below	
http://purl.obolibrary.org/obo/EUPATH_0000033	G6PD Genotype	http://purl.obolibrary.org/obo/EUPATH_0000306	Participant Genotype	gpd_rad	gpd_rad	variable		G6PD		radio	1, Normal | 2, Deficient | 3, Not done / blank	
http://purl.obolibrary.org/obo/EUPATH_0000120	Age at time of enrollment	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	age	age	variable		Age	age_en	text		
http://purl.obolibrary.org/obo/EUPATH_0000120	Age at time of enrollment	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	age_en	age_en	variable						
http://purl.obolibrary.org/obo/EUPATH_0000345	Education level	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	education	education	variable		Education	education_rad	radio	1, None | 2, Primary | 3, Secondary | 4, Diploma | 5, University | 6, Graduate or higher	
http://purl.obolibrary.org/obo/EUPATH_0000345	Education level	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	education_rad	education_rad	variable						
http://purl.obolibrary.org/obo/EUPATH_0000415	Family head?	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	head_yn	head_yn	variable		Family head		yesno		
