IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0021014,Livestock,cen_animals___2,1,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,,,value,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021013,None,cen_animals___1,3,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,,,value,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021015,Pets or other animals,cen_animals___3,2,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,,,value,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,cen_electricity_yesno,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021005,Brick,cen_building_material___2,2,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,,value,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021006,Concrete,cen_building_material___3,3,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,,value,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021004,Mud,cen_building_material___1,1,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,,value,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021007,Thatch,cen_building_material___4,4,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,,value,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,1,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,multifilter,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,cen_type_of_dwelling,2,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,3,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,multifilter,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000418,Animals indoors,cen_indoor_residents,1,,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,,2,,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,multifilter,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000395,Livestock count,cen_animals_nonpets_count,3,,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000396,Pet or other animal count,cen_animals_pets_count,4,,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000004,Country,country,,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,"variable, derived",,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000407,District,cen_district,2,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,,,,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021095,State,state,1,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,,,,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,studySite,4,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,,,,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000444,Taluk,cen_taluk,3,,Administrative division with a city or town that serves as its administrative center. Generally encompasses an area of land with a number of villages and possibly some towns.,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,5,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,,,,,,,,,,
