Qualifier	Qualifier ID	Values	Mapped Terms	Ordinal Value
bednet_chk___1	EUPATH_0021016	1	Yes	
bednet_chk___1	EUPATH_0021016	0	No	
bednet_chk___2	EUPATH_0021017	1	Yes	
bednet_chk___2	EUPATH_0021017	0	No	
bednet_chk___3	EUPATH_0021018	1	Yes	
bednet_chk___3	EUPATH_0021018	0	No	
bednet_chk___4	EUPATH_0021019	1	Yes	
bednet_chk___4	EUPATH_0021019	0	No	
bednet_chk___5	EUPATH_0021020	1	Yes	
bednet_chk___5	EUPATH_0021020	0	No	
bednet_chk___6	EUPATH_0021021	1	Yes	
bednet_chk___6	EUPATH_0021021	0	No	
bednet_chk___7	EUPATH_0021022	1	Yes	
bednet_chk___7	EUPATH_0021022	0	No	
cen_animals___1	EUPATH_0021013	1	Yes	
cen_animals___1	EUPATH_0021013	0	No	
cen_animals___2	EUPATH_0021014	1	Yes	
cen_animals___2	EUPATH_0021014	0	No	
cen_animals___3	EUPATH_0021015	1	Yes	
cen_animals___3	EUPATH_0021015	0	No	
cen_building_material___1	EUPATH_0021004	1	Yes	
cen_building_material___1	EUPATH_0021004	0	No	
cen_building_material___2	EUPATH_0021005	1	Yes	
cen_building_material___2	EUPATH_0021005	0	No	
cen_building_material___3	EUPATH_0021006	1	Yes	
cen_building_material___3	EUPATH_0021006	0	No	
cen_building_material___4	EUPATH_0021007	1	Yes	
cen_building_material___4	EUPATH_0021007	0	No	
cen_district	EUPATH_0000407	Chennai	Chennai	
cen_district	EUPATH_0000407	Kheda	Kheda	
cen_district	EUPATH_0000407	Mahesana	Mahesana	
cen_district	EUPATH_0000407	Panchmahal	Panchmahal	
cen_district	EUPATH_0000407	Sundargarh	Sundergarh	
cen_district	EUPATH_0000407	sundargarh	Sundergarh	
cen_district	EUPATH_0000407	Sundergarh	Sundergarh	
cen_electricity_yesno	EUPATH_0021084	1	Yes	
cen_electricity_yesno	EUPATH_0021084	0	No	
cen_indoor_residents	EUPATH_0000418	1	No	
cen_indoor_residents	EUPATH_0000418	2	Yes	
cen_larvicide_in_use	EUPATH_0000419	1	Weekly	1
cen_larvicide_in_use	EUPATH_0000419	2	Every 2 weeks	2
cen_larvicide_in_use	EUPATH_0000419	3	Monthly	3
cen_larvicide_in_use	EUPATH_0000419	4	No	4
cen_larvicide_in_use	EUPATH_0000419	5	Unknown	5
cen_poverty_line	EUPATH_0000435	1	Above	
cen_poverty_line	EUPATH_0000435	2	Below	
cen_resident_status___1	EUPATH_0021068	1	Yes	
cen_resident_status___1	EUPATH_0021068	0	No	
