colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
NA,bad_id,NA,discard,,,"There is an error.  Before continuing, please make sure that the Record ID, the Village number, and the Participant number entered here are the same as what is on the blue participant card.",NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,uid,st3participantsample_data_2022-01-10_1509,discard,,,Record ID,NA,,,,NA,st3participantsample_data_2022-01-10_1509::uid,India ICEMR DAMaN,uid,chr,001_0001_001,NA,NA,>10 unique values,2590,0,duplicated variable
2,redcap_repeat_instrument,st3participantsample_data_2022-01-10_1509,discard,,,NA,NA,,,,NA,st3participantsample_data_2022-01-10_1509::redcap_repeat_instrument,India ICEMR DAMaN,redcap_repeat_instrument,chr,mc_samples,NA,NA,mc_samples,1,0,duplicated variable
3,redcap_repeat_instance,st3participantsample_data_2022-01-10_1509,keep,,,NA,NA,,,,NA,st3participantsample_data_2022-01-10_1509::redcap_repeat_instance,India ICEMR DAMaN,redcap_repeat_instance,int,1,NA,NA,1 to 5,5,0,duplicated variable
4,villageid,st3participantsample_data_2022-01-10_1509,discard,,,1. Village number,NA,,,,NA,st3participantsample_data_2022-01-10_1509::villageid,India ICEMR DAMaN,villageid,chr,1,NA,NA,>10 unique values,31,0.000924927,duplicated variable
5,houseid,st3participantsample_data_2022-01-10_1509,discard,,,2. Household number,NA,,,,NA,st3participantsample_data_2022-01-10_1509::houseid,India ICEMR DAMaN,houseid,int,1,NA,NA,1 to 102,59,0,duplicated variable
6,subjid,st3participantsample_data_2022-01-10_1509,discard,,,3. Participant number,NA,,,,NA,st3participantsample_data_2022-01-10_1509::subjid,India ICEMR DAMaN,subjid,chr,1,NA,NA,>10 unique values,292,0.000770772,duplicated variable
7,visdat,st3participantsample_data_2022-01-10_1509,keep,,,4. Date of interview,NA,,,,date_dmy,st3participantsample_data_2022-01-10_1509::visdat,India ICEMR DAMaN,visdat,chr,7/13/19,date?,%Y-%m-%d,>10 unique values,108,0.002158162,duplicated variable
8,rdt_yn,st3participantsample_data_2022-01-10_1509,keep,,,A1. Was an RDT done?,NA,,,,NA,st3participantsample_data_2022-01-10_1509::rdt_yn,India ICEMR DAMaN,rdt_yn,int,1,date?,NA,0 to 1,2,0,NA
9,rdt_rad,st3participantsample_data_2022-01-10_1509,keep,,,A1.1. RDT result,"0, Negative | 1, Pf | 2, Pv | 3, Pf + Pv",,,,NA,st3participantsample_data_2022-01-10_1509::rdt_rad,India ICEMR DAMaN,rdt_rad,int,0,date?,NA,0 to 3,4,0,NA
10,hgb_yn,st3participantsample_data_2022-01-10_1509,keep,,,A2. Was hemoglobin measured?,NA,,,,NA,st3participantsample_data_2022-01-10_1509::hgb_yn,India ICEMR DAMaN,hgb_yn,int,1,NA,NA,0 to 1,2,0,NA
11,hgb,st3participantsample_data_2022-01-10_1509,keep,,,A2.1  Hemoglobin (g/dl),NA,,,,number_1dp,st3participantsample_data_2022-01-10_1509::hgb,India ICEMR DAMaN,hgb,dbl,NA,NA,NA,3.1 to 99.5,130,0,NA
12,samplefilt_rad,st3participantsample_data_2022-01-10_1509,keep,,,B1. Blood spot,"1, Yes | 0, No",,,,NA,st3participantsample_data_2022-01-10_1509::samplefilt_rad,India ICEMR DAMaN,samplefilt_rad,int,1,NA,NA,0 to 1,2,0,NA
13,samplesmear_rad,st3participantsample_data_2022-01-10_1509,keep,,,B2. Blood smear,"1, Yes | 0, No",,,,NA,st3participantsample_data_2022-01-10_1509::samplesmear_rad,India ICEMR DAMaN,samplesmear_rad,int,1,NA,NA,0 to 1,2,0,NA
