IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,India ICEMR DAMaN,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,India ICEMR DAMaN,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,st3questionnaire_data_2022-05-11::occupantsnum,,st3questionnaire_data_2022-05-11,Number of people in household,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,A3. How many people are in your household?,,variable,yes,,,India ICEMR DAMaN,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,India ICEMR DAMaN,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0051101,Sleep outside,st3questionnaire_data_2022-05-11::sleepout_rad,1,st3questionnaire_data_2022-05-11,Sleep outside at night for any reason,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,A7. Do you (Does this child) sleep outside at night for any reason?,"1, Yes | 99, Refused | 88, DK | 0, No",variable,yes,,,India ICEMR DAMaN,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0051102,Sleep outside under ITN,st3questionnaire_data_2022-05-11::sleepoutnet_rad,2,st3questionnaire_data_2022-05-11,"When sleeping outside at night, sleep under an insecticide-treated bed net",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"A8. When you (this child) sleep outside at night, do you (does this child) sleep under an insecticide-treated bed net?","1, Yes | 0, No | 88, DK | 99, Refused",variable,yes,,,India ICEMR DAMaN,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0051111,Responder to child survey,st3questionnaire_data_2022-05-11::proxy_rad,,st3questionnaire_data_2022-05-11,Only asked if the participant was a child,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,[Completed by interviewer] Who responded to this survey?,"3, Half proxy and half child | 1, Proxy only | 4, Mostly child with some responses from adult | 2, Mostly proxy with some responses from child",variable,yes,,,India ICEMR DAMaN,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010075,Height,st3questionnaire_data_2022-05-11::height,1,st3questionnaire_data_2022-05-11,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,D3.1. Height (cm),,variable,yes,,,India ICEMR DAMaN,,cm,http://purl.obolibrary.org/obo/UO_0000015,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000414,Weight,st3questionnaire_data_2022-05-11::weight,2,st3questionnaire_data_2022-05-11,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,D2.1. Weight (kg),,variable,yes,,,India ICEMR DAMaN,,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010084,MUAC,st3questionnaire_data_2022-05-11::muarmcir,3,st3questionnaire_data_2022-05-11,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,D4.1. Mid upper arm circumference (cm),,variable,yes,,,India ICEMR DAMaN,,cm,http://purl.obolibrary.org/obo/UO_0000015,,,,,,,
